freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-27.675,-0.144592,-0.144592,-27.6821
0.55,-27.0451,-0.156839,-0.156839,-27.0472
0.6,-26.5013,-0.168845,-0.168845,-26.4986
0.65,-26.0313,-0.180644,-0.180644,-26.0243
0.7,-25.6259,-0.192256,-0.192256,-25.6148
0.75,-25.2777,-0.203691,-0.203691,-25.2628
0.8,-24.9809,-0.21495,-0.21495,-24.9623
0.85,-24.731,-0.226029,-0.226029,-24.7086
0.9,-24.5242,-0.236924,-0.236924,-24.4982
0.95,-24.3578,-0.247629,-0.247629,-24.3279
1,-24.2296,-0.25814,-0.25814,-24.1956
1.05,-24.1378,-0.268453,-0.268453,-24.0995
1.1,-24.0814,-0.27857,-0.27857,-24.0384
1.15,-24.0594,-0.288494,-0.288494,-24.0115
1.2,-24.0715,-0.298231,-0.298231,-24.0182
1.25,-24.1172,-0.30779,-0.30779,-24.0585
1.3,-24.1969,-0.317184,-0.317184,-24.1324
1.35,-24.3107,-0.326426,-0.326426,-24.2404
1.4,-24.4592,-0.335531,-0.335531,-24.3831
1.45,-24.6432,-0.344517,-0.344517,-24.5616
1.5,-24.8638,-0.353403,-0.353403,-24.7769
1.55,-25.1223,-0.362206,-0.362206,-25.0307
1.6,-25.4203,-0.370947,-0.370947,-25.3246
1.65,-25.7598,-0.379643,-0.379643,-25.6611
1.7,-26.1432,-0.388314,-0.388314,-26.0428
1.75,-26.5734,-0.396976,-0.396976,-26.4729
1.8,-27.0539,-0.405646,-0.405646,-26.9557
1.85,-27.5889,-0.41434,-0.41434,-27.4962
1.9,-28.1836,-0.423071,-0.423071,-28.1009
1.95,-28.8441,-0.431851,-0.431851,-28.778
2,-29.5779,-0.44069,-0.44069,-29.5384
2.05,-30.3938,-0.449598,-0.449598,-30.3961
2.1,-31.3022,-0.458581,-0.458581,-31.3708
2.15,-32.3144,-0.467643,-0.467643,-32.4898
2.2,-33.4412,-0.476789,-0.476789,-33.793
2.25,-34.6877,-0.486018,-0.486018,-35.3422
2.3,-36.0408,-0.495331,-0.495331,-37.2396
2.35,-37.4387,-0.504726,-0.504726,-39.6737
2.4,-38.7136,-0.514198,-0.514198,-43.0546
2.45,-39.5484,-0.523743,-0.523743,-48.5933
2.5,-39.6171,-0.533354,-0.533354,-63.9529
2.55,-38.9162,-0.543023,-0.543023,-50.7022
2.6,-37.7699,-0.552743,-0.552743,-44.3049
2.65,-36.4972,-0.562504,-0.562504,-40.7114
2.7,-35.2683,-0.572296,-0.572296,-38.2322
2.75,-34.1465,-0.582109,-0.582109,-36.3584
2.8,-33.1455,-0.591933,-0.591933,-34.8684
2.85,-32.2604,-0.601757,-0.601757,-33.6458
2.9,-31.4806,-0.61157,-0.61157,-32.6218
