freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-26.8243,-0.146916,-0.146916,-26.8967
0.55,-26.1997,-0.159491,-0.159491,-26.2674
0.6,-25.6587,-0.171774,-0.171774,-25.7273
0.65,-25.1901,-0.183796,-0.183796,-25.2646
0.7,-24.7854,-0.195577,-0.195577,-24.8702
0.75,-24.4378,-0.20713,-0.20713,-24.5366
0.8,-24.1422,-0.218462,-0.218462,-24.2581
0.85,-23.8946,-0.229574,-0.229574,-24.0297
0.9,-23.6918,-0.240464,-0.240464,-23.8475
0.95,-23.5312,-0.251132,-0.251132,-23.708
1,-23.4111,-0.261574,-0.261574,-23.6082
1.05,-23.3298,-0.271791,-0.271791,-23.5453
1.1,-23.2863,-0.281785,-0.281785,-23.5165
1.15,-23.28,-0.29156,-0.29156,-23.5199
1.2,-23.3104,-0.301127,-0.301127,-23.5552
1.25,-23.3775,-0.310496,-0.310496,-23.6259
1.3,-23.4816,-0.319681,-0.319681,-23.7391
1.35,-23.6232,-0.328702,-0.328702,-23.9001
1.4,-23.8033,-0.337576,-0.337576,-24.1082
1.45,-24.023,-0.346327,-0.346327,-24.3593
1.5,-24.2841,-0.354978,-0.354978,-24.651
1.55,-24.5884,-0.363555,-0.363555,-24.9828
1.6,-24.9386,-0.372083,-0.372083,-25.3558
1.65,-25.3376,-0.380587,-0.380587,-25.7718
1.7,-25.789,-0.389093,-0.389093,-26.2328
1.75,-26.2969,-0.397626,-0.397626,-26.7406
1.8,-26.8662,-0.406211,-0.406211,-27.2961
1.85,-27.5021,-0.414868,-0.414868,-27.8987
1.9,-28.2102,-0.423618,-0.423618,-28.5446
1.95,-28.9956,-0.432481,-0.432481,-29.225
2,-29.8612,-0.441471,-0.441471,-29.9223
2.05,-30.8041,-0.450602,-0.450602,-30.6055
2.1,-31.8081,-0.459885,-0.459885,-31.2258
2.15,-32.83,-0.469328,-0.469328,-31.7165
2.2,-33.7784,-0.478935,-0.478935,-32.0031
2.25,-34.4983,-0.488709,-0.488709,-32.0287
2.3,-34.8039,-0.498649,-0.498649,-31.7812
2.35,-34.589,-0.508751,-0.508751,-31.3
2.4,-33.9178,-0.51901,-0.51901,-30.6554
2.45,-32.9681,-0.529416,-0.529416,-29.92
2.5,-31.9092,-0.539957,-0.539957,-29.1509
2.55,-30.8488,-0.550622,-0.550622,-28.3867
2.6,-29.8405,-0.561393,-0.561393,-27.6504
2.65,-28.9059,-0.572254,-0.572254,-26.9542
2.7,-28.0501,-0.583187,-0.583187,-26.3038
2.75,-27.2712,-0.594172,-0.594172,-25.701
2.8,-26.5642,-0.605188,-0.605188,-25.1453
2.85,-25.9234,-0.616214,-0.616214,-24.6352
2.9,-25.343,-0.627229,-0.627229,-24.1686
2.95,-24.8177,-0.638212,-0.638212,-23.7432
3,-24.3431,-0.649141,-0.649141,-23.3569
3.05,-23.915,-0.659997,-0.659997,-23.0074
3.1,-23.5299,-0.670761,-0.670761,-22.6928
3.15,-23.1848,-0.681413,-0.681413,-22.4112
3.2,-22.8771,-0.691938,-0.691938,-22.161
3.25,-22.6046,-0.702321,-0.702321,-21.9408
3.3,-22.3655,-0.712549,-0.712549,-21.7492
3.35,-22.158,-0.722611,-0.722611,-21.5851
3.4,-21.9808,-0.732497,-0.732497,-21.4474
3.45,-21.8327,-0.742202,-0.742202,-21.3353
3.5,-21.7129,-0.751722,-0.751722,-21.248
3.55,-21.6205,-0.761056,-0.761056,-21.1848
3.6,-21.5549,-0.770203,-0.770203,-21.1451
3.65,-21.5157,-0.779167,-0.779167,-21.1283
3.7,-21.5023,-0.787955,-0.787955,-21.134
3.75,-21.5147,-0.796574,-0.796574,-21.1617
3.8,-21.5527,-0.805035,-0.805035,-21.2111
3.85,-21.6163,-0.81335,-0.81335,-21.2817
3.9,-21.7056,-0.821532,-0.821532,-21.3732
3.95,-21.8208,-0.829599,-0.829599,-21.485
4,-21.9621,-0.837567,-0.837567,-21.6166
4.05,-22.13,-0.845454,-0.845454,-21.7674
4.1,-22.3249,-0.85328,-0.85328,-21.9365
4.15,-22.5473,-0.861065,-0.861065,-22.1228
4.2,-22.7977,-0.868828,-0.868828,-22.3251
4.25,-23.0768,-0.876591,-0.876591,-22.5415
4.3,-23.3851,-0.884374,-0.884374,-22.7699
4.35,-23.723,-0.892196,-0.892196,-23.0075
4.4,-24.0908,-0.900075,-0.900075,-23.2509
4.45,-24.4884,-0.90803,-0.90803,-23.4958
4.5,-24.9152,-0.916076,-0.916076,-23.7372
4.55,-25.3696,-0.924229,-0.924229,-23.9692
4.6,-25.8489,-0.932503,-0.932503,-24.1852
4.65,-26.3482,-0.940907,-0.940907,-24.378
4.7,-26.86,-0.949451,-0.949451,-24.5404
4.75,-27.373,-0.958144,-0.958144,-24.6652
4.8,-27.8711,-0.966988,-0.966988,-24.7466
4.85,-28.3329,-0.975988,-0.975988,-24.7802
4.9,-28.7318,-0.985143,-0.985143,-24.7636
4.95,-29.0385,-0.994453,-0.994453,-24.6971
5,-29.2258,-1.00391,-1.00391,-24.5831
5.05,-29.2748,-1.01352,-1.01352,-24.4263
5.1,-29.1804,-1.02326,-1.02326,-24.2326
5.15,-28.953,-1.03312,-1.03312,-24.009
5.2,-28.6151,-1.0431,-1.0431,-23.7625
5.25,-28.1952,-1.05319,-1.05319,-23.5001
5.3,-27.7219,-1.06336,-1.06336,-23.228
5.35,-27.22,-1.07361,-1.07361,-22.9518
5.4,-26.7089,-1.08391,-1.08391,-22.676
5.45,-26.2027,-1.09425,-1.09425,-22.4047
5.5,-25.7112,-1.10462,-1.10462,-22.1408
5.55,-25.2407,-1.115,-1.115,-21.8869
5.6,-24.7951,-1.12536,-1.12536,-21.6449
5.65,-24.3765,-1.1357,-1.1357,-21.4162
5.7,-23.986,-1.14599,-1.14599,-21.202
5.75,-23.6238,-1.15623,-1.15623,-21.0031
5.8,-23.2898,-1.16639,-1.16639,-20.82
5.85,-22.9834,-1.17647,-1.17647,-20.6531
5.9,-22.7041,-1.18644,-1.18644,-20.5027
5.95,-22.451,-1.19631,-1.19631,-20.3689
6,-22.2235,-1.20605,-1.20605,-20.2519
6.05,-22.0207,-1.21566,-1.21566,-20.1516
6.1,-21.8421,-1.22513,-1.22513,-20.0679
6.15,-21.6869,-1.23446,-1.23446,-20.0008
6.2,-21.5546,-1.24364,-1.24364,-19.9502
6.25,-21.4446,-1.25268,-1.25268,-19.9159
6.3,-21.3565,-1.26156,-1.26156,-19.8977
6.35,-21.29,-1.2703,-1.2703,-19.8955
6.4,-21.2446,-1.27889,-1.27889,-19.909
6.45,-21.2201,-1.28733,-1.28733,-19.9379
6.5,-21.2164,-1.29564,-1.29564,-19.9819
6.55,-21.2333,-1.30382,-1.30382,-20.0409
6.6,-21.2708,-1.31188,-1.31188,-20.1142
6.65,-21.3288,-1.31983,-1.31983,-20.2017
6.7,-21.4075,-1.32768,-1.32768,-20.3027
6.75,-21.507,-1.33543,-1.33543,-20.4167
6.8,-21.6274,-1.34311,-1.34311,-20.5432
6.85,-21.7689,-1.35073,-1.35073,-20.6814
6.9,-21.932,-1.35829,-1.35829,-20.8305
6.95,-22.1169,-1.36582,-1.36582,-20.9895
7,-22.3241,-1.37333,-1.37333,-21.1573
7.05,-22.554,-1.38083,-1.38083,-21.3328
7.1,-22.8069,-1.38833,-1.38833,-21.5143
7.15,-23.0835,-1.39586,-1.39586,-21.7004
7.2,-23.3841,-1.40342,-1.40342,-21.889
7.25,-23.709,-1.41103,-1.41103,-22.078
