freq_ghz,s11_db,s21_db,s22_db,s33_db,s43_db,s44_db,worst_return_db,worst_isolation_db,near_end_isolation_db,far_end_isolation_db,diagonal_isolation_db,s31_db,s41_db,s32_db,s42_db,s13_db,s14_db,s23_db,s24_db
0.5,-20.616,-0.180485,-20.5568,-22.7197,-0.0986864,-22.7305,-20.5568,-69.3968,-69.9338,-69.3968,-74.1549,-69.9338,-74.7471,-74.1549,-69.3968,-69.9338,-74.7471,-74.1549,-69.3968
0.55,-20.4908,-0.192397,-20.4097,-22.6304,-0.104718,-22.6354,-20.4097,-68.6151,-69.2374,-68.6151,-73.2724,-69.2374,-73.8918,-73.2724,-68.6151,-69.2374,-73.8918,-73.2724,-68.6151
0.6,-20.3614,-0.204292,-20.2567,-22.4971,-0.11098,-22.4944,-20.2567,-67.9104,-68.6029,-67.9104,-72.4656,-68.6029,-73.1056,-72.4656,-67.9104,-68.6029,-73.1056,-72.4656,-67.9104
0.65,-20.2393,-0.216065,-20.1098,-22.335,-0.117397,-22.3231,-20.1098,-67.2715,-68.0216,-67.2715,-71.7245,-68.0216,-72.3774,-71.7245,-67.2715,-68.0216,-72.3774,-71.7245,-67.2715
0.7,-20.1323,-0.227621,-19.9772,-22.1551,-0.123915,-22.1329,-19.9772,-66.6895,-67.4882,-66.6895,-71.0414,-67.4882,-71.6988,-71.0414,-66.6895,-67.4882,-71.6988,-71.0414,-66.6895
0.75,-20.0456,-0.238882,-19.8643,-21.9654,-0.130493,-21.9317,-19.8643,-66.1576,-66.9996,-66.1576,-70.4098,-66.9996,-71.0628,-70.4098,-66.1576,-66.9996,-71.0628,-70.4098,-66.1576
0.8,-19.9831,-0.249789,-19.7751,-21.7716,-0.137101,-21.7256,-19.7751,-65.6701,-66.5542,-65.6701,-69.8247,-66.5542,-70.4643,-69.8247,-65.6701,-66.5542,-70.4643,-69.8247,-65.6701
0.85,-19.9471,-0.260299,-19.7123,-21.5779,-0.143717,-21.5188,-19.7123,-65.2226,-66.1506,-65.2226,-69.2814,-66.1506,-69.8988,-69.2814,-65.2226,-66.1506,-69.8988,-69.2814,-65.2226
0.9,-19.9397,-0.270388,-19.6779,-21.3873,-0.150323,-21.3143,-19.6779,-64.8112,-65.7879,-64.8112,-68.7759,-65.7879,-69.3629,-68.7759,-64.8112,-65.7879,-69.3629,-68.7759,-64.8112
0.95,-19.9623,-0.280047,-19.6735,-21.2018,-0.156909,-21.1145,-19.6735,-64.4328,-65.4646,-64.4328,-68.3043,-65.4646,-68.8538,-68.3043,-64.4328,-65.4646,-68.8538,-68.3043,-64.4328
1,-20.0162,-0.289282,-19.7004,-21.0231,-0.163465,-20.9208,-19.7004,-64.0847,-65.1786,-64.0847,-67.863,-65.1786,-68.3692,-67.863,-64.0847,-65.1786,-68.3692,-67.863,-64.0847
1.05,-20.1026,-0.298111,-19.7596,-20.8521,-0.169983,-20.7344,-19.7596,-63.7648,-64.927,-63.7648,-67.4487,-64.927,-67.9072,-67.4487,-63.7648,-64.927,-67.9072,-67.4487,-63.7648
1.1,-20.2224,-0.306563,-19.8521,-20.6895,-0.176456,-20.5561,-19.8521,-63.4712,-64.7063,-63.4712,-67.0582,-64.7063,-67.4663,-67.0582,-63.4712,-64.7063,-67.4663,-67.0582,-63.4712
1.15,-20.3768,-0.314673,-19.979,-20.5359,-0.18288,-20.3863,-19.979,-63.2022,-64.5128,-63.2022,-66.6884,-64.5128,-67.0454,-66.6884,-63.2022,-64.5128,-67.0454,-66.6884,-63.2022
1.2,-20.5669,-0.322485,-20.1415,-20.3914,-0.189248,-20.2253,-20.1415,-62.957,-64.342,-62.957,-66.3365,-64.342,-66.6432,-66.3365,-62.957,-64.342,-66.6432,-66.3365,-62.957
1.25,-20.7938,-0.330048,-20.3407,-20.2563,-0.195554,-20.0735,-20.0735,-62.7348,-64.1899,-62.7348,-66.0002,-64.1899,-66.259,-66.0002,-62.7348,-64.1899,-66.259,-66.0002,-62.7348
1.3,-21.0585,-0.337411,-20.578,-20.1307,-0.201792,-19.9308,-19.9308,-62.536,-64.0523,-62.536,-65.6779,-64.0523,-65.8914,-65.6779,-62.536,-64.0523,-65.8914,-65.6779,-62.536
1.35,-21.3622,-0.344629,-20.8548,-20.0144,-0.207955,-19.7973,-19.7973,-62.3622,-63.9253,-62.3622,-65.3691,-63.9253,-65.5381,-65.3691,-62.3622,-63.9253,-65.5381,-65.3691,-62.3622
1.4,-21.7057,-0.351756,-21.1728,-19.9074,-0.214036,-19.6731,-19.6731,-62.2173,-63.8054,-62.2173,-65.0754,-63.8054,-65.1935,-65.0754,-62.2173,-63.8054,-65.1935,-65.0754,-62.2173
1.45,-22.0895,-0.358845,-21.5336,-19.8096,-0.220027,-19.5579,-19.5579,-62.1095,-63.6896,-62.1095,-64.8016,-63.6896,-64.8415,-64.8016,-62.1095,-63.6896,-64.8415,-64.8016,-62.1095
1.5,-22.5136,-0.365949,-21.9389,-19.7209,-0.22592,-19.4519,-19.4519,-62.054,-63.5753,-62.054,-64.4354,-63.5753,-64.4354,-64.5583,-62.054,-63.5753,-64.4354,-64.5583,-62.054
1.55,-22.9769,-0.37312,-22.3903,-19.6412,-0.231707,-19.3549,-19.3549,-62.075,-63.4604,-62.075,-63.8617,-63.4604,-63.8617,-64.3634,-62.075,-63.4604,-63.8617,-64.3634,-62.075
1.6,-23.4768,-0.380405,-22.8887,-19.5703,-0.23738,-19.2668,-19.2668,-62.1949,-63.3433,-62.1949,-63.1065,-63.3433,-63.1065,-64.2429,-62.1949,-63.3433,-63.1065,-64.2429,-62.1949
1.65,-24.0077,-0.387849,-23.4344,-19.508,-0.242932,-19.1875,-19.1875,-62.3728,-63.2227,-62.3728,-62.6633,-63.2227,-62.6633,-64.225,-62.3728,-63.2227,-62.6633,-64.225,-62.3728
1.7,-24.5607,-0.395495,-24.0257,-19.4542,-0.248356,-19.1169,-19.1169,-62.4306,-63.0979,-62.4306,-62.5578,-63.0979,-62.5578,-64.3228,-62.4306,-63.0979,-62.5578,-64.3228,-62.4306
1.75,-25.1209,-0.403379,-24.6578,-19.4086,-0.253646,-19.0548,-19.0548,-62.237,-62.9687,-62.237,-62.4834,-62.9687,-62.4834,-64.5116,-62.237,-62.9687,-62.4834,-64.5116,-62.237
1.8,-25.666,-0.411535,-25.3209,-19.3712,-0.258801,-19.0011,-19.0011,-61.909,-62.8354,-61.909,-62.3747,-62.8354,-62.3747,-64.7261,-61.909,-62.8354,-62.3747,-64.7261,-61.909
1.85,-26.165,-0.419991,-25.9966,-19.3418,-0.263818,-18.9557,-18.9557,-61.5868,-62.6987,-61.5868,-62.2428,-62.6987,-62.2428,-64.8922,-61.5868,-62.6987,-62.2428,-64.8922,-61.5868
1.9,-26.5788,-0.428772,-26.6545,-19.3201,-0.2687,-18.9183,-18.9183,-61.3121,-62.5602,-61.3121,-62.1014,-62.5602,-62.1014,-64.9661,-61.3121,-62.5602,-62.1014,-64.9661,-61.3121
1.95,-26.8648,-0.437897,-27.2488,-19.3061,-0.273452,-18.8889,-18.8889,-61.0798,-62.4223,-61.0798,-61.9596,-62.4223,-61.9596,-64.9437,-61.0798,-62.4223,-61.9596,-64.9437,-61.0798
2,-26.9871,-0.447381,-27.7191,-19.2995,-0.278083,-18.8673,-18.8673,-60.877,-62.2881,-60.877,-61.8229,-62.2881,-61.8229,-64.8436,-60.877,-62.2881,-61.8229,-64.8436,-60.877
2.05,-26.9274,-0.457234,-28.0005,-19.3002,-0.282604,-18.8532,-18.8532,-60.6933,-62.1621,-60.6933,-61.6948,-62.1621,-61.6948,-64.6895,-60.6933,-62.1621,-61.6948,-64.6895,-60.6933
2.1,-26.692,-0.467463,-28.0447,-19.308,-0.28703,-18.8465,-18.8465,-60.5212,-62.0502,-60.5212,-61.5775,-62.0502,-61.5775,-64.5006,-60.5212,-62.0502,-61.5775,-64.5006,-60.5212
2.15,-26.3093,-0.478071,-27.8413,-19.3227,-0.291378,-18.847,-18.847,-60.356,-61.9604,-60.356,-61.4725,-61.9604,-61.4725,-64.2899,-60.356,-61.9604,-61.4725,-64.2899,-60.356
2.2,-25.8196,-0.489054,-27.4237,-19.3441,-0.295666,-18.8545,-18.8545,-60.1948,-61.9029,-60.1948,-61.381,-61.9029,-61.381,-64.0653,-60.1948,-61.9029,-61.381,-64.0653,-60.1948
2.25,-25.2636,-0.500409,-26.8522,-19.3721,-0.299912,-18.8688,-18.8688,-60.0361,-61.8915,-60.0361,-61.3041,-61.8915,-61.3041,-63.8309,-60.0361,-61.8915,-61.3041,-63.8309,-60.0361
2.3,-24.6758,-0.512127,-26.1909,-19.4064,-0.304134,-18.8896,-18.8896,-59.8791,-61.9449,-59.8791,-61.2428,-61.9449,-61.2428,-63.5883,-59.8791,-61.9449,-61.2428,-63.5883,-59.8791
2.35,-24.0819,-0.524195,-25.4925,-19.4468,-0.308349,-18.9168,-18.9168,-59.7247,-62.0887,-59.7247,-61.1983,-62.0887,-61.1983,-63.3373,-59.7247,-62.0887,-61.1983,-63.3373,-59.7247
2.4,-23.4995,-0.536599,-24.7937,-19.493,-0.31257,-18.9501,-18.9501,-59.5745,-62.3564,-59.5745,-61.1724,-62.3564,-61.1724,-63.076,-59.5745,-62.3564,-61.1724,-63.076,-59.5745
2.45,-22.9395,-0.549317,-24.1174,-19.5449,-0.316808,-18.9893,-18.9893,-59.4322,-62.7774,-59.4322,-61.1677,-62.7774,-61.1677,-62.8008,-59.4322,-62.7774,-61.1677,-62.8008,-59.4322
2.5,-22.4087,-0.562322,-23.4765,-19.6021,-0.32107,-19.0341,-19.0341,-59.3046,-63.2678,-59.3046,-61.1884,-63.2678,-61.1884,-62.5055,-59.3046,-63.2678,-61.1884,-62.5055,-59.3046
2.55,-21.9104,-0.575575,-22.8774,-19.6642,-0.325361,-19.0842,-19.0842,-59.2041,-62.9079,-59.2041,-61.2416,-62.9079,-61.2416,-62.18,-59.2041,-62.9079,-61.2416,-62.18,-59.2041
2.6,-21.4463,-0.589024,-22.3221,-19.7309,-0.329685,-19.1394,-19.1394,-58.2778,-58.2778,-59.1565,-61.3406,-58.2778,-61.3406,-61.8062,-59.1565,-58.2778,-61.3406,-61.8062,-59.1565
2.65,-21.0165,-0.602594,-21.8103,-19.8017,-0.334041,-19.1992,-19.1992,-45.2582,-45.2582,-59.2205,-61.3504,-45.2582,-61.5124,-61.3504,-59.2205,-45.2582,-61.5124,-61.3504,-59.2205
