freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-23.8578,-0.104142,-0.104142,-23.8282
0.6,-22.5546,-0.12433,-0.12433,-22.5355
0.7,-21.5377,-0.143979,-0.143979,-21.5305
0.8,-20.7427,-0.162927,-0.162927,-20.7486
0.9,-20.1292,-0.180994,-0.180994,-20.1489
1,-19.6702,-0.197986,-0.197986,-19.7044
1.1,-19.3479,-0.213723,-0.213723,-19.3971
1.2,-19.1502,-0.228071,-0.228071,-19.2145
1.3,-19.0693,-0.240961,-0.240961,-19.1485
1.4,-19.1007,-0.252399,-0.252399,-19.1944
1.5,-19.2425,-0.262473,-0.262473,-19.3497
1.6,-19.4952,-0.271347,-0.271347,-19.614
1.7,-19.8612,-0.27925,-0.27925,-19.9882
1.8,-20.3442,-0.286468,-0.286468,-20.4738
1.9,-20.9487,-0.29332,-0.29332,-21.0711
2,-21.6773,-0.300146,-0.300146,-21.7763
2.1,-22.5271,-0.307288,-0.307288,-22.575
2.2,-23.4793,-0.315069,-0.315069,-23.4313
2.3,-24.48,-0.323779,-0.323779,-24.269
2.4,-25.4091,-0.333663,-0.333663,-24.955
2.5,-26.0597,-0.344906,-0.344906,-25.3137
2.6,-26.2008,-0.357627,-0.357627,-25.2118
2.7,-25.7516,-0.371877,-0.371877,-24.6612
2.8,-24.8617,-0.387634,-0.387634,-23.8081
2.9,-23.7676,-0.404812,-0.404812,-22.8231
3,-22.6458,-0.42326,-0.42326,-21.8276
3.1,-21.5886,-0.442777,-0.442777,-20.888
3.2,-20.6327,-0.463118,-0.463118,-20.0333
3.3,-19.7876,-0.484008,-0.484008,-19.273
3.4,-19.0511,-0.505155,-0.505155,-18.6071
3.5,-18.4163,-0.52626,-0.52626,-18.0313
3.6,-17.8757,-0.547033,-0.547033,-17.5402
3.7,-17.4215,-0.5672,-0.5672,-17.1281
3.8,-17.0473,-0.586514,-0.586514,-16.7897
3.9,-16.7473,-0.604767,-0.604767,-16.5202
4,-16.5166,-0.621791,-0.621791,-16.3155
4.1,-16.3515,-0.637466,-0.637466,-16.1721
4.2,-16.2486,-0.651722,-0.651722,-16.0869
4.3,-16.2056,-0.664541,-0.664541,-16.0575
4.4,-16.2205,-0.675954,-0.675954,-16.0817
4.5,-16.2919,-0.686044,-0.686044,-16.1576
4.6,-16.4186,-0.694937,-0.694937,-16.2833
4.7,-16.5998,-0.702798,-0.702798,-16.457
4.8,-16.8345,-0.70983,-0.70983,-16.6762
4.9,-17.1215,-0.716262,-0.716262,-16.9378
5,-17.4585,-0.722343,-0.722343,-17.2373
5.1,-17.8422,-0.728338,-0.728338,-17.5681
5.2,-18.2666,-0.734514,-0.734514,-17.9208
5.3,-18.722,-0.741137,-0.741137,-18.282
5.4,-19.1934,-0.748461,-0.748461,-18.6335
5.5,-19.6583,-0.756725,-0.756725,-18.9524
5.6,-20.0858,-0.766138,-0.766138,-19.2117
5.7,-20.4374,-0.776882,-0.776882,-19.3843
5.8,-20.6717,-0.789099,-0.789099,-19.4476
5.9,-20.7541,-0.802888,-0.802888,-19.3894
6,-20.6679,-0.818302,-0.818302,-19.2114
6.1,-20.4206,-0.835342,-0.835342,-18.929
6.2,-20.0412,-0.853959,-0.853959,-18.5664
6.3,-19.5698,-0.874052,-0.874052,-18.151
6.4,-19.0468,-0.89547,-0.89547,-17.7088
6.5,-18.5065,-0.918016,-0.918016,-17.2616
6.6,-17.9745,-0.941454,-0.941454,-16.8261
6.7,-17.4684,-0.965515,-0.965515,-16.4143
6.8,-16.9995,-0.989906,-0.989906,-16.0348
6.9,-16.5745,-1.01432,-1.01432,-15.693
7,-16.1973,-1.03846,-1.03846,-15.3925
7.1,-15.8696,-1.06202,-1.06202,-15.1354
7.2,-15.5922,-1.08473,-1.08473,-14.9231
7.3,-15.365,-1.10635,-1.10635,-14.756
7.4,-15.1875,-1.12667,-1.12667,-14.6344
7.5,-15.0592,-1.14554,-1.14554,-14.5583
7.6,-14.9794,-1.16285,-1.16285,-14.5276
7.7,-14.9476,-1.17856,-1.17856,-14.5419
7.8,-14.9631,-1.19268,-1.19268,-14.6011
7.9,-15.0253,-1.20529,-1.20529,-14.7047
8,-15.1337,-1.21651,-1.21651,-14.8522
8.1,-15.2877,-1.22653,-1.22653,-15.0429
8.2,-15.4862,-1.23557,-1.23557,-15.2756
8.3,-15.7281,-1.2439,-1.2439,-15.5488
8.4,-16.0115,-1.25182,-1.25182,-15.8599
8.5,-16.3336,-1.25964,-1.25964,-16.2052
8.6,-16.6902,-1.2677,-1.2677,-16.5792
8.7,-17.0755,-1.27633,-1.27633,-16.9742
8.8,-17.4812,-1.28582,-1.28582,-17.38
8.9,-17.8959,-1.29648,-1.29648,-17.783
9,-18.3048,-1.30856,-1.30856,-18.1669
9.1,-18.6899,-1.32226,-1.32226,-18.5132
9.2,-19.0305,-1.33776,-1.33776,-18.8033
9.3,-19.3054,-1.35517,-1.35517,-19.0208
9.4,-19.496,-1.37454,-1.37454,-19.1549
9.5,-19.5903,-1.39589,-1.39589,-19.2025
9.6,-19.5851,-1.41918,-1.41918,-19.169
9.7,-19.487,-1.44433,-1.44433,-19.0667
9.8,-19.3103,-1.47125,-1.47125,-18.912
9.9,-19.0737,-1.4998,-1.4998,-18.7229
10,-18.7966,-1.52987,-1.52987,-18.5167
