candidate,trace_csv,status,tx_score,peak_freq_ghz,peak_s21_db,pass_low_s21_db,pass_center_s21_db,pass_high_s21_db,passband_min_s21_db,passband_max_s21_db,passband_ripple_db,worst_s11_passband_db,worst_s22_passband_db,worst_s11_high_passband_db,worst_s22_high_passband_db,worst_high_return_loss_db,high_return_loss_margin_db,pass_high_s11_db,pass_high_s22_db,lo_stopband_max_s21_db,image_stopband_points,image_stopband_max_s21_db,note
tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r1_cnn002_p2up_graphical_bb_14_23g\tx_band1_mcfil_r1_cnn002_len_p055_gap_m020_hfss_trace.csv,TUNE,-18.165,18.9000,-2.0304,-5.4585,-2.4735,-3.0050,-5.4585,-2.0304,3.4281,-7.8410,-7.7920,-7.8410,-7.7920,-7.7920,-2.2080,-7.4070,-7.3561,-39.1528,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable; peak is high; lengthen resonators
tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r2_cnn002_p2up_graphical_bb_14_23g\tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006_hfss_trace.csv,TUNE,-142.262,18.6500,-2.1301,-4.2732,-2.1950,-4.3577,-4.2732,-2.1301,2.1431,-5.3080,-5.1491,-5.3080,-5.1491,-5.1491,-4.8509,-5.0296,-4.8784,-39.0065,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r4_cnn038_rand32,projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r4_cnn038_p2up_graphical_bb_14_23g\tx_band1_mcfil_r4_cnn038_rand32_hfss_trace.csv,TUNE,-212.478,18.5000,-2.2273,-3.6492,-2.2281,-5.0259,-4.7792,-2.2273,2.5519,-4.5951,-4.6330,-4.5951,-4.6330,-4.5951,-5.4049,-4.3490,-4.3945,-38.9538,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r5_cnn034_p2up_graphical,projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r5_cnn034_p2up_graphical_bb_14_23g\tx_band1_mcfil_r5_cnn034_rand28_hfss_trace.csv,TUNE,-153.794,18.6000,-2.2426,-4.4482,-2.2760,-4.5410,-4.4482,-2.2426,2.2055,-5.2624,-4.9766,-5.2624,-4.9766,-4.9766,-5.0234,-5.0035,-4.7276,-39.9535,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r5_cnn018_rand12_p2up_hidden_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r5_cnn018_rand12_p2up_hidden_graphical_bb_14_23g\tx_band1_mcfil_r5_cnn018_rand12_hfss_trace.csv,TUNE,-147.153,18.6500,-2.1136,-4.1214,-2.1696,-4.5172,-4.2805,-2.1136,2.1669,-5.0724,-5.2922,-5.0724,-5.2922,-5.0724,-4.9276,-4.7840,-4.9918,-39.1922,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r5_cnn027_rand21_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r5_cnn027_rand21_p2up_graphical_bb_14_23g\tx_band1_mcfil_r5_cnn027_rand21_hfss_trace.csv,TUNE,-189.803,18.5500,-2.2838,-4.1242,-2.2877,-4.9302,-4.6906,-2.2838,2.4067,-4.7520,-4.8529,-4.7520,-4.8529,-4.7520,-5.2480,-4.5042,-4.6065,-40.1219,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable
tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_p2up_graphical_bb_14_23g\tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_hfss_trace.csv,TUNE,-178.408,18.6500,-2.1645,-4.2329,-2.2087,-4.7161,-4.4795,-2.1645,2.3150,-4.9006,-4.8881,-4.9006,-4.8881,-4.8881,-5.1119,-4.6293,-4.6269,-39.1732,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r6_cnn025_rand19_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r6_cnn025_rand19_p2up_graphical_bb_14_23g\tx_band1_mcfil_r6_cnn025_rand19_hfss_trace.csv,TUNE,-226.743,18.6500,-2.1243,-4.1539,-2.1733,-4.9994,-4.7461,-2.1243,2.6217,-4.4788,-4.5253,-4.4788,-4.5253,-4.4788,-5.5212,-4.2298,-4.2723,-38.7913,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r6_cnn022_rand16_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r6_cnn022_rand16_p2up_graphical_bb_14_23g\tx_band1_mcfil_r6_cnn022_rand16_hfss_trace.csv,TUNE,-320.332,18.4000,-2.3445,-3.7884,-2.3756,-5.7479,-5.5049,-2.3445,3.1604,-3.6854,-4.0717,-3.6854,-4.0717,-3.6854,-6.3146,-3.5175,-3.8933,-38.8480,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
tx_band1_mcfil_r7_cnn034_rand28_p2up_graphical,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r7_cnn034_rand28_p2up_graphical_bb_14_23g\tx_band1_mcfil_r7_cnn034_rand28_hfss_trace.csv,TUNE,-153.794,18.6000,-2.2426,-4.4482,-2.2760,-4.5410,-4.4482,-2.2426,2.2055,-5.2624,-4.9766,-5.2624,-4.9766,-4.9766,-5.0234,-5.0035,-4.7276,-39.9535,0,nan,passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable
