name,substrate,er,h_mm,copper_mm,main_segment_count,section_l_mm,stub_l_mm,main_w_mm,top_stub_w_mm,bottom_stub_w_mm,feed_len_mm,boundary_margin_mm,via_diameter_mm,via_edge_clearance_mm,min_fab_feature_mm,metal_layer,via_layer,notes
ssb_l3_25_len106,FR4_L3_REF,4.6,1.2906,0.035,5,4.342,5.296,0.895,"0.808,0.895,0.821,0.895","0.846,0.813,0.836,0.808,0.813,0.846",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +6%; between len105 stopband-ok and len110 passband-ok"
ssb_l3_25_len107,FR4_L3_REF,4.6,1.2906,0.035,5,4.383,5.346,0.895,"0.808,0.895,0.821,0.895","0.846,0.813,0.836,0.808,0.813,0.846",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +7%; expected 6GHz edge improves versus len105"
ssb_l3_25_len108,FR4_L3_REF,4.6,1.2906,0.035,5,4.424,5.396,0.895,"0.808,0.895,0.821,0.895","0.846,0.813,0.836,0.808,0.813,0.846",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +8%; likely near -5dB passband edge"
ssb_l3_25_len109,FR4_L3_REF,4.6,1.2906,0.035,5,4.465,5.446,0.895,"0.808,0.895,0.821,0.895","0.846,0.813,0.836,0.808,0.813,0.846",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +9%; passband safer, stopband likely needs width compensation"
ssb_l3_25_len107_stubp10,FR4_L3_REF,4.6,1.2906,0.035,5,4.383,5.346,0.895,"0.889,0.985,0.903,0.985","0.931,0.894,0.920,0.889,0.894,0.931",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +7%, stub widths +10%; lower shorted-stub impedance for deeper 5GHz notch"
ssb_l3_25_len108_stubp10,FR4_L3_REF,4.6,1.2906,0.035,5,4.424,5.396,0.895,"0.889,0.985,0.903,0.985","0.931,0.894,0.920,0.889,0.894,0.931",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +8%, stub widths +10%; main candidate for -5/-25 compromise"
ssb_l3_25_len109_stubp10,FR4_L3_REF,4.6,1.2906,0.035,5,4.465,5.446,0.895,"0.889,0.985,0.903,0.985","0.931,0.894,0.920,0.889,0.894,0.931",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +9%, stub widths +10%; passband-biased variant"
ssb_l3_25_len107_stubp15,FR4_L3_REF,4.6,1.2906,0.035,5,4.383,5.346,0.895,"0.929,1.029,0.944,1.029","0.973,0.935,0.961,0.929,0.935,0.973",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +7%, stub widths +15%; combines len107 edge with measured +15% stopband gain trend"
ssb_l3_25_len108_stubp15,FR4_L3_REF,4.6,1.2906,0.035,5,4.424,5.396,0.895,"0.929,1.029,0.944,1.029","0.973,0.935,0.961,0.929,0.935,0.973",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +8%, stub widths +15%; strongest expected first-pass compromise"
ssb_l3_25_len109_stubp15,FR4_L3_REF,4.6,1.2906,0.035,5,4.465,5.446,0.895,"0.929,1.029,0.944,1.029","0.973,0.935,0.961,0.929,0.935,0.973",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +9%, stub widths +15%; passband margin with stronger stopband"
ssb_l3_25_len108_stubp20,FR4_L3_REF,4.6,1.2906,0.035,5,4.424,5.396,0.895,"0.970,1.074,0.985,1.074","1.015,0.976,1.003,0.970,0.976,1.015",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +8%, stub widths +20%; aggressive stopband pull if +15% is insufficient"
ssb_l3_25_len109_stubp20,FR4_L3_REF,4.6,1.2906,0.035,5,4.465,5.446,0.895,"0.970,1.074,0.985,1.074","1.015,0.976,1.003,0.970,0.976,1.015",2.5,3.0,0.50,0.10,0.1524,cond,pcvia1,"length +9%, stub widths +20%; most aggressive first-round candidate"
