freq_ghz,ads_s11_db,hfss_s11_db,delta_s11_db,abs_delta_s11_db,ads_s21_db,hfss_s21_db,delta_s21_db,abs_delta_s21_db,ads_s22_db,hfss_s22_db,delta_s22_db,abs_delta_s22_db
4,-0.0579887,-0.337941,-0.279952,0.279952,-44.2421,-48.9657,-4.72359,4.72359,-0.0590291,-0.343429,-0.2844,0.2844
4.15384615,-0.067667,-0.387492,-0.319825,0.319825,-42.4261,-45.8628,-3.43666,3.43666,-0.0690412,-0.394241,-0.3252,0.3252
4.30769231,-0.0792445,-0.450784,-0.371539,0.371539,-40.4196,-42.4183,-1.99869,1.99869,-0.081097,-0.459154,-0.378057,0.378057
4.46153846,-0.0934208,-0.535621,-0.4422,0.4422,-38.1722,-38.5818,-0.409605,0.409605,-0.0959911,-0.546158,-0.450167,0.450167
4.61538462,-0.111401,-0.65756,-0.546159,0.546159,-35.6154,-34.2742,1.34115,1.34115,-0.115115,-0.671162,-0.556047,0.556047
4.76923077,-0.135512,-0.852458,-0.716946,0.716946,-32.652,-29.3734,3.27858,3.27858,-0.141194,-0.870812,-0.729618,0.729618
4.92307692,-0.170999,-1.22185,-1.05085,1.05085,-29.1365,-23.6987,5.43779,5.43779,-0.18045,-1.24878,-1.06833,1.06833
5.07692308,-0.232699,-2.14742,-1.91472,1.91472,-24.8316,-17.0701,7.7615,7.7615,-0.250571,-2.19479,-1.94422,1.94422
5.23076923,-0.380003,-5.42512,-5.04512,5.04512,-19.3014,-10.0876,9.21384,9.21384,-0.422246,-5.55502,-5.13277,5.13277
5.38461538,-1.04471,-10.8519,-9.80719,9.80719,-11.6613,-6.12716,5.53418,5.53418,-1.20957,-11.1364,-9.92683,9.92683
5.53846154,-8.77896,-10.8284,-2.04944,2.04944,-3.11426,-5.02274,-1.90848,1.90848,-14.8481,-10.9839,3.86421,3.86421
5.69230769,-3.30301,-14.8095,-11.5065,11.5065,-4.54002,-4.4047,0.135318,0.135318,-3.53707,-15.198,-11.6609,11.6609
5.84615385,-3.18954,-10.1507,-6.96116,6.96116,-4.59279,-4.48622,0.106574,0.106574,-3.21062,-10.2977,-7.08708,7.08708
6,-7.34449,-7.32129,0.0232021,0.0232021,-2.50774,-4.80563,-2.29789,2.29789,-7.20004,-7.41526,-0.215217,0.215217
6.15384615,-16.0815,-7.45487,8.62662,8.62662,-1.56503,-4.68767,-3.12264,3.12264,-14.9441,-7.58001,7.3641,7.3641
6.30769231,-6.25821,-10.4496,-4.19139,4.19139,-2.5842,-4.16469,-1.58049,1.58049,-6.14796,-10.7669,-4.61894,4.61894
6.46153846,-5.5291,-15.3702,-9.8411,9.8411,-2.88029,-3.86179,-0.981502,0.981502,-5.38225,-16.5625,-11.1803,11.1803
6.61538462,-9.05346,-10.3833,-1.32984,1.32984,-2.06289,-4.2371,-2.17421,2.17421,-8.47243,-10.7084,-2.23597,2.23597
6.76923077,-26.0346,-7.36447,18.6701,18.6701,-1.52651,-4.87262,-3.34611,3.34611,-15.9135,-7.51036,8.40316,8.40316
6.92307692,-7.44275,-6.78318,0.659565,0.659565,-2.47805,-5.17794,-2.69989,2.69989,-7.06996,-6.90489,0.165069,0.165069
7.07692308,-4.56702,-8.01683,-3.44981,3.44981,-3.64513,-4.9914,-1.34627,1.34627,-4.46088,-8.1775,-3.71662,3.71662
7.23076923,-4.26068,-11.8755,-7.61482,7.61482,-3.93995,-4.62199,-0.682043,0.682043,-4.19636,-12.2857,-8.08934,8.08934
7.38461538,-5.70891,-15.212,-9.50309,9.50309,-3.2611,-4.76126,-1.50016,1.50016,-5.61148,-16.1818,-10.5703,10.5703
7.53846154,-11.469,-10.3827,1.08632,1.08632,-2.18103,-5.74736,-3.56633,3.56633,-10.9621,-10.6346,0.327502,0.327502
7.69230769,-16.2486,-8.36176,7.88687,7.88687,-2.07905,-7.05433,-4.97528,4.97528,-14.7705,-8.42347,6.34706,6.34706
7.84615385,-6.79735,-8.76241,-1.96506,1.96506,-3.39481,-8.2109,-4.81609,4.81609,-6.65023,-8.65985,-2.00962,2.00962
