freq_ghz,ads_smoke_s11_db,hfss_standard_s11_db,delta_s11_db,abs_delta_s11_db,ads_smoke_s21_db,hfss_standard_s21_db,delta_s21_db,abs_delta_s21_db,ads_smoke_s22_db,hfss_standard_s22_db,delta_s22_db,abs_delta_s22_db
4,-0.0579887,-0.229022,-0.171033,0.171033,-44.2421,-41.1307,3.11141,3.11141,-0.0590291,-0.231054,-0.172025,0.172025
4.15384615,-0.067667,-0.259679,-0.192012,0.192012,-42.4261,-39.1104,3.31574,3.31574,-0.0690412,-0.261921,-0.19288,0.19288
4.30769231,-0.0792445,-0.298094,-0.218849,0.218849,-40.4196,-36.8592,3.56041,3.56041,-0.081097,-0.300575,-0.219478,0.219478
4.46153846,-0.0934208,-0.348045,-0.254624,0.254624,-38.1722,-34.3209,3.8513,3.8513,-0.0959911,-0.350797,-0.254806,0.254806
4.61538462,-0.111401,-0.416496,-0.305095,0.305095,-35.6154,-31.4205,4.19485,4.19485,-0.115115,-0.41955,-0.304435,0.304435
4.76923077,-0.135512,-0.51784,-0.382328,0.382328,-32.652,-28.0541,4.59788,4.59788,-0.141194,-0.521226,-0.380032,0.380032
4.92307692,-0.170999,-0.686953,-0.515954,0.515954,-29.1365,-24.0729,5.06359,5.06359,-0.18045,-0.690693,-0.510243,0.510243
5.07692308,-0.232699,-1.02948,-0.796781,0.796781,-24.8316,-19.2642,5.5674,5.5674,-0.250571,-1.03358,-0.783009,0.783009
5.23076923,-0.380003,-1.98149,-1.60149,1.60149,-19.3014,-13.4089,5.89254,5.89254,-0.422246,-1.986,-1.56375,1.56375
5.38461538,-1.04471,-5.91895,-4.87424,4.87424,-11.6613,-7.18581,4.47553,4.47553,-1.20957,-5.92445,-4.71488,4.71488
5.53846154,-8.77896,-11.1474,-2.36844,2.36844,-3.11426,-4.31604,-1.20178,1.20178,-14.8481,-11.1456,3.70251,3.70251
5.69230769,-3.30301,-8.95053,-5.64752,5.64752,-4.54002,-3.88556,0.654458,0.654458,-3.53707,-8.93386,-5.39679,5.39679
