freq_ghz,ads_smoke_s11_db,hfss_jlc_s11_db,delta_s11_db,abs_delta_s11_db,ads_smoke_s21_db,hfss_jlc_s21_db,delta_s21_db,abs_delta_s21_db,ads_smoke_s22_db,hfss_jlc_s22_db,delta_s22_db,abs_delta_s22_db
4,-0.0579887,-0.229022,-0.171033,0.171033,-44.2421,-41.1307,3.11141,3.11141,-0.0590291,-0.231054,-0.172025,0.172025
4.15384615,-0.067667,-0.25972,-0.192053,0.192053,-42.4261,-39.1105,3.31564,3.31564,-0.0690412,-0.261962,-0.192921,0.192921
4.30769231,-0.0792445,-0.298164,-0.218919,0.218919,-40.4196,-36.8593,3.56031,3.56031,-0.081097,-0.300643,-0.219546,0.219546
4.46153846,-0.0934208,-0.348123,-0.254702,0.254702,-38.1722,-34.3209,3.8513,3.8513,-0.0959911,-0.35087,-0.254879,0.254879
4.61538462,-0.111401,-0.416547,-0.305146,0.305146,-35.6154,-31.4205,4.19485,4.19485,-0.115115,-0.419597,-0.304482,0.304482
4.76923077,-0.135512,-0.517831,-0.382319,0.382319,-32.652,-28.0541,4.59788,4.59788,-0.141194,-0.521218,-0.380024,0.380024
4.92307692,-0.170999,-0.686875,-0.515876,0.515876,-29.1365,-24.0729,5.06359,5.06359,-0.18045,-0.690625,-0.510175,0.510175
5.07692308,-0.232699,-1.02942,-0.796721,0.796721,-24.8316,-19.2642,5.5674,5.5674,-0.250571,-1.03353,-0.782959,0.782959
5.23076923,-0.380003,-1.98176,-1.60176,1.60176,-19.3014,-13.4088,5.89264,5.89264,-0.422246,-1.98622,-1.56397,1.56397
5.38461538,-1.04471,-5.919,-4.87429,4.87429,-11.6613,-7.18577,4.47557,4.47557,-1.20957,-5.92446,-4.71489,4.71489
5.53846154,-8.77896,-11.1479,-2.36894,2.36894,-3.11426,-4.31604,-1.20178,1.20178,-14.8481,-11.146,3.70211,3.70211
5.69230769,-3.30301,-8.94833,-5.64532,5.64532,-4.54002,-3.88551,0.654508,0.654508,-3.53707,-8.93202,-5.39495,5.39495
5.84615385,-3.18954,-13.8079,-10.6184,10.6184,-4.59279,-3.30053,1.29226,1.29226,-3.21062,-13.679,-10.4684,10.4684
6,-7.34449,-13.4355,-6.09101,6.09101,-2.50774,-3.24438,-0.736637,0.736637,-7.20004,-13.2966,-6.09656,6.09656
6.15384615,-16.0815,-7.96091,8.12058,8.12058,-1.56503,-3.78819,-2.22316,2.22316,-14.9441,-7.92738,7.01673,7.01673
6.30769231,-6.25821,-6.91524,-0.657027,0.657027,-2.5842,-4.05121,-1.46701,1.46701,-6.14796,-6.87815,-0.730188,0.730188
6.46153846,-5.5291,-8.63475,-3.10565,3.10565,-2.88029,-3.72766,-0.847372,0.847372,-5.38225,-8.52338,-3.14113,3.14113
6.61538462,-9.05346,-14.6992,-5.64574,5.64574,-2.06289,-3.2454,-1.18251,1.18251,-8.47243,-14.015,-5.54257,5.54257
6.76923077,-26.0346,-14.6059,11.4287,11.4287,-1.52651,-3.2854,-1.75889,1.75889,-15.9135,-13.984,1.92952,1.92952
6.92307692,-7.44275,-8.93611,-1.49336,1.49336,-2.47805,-3.82687,-1.34882,1.34882,-7.06996,-8.88485,-1.81489,1.81489
7.07692308,-4.56702,-7.31375,-2.74673,2.74673,-3.64513,-4.25752,-0.61239,0.61239,-4.46088,-7.3859,-2.92502,2.92502
7.23076923,-4.26068,-7.86048,-3.5998,3.5998,-3.93995,-4.2425,-0.302553,0.302553,-4.19636,-8.04711,-3.85075,3.85075
7.38461538,-5.70891,-10.7284,-5.01949,5.01949,-3.2611,-3.90498,-0.643876,0.643876,-5.61148,-11.2371,-5.62562,5.62562
7.53846154,-11.469,-16.2898,-4.82077,4.82077,-2.18103,-3.70758,-1.52655,1.52655,-10.9621,-18.7452,-7.7831,7.7831
7.69230769,-16.2486,-12.8596,3.38903,3.38903,-2.07905,-4.05761,-1.97856,1.97856,-14.7705,-13.8107,0.959831,0.959831
7.84615385,-6.79735,-9.03574,-2.23839,2.23839,-3.39481,-4.80936,-1.41455,1.41455,-6.65023,-9.4128,-2.76257,2.76257
8,-4.88625,-7.87408,-2.98783,2.98783,-4.5977,-5.51763,-0.919926,0.919926,-4.83204,-8.15332,-3.32128,3.32128
8.15384615,-7.37084,-8.66463,-1.29379,1.29379,-4.37745,-5.96581,-1.58836,1.58836,-7.5577,-8.98443,-1.42673,1.42673
8.30769231,-4.3579,-11.4904,-7.1325,7.1325,-8.97155,-6.74785,2.2237,2.2237,-4.48417,-12.3273,-7.84313,7.84313
8.46153846,-1.51944,-7.85141,-6.33197,6.33197,-20.4731,-10.1857,10.2874,10.2874,-1.49543,-8.21502,-6.71959,6.71959
8.61538462,-1.04733,-4.57481,-3.52748,3.52748,-30.6917,-16.5336,14.1581,14.1581,-1.0165,-4.60339,-3.58689,3.58689
8.76923077,-0.833472,-3.36307,-2.5296,2.5296,-40.2198,-23.4406,16.7792,16.7792,-0.807874,-3.29638,-2.48851,2.48851
8.92307692,-0.694199,-2.7203,-2.0261,2.0261,-49.9245,-30.1326,19.7919,19.7919,-0.675064,-2.62621,-1.95115,1.95115
9.07692308,-0.593463,-2.27669,-1.68323,1.68323,-61.2486,-36.5536,24.695,24.695,-0.579856,-2.18352,-1.60366,1.60366
9.23076923,-0.518096,-1.94099,-1.42289,1.42289,-74.5743,-42.6778,31.8965,31.8965,-0.508753,-1.85989,-1.35114,1.35114
9.38461538,-0.460887,-1.68085,-1.21996,1.21996,-68.3076,-48.2027,20.1049,20.1049,-0.454701,-1.61472,-1.16002,1.16002
9.53846154,-0.417085,-1.47804,-1.06096,1.06096,-65.8044,-52.2076,13.5968,13.5968,-0.413192,-1.42624,-1.01305,1.01305
9.69230769,-0.383333,-1.31941,-0.936077,0.936077,-64.727,-54.0204,10.7066,10.7066,-0.381094,-1.28006,-0.898966,0.898966
9.84615385,-0.357198,-1.19488,-0.837682,0.837682,-64.1816,-54.5354,9.64624,9.64624,-0.356144,-1.16589,-0.809746,0.809746
10,-0.336893,-1.09676,-0.759867,0.759867,-63.9222,-54.7428,9.17944,9.17944,-0.336681,-1.07623,-0.739549,0.739549
