freq_ghz,s11_db,s21_db,s12_db,s22_db
4,-0.229022,-41.1307,-41.1307,-0.231054
4.15384615,-0.25972,-39.1105,-39.1105,-0.261962
4.30769231,-0.298164,-36.8593,-36.8593,-0.300643
4.46153846,-0.348123,-34.3209,-34.3209,-0.35087
4.61538462,-0.416547,-31.4205,-31.4205,-0.419597
4.76923077,-0.517831,-28.0541,-28.0541,-0.521218
4.92307692,-0.686875,-24.0729,-24.0729,-0.690625
5.07692308,-1.02942,-19.2642,-19.2642,-1.03353
5.23076923,-1.98176,-13.4088,-13.4088,-1.98622
5.38461538,-5.919,-7.18577,-7.18577,-5.92446
5.53846154,-11.1479,-4.31604,-4.31604,-11.146
5.69230769,-8.94833,-3.88551,-3.88551,-8.93202
5.84615385,-13.8079,-3.30053,-3.30053,-13.679
6,-13.4355,-3.24438,-3.24438,-13.2966
6.15384615,-7.96091,-3.78819,-3.78819,-7.92738
6.30769231,-6.91524,-4.05121,-4.05121,-6.87815
6.46153846,-8.63475,-3.72766,-3.72766,-8.52338
6.61538462,-14.6992,-3.2454,-3.2454,-14.015
6.76923077,-14.6059,-3.2854,-3.2854,-13.984
6.92307692,-8.93611,-3.82687,-3.82687,-8.88485
7.07692308,-7.31375,-4.25752,-4.25752,-7.3859
7.23076923,-7.86048,-4.2425,-4.2425,-8.04711
7.38461538,-10.7284,-3.90498,-3.90498,-11.2371
7.53846154,-16.2898,-3.70758,-3.70758,-18.7452
7.69230769,-12.8596,-4.05761,-4.05761,-13.8107
7.84615385,-9.03574,-4.80936,-4.80936,-9.4128
8,-7.87408,-5.51763,-5.51763,-8.15332
8.15384615,-8.66463,-5.96581,-5.96581,-8.98443
8.30769231,-11.4904,-6.74785,-6.74785,-12.3273
8.46153846,-7.85141,-10.1857,-10.1857,-8.21502
8.61538462,-4.57481,-16.5336,-16.5336,-4.60339
8.76923077,-3.36307,-23.4406,-23.4406,-3.29638
8.92307692,-2.7203,-30.1326,-30.1326,-2.62621
9.07692308,-2.27669,-36.5536,-36.5536,-2.18352
9.23076923,-1.94099,-42.6778,-42.6778,-1.85989
9.38461538,-1.68085,-48.2027,-48.2027,-1.61472
9.53846154,-1.47804,-52.2076,-52.2076,-1.42624
9.69230769,-1.31941,-54.0204,-54.0204,-1.28006
9.84615385,-1.19488,-54.5354,-54.5354,-1.16589
10,-1.09676,-54.7428,-54.7428,-1.07623
