candidate,cell,notes,source,target_profile,status,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db
i7_fr4_r5_base,i7_fr4_r5_base_mm_coords,repeat current baseline with home stackup,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_base_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-27.15,-2.13,-2.43,-4.28,-58.64,-4.28,2.83,-5.55,-5.98
i7_fr4_r5_w0335,i7_fr4_r5_w0335_mm_coords,narrower feedline; higher feed impedance trial,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0335_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-25.53,-2.25,-4.52,-5.37,-46.71,-5.37,3.39,-3.46,-3.47
i7_fr4_r5_w0345,i7_fr4_r5_w0345_mm_coords,slightly narrower feedline,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0345_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-24.81,-1.94,-3.26,-4.63,-47.66,-4.63,3.02,-4.79,-4.87
i7_fr4_r5_w0385,i7_fr4_r5_w0385_mm_coords,slightly wider feedline,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0385_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-26.62,-2.66,-2.22,-5.33,-52.56,-5.33,3.95,-4.11,-4.01
i7_fr4_r5_w0405,i7_fr4_r5_w0405_mm_coords,wider feedline; lower feed impedance trial,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0405_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-22.86,-2.85,-3.60,-4.75,-46.94,-4.75,3.20,-4.61,-4.46
i7_fr4_r5_len250,i7_fr4_r5_len250_mm_coords,shorter straight feed section,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_len250_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-16.95,-1.55,-3.22,-6.08,-34.83,-6.08,4.73,-3.22,-3.06
i7_fr4_r5_len350,i7_fr4_r5_len350_mm_coords,slightly longer straight feed section,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_len350_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-27.69,-3.52,-3.79,-4.97,-56.28,-4.97,3.25,-4.25,-4.55
i7_fr4_r5_len400,i7_fr4_r5_len400_mm_coords,longer straight feed section for impedance-transform test,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_len400_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-24.93,-2.54,-3.35,-7.01,-46.15,-7.01,5.22,-2.85,-2.76
i7_fr4_r5_w0345_len350,i7_fr4_r5_w0345_len350_mm_coords,narrow feedline with slightly longer straight section,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0345_len350_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-23.36,-1.90,-3.77,-4.22,-46.25,-4.22,2.55,-4.23,-4.19
i7_fr4_r5_w0385_len350,i7_fr4_r5_w0385_len350_mm_coords,wide feedline with slightly longer straight section,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0385_len350_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-26.91,-2.66,-2.95,-5.02,-52.40,-5.02,3.46,-4.42,-4.62
i7_fr4_r5_w0345_len400,i7_fr4_r5_w0345_len400_mm_coords,narrow feedline with longer straight section,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0345_len400_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-25.66,-1.95,-2.87,-4.78,-50.59,-4.78,3.30,-4.50,-4.60
i7_fr4_r5_w0385_len400,i7_fr4_r5_w0385_len400_mm_coords,wide feedline with longer straight section,D:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\interdigital_7o_fr4_210um_round5\i7_fr4_r5_w0385_len400_mm_coords_rfpro.csv,fr4_25db_rl6,TUNE,-19.55,-1.63,-5.04,-4.99,-38.71,-5.04,3.41,-2.95,-3.18
