round,candidate,cell,status,target_profile,notes,L_mm,tap_mm,Egap_mm,S1_mm,S2_mm,S3_mm,S4_mm,S5_mm,S6_mm,W0_mm,feed_len_mm,feed_taper_len_mm,feed_tip_w_mm,feed_overlap_mm,via_diameter_mm,metal_layer,via_layer,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_db,margin_ripple_db,margin_s11_db,margin_s22_db,hard_constraints_ok,rl6_ok,min_constraint_margin_db,objective_score,geometry_key
interdigital_7o_fr4_210um_round3,i7_fr4_r3_base,i7_fr4_r3_base_mm_coords,TUNE,fr4_25db_rl6,repeat round2 best point as the baseline,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.15,-2.13,-2.43,-4.28,-58.64,-4.28,2.83,-5.55,-5.98,2.15,2.87,0.72,0.72,1.17,-0.45,-0.02,True,False,-0.45,23.3035,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_base,i7_fr4_r4_base_mm_coords,TUNE,fr4_25db_rl6,repeat round3 baseline candidate,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.15,-2.13,-2.43,-4.28,-58.64,-4.28,2.83,-5.55,-5.98,2.15,2.87,0.72,0.72,1.17,-0.45,-0.02,True,False,-0.45,23.3035,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_base,i7_fr4_r5_base_mm_coords,TUNE,fr4_25db_rl6,repeat current baseline with home stackup,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.15,-2.13,-2.43,-4.28,-58.64,-4.28,2.83,-5.55,-5.98,2.15,2.87,0.72,0.72,1.17,-0.45,-0.02,True,False,-0.45,23.3035,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round6,i7_fr4_r6_base,i7_fr4_r6_base_mm_coords,TUNE,fr4_25db_rl6,repeat current best hard-pass baseline,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-27.15,-2.13,-2.43,-4.28,-58.64,-4.28,2.83,-5.55,-5.98,2.15,2.87,0.72,0.72,1.17,-0.45,-0.02,True,False,-0.45,23.3035,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t195_tw020,i7_fr4_r3_t195_tw020_mm_coords,TUNE,fr4_25db_rl6,slightly wider taper tip to compare match recovery,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.2,0.06,0.254,cond,pcvia1,-24.97,-1.68,-2.68,-4.03,-47.22,-4.03,2.64,-5.68,-5.64,-0.03,3.32,0.97,0.97,1.36,-0.32,-0.36,False,False,-0.36,22.7658,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.20000|0.06000|0.25400
interdigital_7o_fr4_210um_round4,i7_fr4_r4_tw020,i7_fr4_r4_tw020_mm_coords,TUNE,fr4_25db_rl6,carry over the round3 best S11 point,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.2,0.06,0.254,cond,pcvia1,-24.97,-1.68,-2.68,-4.03,-47.22,-4.03,2.64,-5.68,-5.64,-0.03,3.32,0.97,0.97,1.36,-0.32,-0.36,False,False,-0.36,22.7658,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.20000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t195_tw022,i7_fr4_r3_t195_tw022_mm_coords,TUNE,fr4_25db_rl6,wider taper tip to test weaker local coupling,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.6,0.22,0.06,0.254,cond,pcvia1,-25.93,-2.72,-2.69,-4.30,-49.93,-4.30,2.88,-5.06,-5.50,0.93,2.28,0.7,0.7,1.12,-0.94,-0.5,True,False,-0.94,13.0885,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.60000|0.22000|0.06000|0.25400
interdigital_7o_fr4_210um_round2,i7_fr4_r2_t195_s1p,i7_fr4_r2_t195_s1p_mm_coords,TUNE,fr4_25db_rl6,nominal tap with relaxed outer coupling,5.55,1.95,0.4823,0.1276,0.175,0.1857,0.1857,0.175,0.1276,0.3648,3,0.6,0.18,0.06,0.254,cond,pcvia1,-24.00,-2.07,-2.57,-4.12,-44.74,-4.12,2.62,-5.54,-5.36,-1,2.93,0.88,0.88,1.38,-0.46,-0.64,False,False,-1,0.307,5.55000|1.95000|0.48230|0.12760|0.17500|0.18570|0.18570|0.17500|0.12760|0.36480|3.00000|0.60000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round3,i7_fr4_r3_t195_tl045,i7_fr4_r3_t195_tl045_mm_coords,TUNE,fr4_25db_rl6,shorter taper at the current tap to tighten the feed transition,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.3648,3,0.45,0.18,0.06,0.254,cond,pcvia1,-25.36,-2.33,-2.13,-4.55,-47.50,-4.55,3.11,-4.91,-4.84,0.36,2.67,0.45,0.45,0.89,-1.09,-1.16,True,False,-1.16,-1.545,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.36480|3.00000|0.45000|0.18000|0.06000|0.25400
interdigital_7o_fr4_210um_round5,i7_fr4_r5_w0345,i7_fr4_r5_w0345_mm_coords,TUNE,fr4_25db_rl6,slightly narrower feedline,5.55,1.95,0.4823,0.1176,0.175,0.1857,0.1857,0.175,0.1176,0.345,3,0.6,0.18,0.06,0.254,cond,pcvia1,-24.81,-1.94,-3.26,-4.63,-47.66,-4.63,3.02,-4.79,-4.87,-0.19,3.06,0.37,0.37,0.98,-1.21,-1.13,False,False,-1.21,-4.4323,5.55000|1.95000|0.48230|0.11760|0.17500|0.18570|0.18570|0.17500|0.11760|0.34500|3.00000|0.60000|0.18000|0.06000|0.25400
