frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.997386877780136,-0.022726998374094486,1.6290049172543664,0.0010381238217573026,-59.67501686233682,-0.21945309156267176,0.0010381238217573026,-59.67501686233682,-0.21945309156267176,0.997415728133041,-0.022475754485975656,1.625582207701765
4500000000.0,0.9951066917783327,-0.04260706515515475,1.3260589142872914,0.003497706841172747,-49.124331870825344,-0.48529537094749264,0.003497706841172747,-49.124331870825344,-0.48529537094749264,0.995249630406648,-0.04135950044640424,1.3256831661009263
4750000000.0,0.992761148980579,-0.06310453980576809,1.1373882957720036,0.00699771439929654,-43.100875730748015,-0.660521607207367,0.00699771439929654,-43.100875730748015,-0.660521607207367,0.9931168677291579,-0.05999283425346935,1.1416799928428898
5000000000.0,0.9875799852626872,-0.10855440513932849,0.8975713710017379,0.017245744378416587,-35.26636110860875,-0.8855244776010581,0.017245744378416587,-35.26636110860875,-0.8855244776010581,0.9886951319846926,-0.09875208328539249,0.9137042798830638
5250000000.0,0.9640448440489489,-0.31805527484731594,0.5171139211693164,0.07033037772805911,-23.057141001718733,-1.2638910739466844,0.07033037772805911,-23.057141001718733,-1.2638910739466844,0.9706921633138499,-0.2583695310014342,0.5786206040301737
5375000000.0,0.8588654037192516,-1.3214978177194907,0.08307915891758309,0.2298913490884853,-12.769547422271918,-1.7446910719182684,0.2298913490884853,-12.769547422271918,-1.7446910719182684,0.8950438549994411,-0.9631136955219894,0.26051187668003195
5500000000.0,0.4102285952314754,-7.739481403078053,1.0594473547860737,0.6314452214351439,-3.9932863799345055,-3.500028964077312,0.6314452214351439,-3.9932863799345055,-3.500028964077312,0.5778067519677389,-4.764347750175725,0.5052809099858337
5750000000.0,0.39483757446681256,-8.071630493548108,-0.4294527685411877,0.8129564001628723,-1.798654910416924,-5.517648546655628,0.8129564001628723,-1.798654910416924,-5.517648546655628,0.3789585720242735,-8.428165295343748,-0.7874420710833588
5875000000.0,0.4347311581516604,-7.235584636790887,0.8540418333423895,0.8157386117108902,-1.7689796111300968,-6.79183413952743,0.8157386117108902,-1.7689796111300968,-6.79183413952743,0.4229344082805562,-7.4745396184857,1.0521984015630186
6000000000.0,0.6108717415087387,-4.280999291128873,0.1718587536653874,0.7177446050944446,-2.8806012636097904,-7.623889725179036,0.7177446050944446,-2.8806012636097904,-7.623889725179036,0.6141803852165183,-4.234081150508151,0.3012095786706741
6500000000.0,0.298473111567042,-10.501895737863972,0.2881885191077487,0.878582837875593,-1.124345688810377,-4.8305260947359105,0.878582837875593,-1.124345688810377,-4.8305260947359105,0.2886979346603721,-10.791126460855427,-0.40078876844745387
7000000000.0,0.6355202573806473,-3.9374120326977318,-0.06984467025622083,0.6932620332916759,-3.1820516684151077,-1.7433197404625203,0.6932620332916759,-3.1820516684151077,-1.7433197404625203,0.627026064920879,-4.054288111104089,-0.23285323349615508
7250000000.0,0.2123478310654368,-13.459043411254875,-0.7671650866530892,0.8848437194626916,-1.0626685469104753,-3.3948180513560176,0.8848437194626916,-1.0626685469104753,-3.3948180513560176,0.13468756236474694,-17.413450141331545,-2.577511974018413
7500000000.0,0.4840748467717336,-6.301749666828736,-0.8479511078457723,0.7749861079811674,-2.214121647453033,-5.212641084401319,0.7749861079811674,-2.214121647453033,-5.212641084401319,0.4780772256637476,-6.410038889068723,-0.20208984638708846
7625000000.0,0.45888300091588147,-6.765960604449409,-1.6325184147067555,0.7801519599979257,-2.1564159215551,-6.050875122544049,0.7801519599979257,-2.1564159215551,-6.050875122544049,0.4636040533030857,-6.677055512863039,-0.9906082703868117
7750000000.0,0.23373702527057807,-12.625449748983497,-2.6374426124633925,0.8512556664304327,-1.3987996832858776,-7.022965354614224,0.8512556664304327,-1.3987996832858776,-7.022965354614224,0.25720163179479927,-11.794525607862312,-1.6800501053680745
8000000000.0,0.4380019543878557,-7.170479032933188,-1.8197758048581898,0.7177202124096639,-2.880896460211502,-9.379623305241441,0.7177202124096639,-2.880896460211502,-9.379623305241441,0.4844569376102726,-6.294896408978131,-1.2929134437495953
9000000000.0,0.9597774168683455,-0.35658946075055786,-4.025903053157711,0.01392912344366569,-37.12152425523499,-9.18321209042215,0.01392912344366569,-37.12152425523499,-9.18321209042215,0.9600768280415078,-0.3538802421372477,-3.974660308163736
9500000000.0,0.9708221077632813,-0.25720684766159024,-4.638914142404653,0.00659679496210458,-43.61334028416447,-10.347193830171815,0.00659679496210458,-43.61334028416447,-10.347193830171815,0.9703196216075177,-0.26170372630271893,-4.5925435504202445
10000000000.0,0.9750194877111927,-0.2197340794475952,-5.077264869698018,0.003591282822399921,-48.895007835261865,-11.437132188926261,0.003591282822399921,-48.895007835261865,-11.437132188926261,0.974471170433413,-0.22462009771819222,-5.038668725044126
