frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.9978731931556459,-0.01849288190361479,1.6963984429461796,0.000494821911372461,-66.11102154959491,-0.26745728786750295,0.000494821911372461,-66.11102154959491,-0.26745728786750295,0.9978646983175026,-0.01856682470634668,1.6912749824921942
4500000000.0,0.9963269472045928,-0.03196246713111162,1.434282448539182,0.001836096764012043,-54.72208869614755,-0.4310294123009588,0.001836096764012043,-54.72208869614755,-0.4310294123009588,0.9963049357840151,-0.032154362856111986,1.4278333393152345
5000000000.0,0.9926160160643314,-0.06437443302083824,1.1041626376862028,0.00709777903710508,-42.97755049835877,-0.7281508667777936,0.00709777903710508,-42.97755049835877,-0.7281508667777936,0.9926407551167454,-0.0641579565608162,1.09556845936929
5500000000.0,0.9281812794289648,-0.6473439030561718,0.45983453302210486,0.12480048265735603,-18.07567470092109,-1.432182841184404,0.12480048265735603,-18.07567470092109,-1.432182841184404,0.9446529975787558,-0.49455385970150806,0.504394727123564
5625000000.0,0.43994293584765937,-7.132073027260853,1.0382035491661243,0.503570216727455,-5.958799276343808,-3.156716195320658,0.503570216727455,-5.958799276343808,-3.156716195320658,0.6551042211129547,-3.673792044328456,0.6161262912744472
5750000000.0,0.8950932997284871,-0.9626338759074392,0.5666051580286714,0.3290060684754769,-9.655921829383052,-4.27989258927702,0.3290060684754769,-9.655921829383052,-4.27989258927702,0.9017410007070409,-0.8983636641459765,0.28116796615756173
6000000000.0,0.46710220250956896,-6.611761697896798,0.4402640932543022,0.7826513434538539,-2.128633298722807,-6.358253860099578,0.7826513434538539,-2.128633298722807,-6.358253860099578,0.2948982533616261,-10.606555994040612,2.2072384015555953
6500000000.0,0.3524580782564188,-9.057850621089068,1.0168895430847569,0.8389969702953882,-1.5247921490128933,-3.841985937827193,0.8389969702953882,-1.5247921490128933,-3.841985937827193,0.3769932433657008,-8.473328666721688,0.5051065244350156
7000000000.0,0.5566397289592089,-5.088516001289765,0.5073360641629601,0.7464027765942957,-2.5405350739412524,-1.1496524487507893,0.7464027765942957,-2.5405350739412524,-1.1496524487507893,0.5514091041747528,-5.170521352917693,0.2779763556925039
7125000000.0,0.5746791311895945,-4.811491469672003,-0.10960350568882013,0.7339093304273175,-2.6871518187737564,-1.888504472022355,0.7339093304273175,-2.6871518187737564,-1.888504472022355,0.560148741933237,-5.033932701896666,-0.4704600018311362
7250000000.0,0.37689920104854036,-8.475495663349529,-0.6202889641127676,0.8319360151994916,-1.5982014865500918,-2.735599229113034,0.8319360151994916,-1.5982014865500918,-2.735599229113034,0.3315010471838222,-9.590301907148735,-1.4762947485200129
7500000000.0,0.5310554032971699,-5.497203360251026,-0.29956787750594943,0.7404880194156617,-2.609639273409382,-4.733597233940215,0.7404880194156617,-2.609639273409382,-4.733597233940215,0.5092940619199645,-5.860627748435069,0.12854423820550337
8000000000.0,0.6061693124990383,-4.348121073972929,-1.4136409593290644,0.6245638540245319,-4.088463074288438,-2.7024056057896777,0.6245638540245319,-4.088463074288438,-2.7024056057896777,0.5863970030100452,-4.636165159546134,-1.1258756761768982
8250000000.0,0.29175941317680654,-10.699502464020618,-2.6072116284975166,0.5236549197356422,-5.61909623832494,-5.266220086146328,0.5236549197356422,-5.61909623832494,-5.266220086146328,0.480237303714424,-6.370882159711755,-2.4965332198832257
8312500000.0,0.6426532530523422,-3.840465795156955,-2.1731438788114206,0.31426158496673834,-10.054174069537662,-6.325681100451124,0.31426158496673834,-10.054174069537662,-6.325681100451124,0.711353084582704,-2.958295619066797,-2.3944948954754834
8375000000.0,0.8302934582417008,-1.6153676760941404,-2.5644508228112546,0.15973774534167567,-15.931848996365584,-6.940510071481264,0.15973774534167567,-15.931848996365584,-6.940510071481264,0.8522295792370467,-1.3888679270836632,-2.709558180397734
8500000000.0,0.913935065970737,-0.7816931858130662,-3.073624392679607,0.06071625813302972,-24.333900026260665,-7.658348164616816,0.06071625813302972,-24.333900026260665,-7.658348164616816,0.9196390447367822,-0.7276519669816524,-3.1764022720232474
9000000000.0,0.9610584174428543,-0.34500426323678646,-4.134992890145849,0.011625870383822925,-38.69149046554937,-9.38685382241104,0.011625870383822925,-38.69149046554937,-9.38685382241104,0.9626984129791651,-0.3301948824867262,-4.201004937405511
9500000000.0,0.9718101696356746,-0.24837121034711637,-4.733133862619093,0.004992850060001025,-46.03302952044373,-10.57863783823499,0.004992850060001025,-46.03302952044373,-10.57863783823499,0.9729397771244137,-0.23828081584544292,-4.778658345306152
10000000000.0,0.9760357967817066,-0.21068507986954155,-5.157299117128319,0.002604313133253856,-51.68613597912511,-11.768236349514922,0.002604313133253856,-51.68613597912511,-11.768236349514922,0.9768742496834271,-0.2032267641814102,-5.189250892200944
