candidate,cell,notes,source,status,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db
r3b_l597,r3b_l597_mm_coords,shorten length to check whether 6 GHz insertion can lift,SIM\ADS\results\opt_round3_l600\r3b_l597_mm_coords_rfpro.csv,TUNE,-44.14,-2.06,-1.96,-4.17,-38.06,-4.17,2.58,-4.25,-4.14
r3b_l598,r3b_l598_mm_coords,slight length trim around the fitted best point,SIM\ADS\results\opt_round3_l600\r3b_l598_mm_coords_rfpro.csv,TUNE,-44.77,-2.75,-2.22,-4.74,-38.77,-4.74,3.67,-3.89,-3.57
r3b_l599,r3b_l599_mm_coords,tiny length trim around the fitted best point,SIM\ADS\results\opt_round3_l600\r3b_l599_mm_coords_rfpro.csv,TUNE,-42.51,-1.70,-2.88,-3.74,-38.38,-3.74,2.67,-4.29,-4.47
r3b_t185,r3b_t185_mm_coords,lower tap to recover passband insertion and match,SIM\ADS\results\opt_round3_l600\r3b_t185_mm_coords_rfpro.csv,TUNE,-43.08,-2.34,-2.82,-2.25,-39.14,-4.94,4.06,-2.35,-2.39
r3b_t190,r3b_t190_mm_coords,keep nominal tap as control,SIM\ADS\results\opt_round3_l600\r3b_t190_mm_coords_rfpro.csv,TUNE,-43.08,-1.21,-2.30,-3.48,-39.17,-3.48,2.51,-5.46,-5.16
r3b_t195,r3b_t195_mm_coords,raise tap slightly to compare match / edge tradeoff,SIM\ADS\results\opt_round3_l600\r3b_t195_mm_coords_rfpro.csv,TUNE,-42.98,-2.13,-2.54,-4.09,-38.69,-4.09,2.56,-4.35,-4.64
r3b_e515,r3b_e515_mm_coords,smaller end gap to see if 6/8 GHz edges improve,SIM\ADS\results\opt_round3_l600\r3b_e515_mm_coords_rfpro.csv,TUNE,-42.25,-1.11,-2.59,-2.91,-39.26,-2.91,2.06,-4.98,-4.98
r3b_e540,r3b_e540_mm_coords,larger end gap to push stopband / 5 GHz suppression,SIM\ADS\results\opt_round3_l600\r3b_e540_mm_coords_rfpro.csv,TUNE,-40.53,-2.58,-2.61,-1.83,-37.53,-3.39,2.42,-3.73,-3.60
r3b_s1p,r3b_s1p_mm_coords,increase outer gaps for extra 5 GHz suppression,SIM\ADS\results\opt_round3_l600\r3b_s1p_mm_coords_rfpro.csv,TUNE,-42.52,-2.74,-1.85,-2.43,-39.01,-3.80,2.66,-3.53,-3.30
r3b_s1m,r3b_s1m_mm_coords,decrease outer gaps for extra edge coupling,SIM\ADS\results\opt_round3_l600\r3b_s1m_mm_coords_rfpro.csv,TUNE,-42.86,-1.72,-3.47,-5.78,-38.66,-5.78,4.50,-2.85,-2.89
r3b_l599s1p,r3b_l599s1p_mm_coords,combine tiny length trim with stronger outer suppression,SIM\ADS\results\opt_round3_l600\r3b_l599s1p_mm_coords_rfpro.csv,TUNE,-42.76,-1.93,-2.15,-3.11,-39.02,-3.11,2.12,-4.44,-4.44
