freq	dB(S11_fitted)
4.00000000000000000E+09	-6.04660704348712191E-02
4.03125000000000000E+09	-6.17774446735872979E-02
4.06250000000000000E+09	-6.31337727708446289E-02
4.09375000000000000E+09	-6.45375286510254942E-02
4.12500000000000000E+09	-6.59913834567518731E-02
4.15625000000000000E+09	-6.74982257886688197E-02
4.18750000000000000E+09	-6.90611844972080779E-02
4.21875000000000000E+09	-7.06836544109516463E-02
4.25000000000000000E+09	-7.23693254538891328E-02
4.31250000000000000E+09	-7.59467088963540621E-02
4.37500000000000000E+09	-7.98301317017895695E-02
4.43750000000000000E+09	-8.40637731376711467E-02
4.50000000000000000E+09	-8.87011597006426983E-02
4.56250000000000000E+09	-9.38077956940287228E-02
4.62500000000000000E+09	-9.94647395494468872E-02
4.68750000000000000E+09	-1.05773549487383184E-01
4.75000000000000000E+09	-1.12863254304157945E-01
4.81250000000000000E+09	-1.20900391041641728E-01
4.87500000000000000E+09	-1.30103812964037280E-01
4.93750000000000000E+09	-1.40767145570120905E-01
5.00000000000000000E+09	-1.53293935845080026E-01
5.06250000000000000E+09	-1.68254723462667288E-01
5.12500000000000000E+09	-1.86483762753832050E-01
5.18750000000000000E+09	-2.09251453738384607E-01
5.25000000000000000E+09	-2.38590917523613361E-01
5.28125000000000000E+09	-2.56719839105168601E-01
5.31250000000000000E+09	-2.77963551239401585E-01
5.34375000000000000E+09	-3.03216333358846346E-01
5.37500000000000000E+09	-3.33743336492006437E-01
5.39062500000000000E+09	-3.51529674667928727E-01
5.40625000000000000E+09	-3.71387086731673477E-01
5.42187500000000000E+09	-3.93693750289009825E-01
5.43750000000000000E+09	-4.18921689278892950E-01
5.45312500000000000E+09	-4.47666203406897945E-01
5.46875000000000000E+09	-4.80686446680678170E-01
5.48437500000000000E+09	-5.18962092265960795E-01
5.50000000000000000E+09	-5.63773500871479927E-01
5.50781250000000000E+09	-5.89139765940269844E-01
5.51562500000000000E+09	-6.16816651764834245E-01
5.52343750000000000E+09	-6.47108393243278068E-01
5.53125000000000000E+09	-6.80370065725366513E-01
5.53906250000000000E+09	-7.17017627957484249E-01
5.54687500000000000E+09	-7.57540181339437901E-01
5.55468750000000000E+09	-8.02514954965593441E-01
5.56250000000000000E+09	-8.52625630574419091E-01
5.56640625000000000E+09	-8.79855103895948454E-01
5.57031250000000000E+09	-9.08684732539444262E-01
5.57421875000000000E+09	-9.39240687092510962E-01
5.57812500000000000E+09	-9.71660910433931102E-01
5.58203125000000000E+09	-1.00609630059339938E+00
5.58593750000000000E+09	-1.04271200380252083E+00
5.58984375000000000E+09	-1.08168882219472162E+00
5.59375000000000000E+09	-1.12322473824675328E+00
5.59765625000000000E+09	-1.16753655445240145E+00
5.60156250000000000E+09	-1.21486164142740516E+00
5.60546875000000000E+09	-1.26545978006817395E+00
5.60937500000000000E+09	-1.31961507274067613E+00
5.61328125000000000E+09	-1.37763788373876461E+00
5.61718750000000000E+09	-1.43986674909711176E+00
5.62109375000000000E+09	-1.50667016857539804E+00
5.62500000000000000E+09	-1.57844815609216527E+00
5.62890625000000000E+09	-1.65563337638689689E+00
5.63281250000000000E+09	-1.73869163192588294E+00
5.63671875000000000E+09	-1.82812138110605016E+00
5.64062500000000000E+09	-1.92445186212835040E+00
5.64453125000000000E+09	-2.02823926163296253E+00
5.64843750000000000E+09	-2.14006019859552721E+00
5.65234375000000000E+09	-2.26050158856060968E+00
5.65625000000000000E+09	-2.39014571058145942E+00
5.66015625000000000E+09	-2.52954902505551127E+00
5.66406250000000000E+09	-2.67921300227223291E+00
5.66796875000000000E+09	-2.83954495579970922E+00
5.67187500000000000E+09	-3.01080670034286335E+00
5.67382812500000000E+09	-3.10056244086434507E+00
5.67578125000000000E+09	-3.19304888726250091E+00
5.67773437500000000E+09	-3.28822597219818391E+00
5.67968750000000000E+09	-3.38602929857330004E+00
5.68164062500000000E+09	-3.48636668251687354E+00
5.68359375000000000E+09	-3.58911447817868723E+00
5.68554687500000000E+09	-3.69411373052407521E+00
5.68750000000000000E+09	-3.80116622380634928E+00
5.68945312500000000E+09	-3.91003051920597633E+00
5.69140625000000000E+09	-4.02041810528008448E+00
5.69335937500000000E+09	-4.13198981895603268E+00
5.69531250000000000E+09	-4.24435273186218875E+00
5.69726562500000000E+09	-4.35705773502647009E+00
5.69921875000000000E+09	-4.46959809163906030E+00
5.70117187500000000E+09	-4.58140925871868721E+00
5.70312500000000000E+09	-4.69187029896350793E+00
5.70507812500000000E+09	-4.80030720746889017E+00
5.70703125000000000E+09	-4.90599845723132244E+00
5.70898437500000000E+09	-5.00818301524698839E+00
5.71093750000000000E+09	-5.10607099144676546E+00
5.71289062500000000E+09	-5.19885695219775279E+00
5.71484375000000000E+09	-5.28573575955165964E+00
5.71679687500000000E+09	-5.36592059386333009E+00
5.71875000000000000E+09	-5.43866259516787487E+00
5.72265625000000000E+09	-5.55913517774779642E+00
5.72656250000000000E+09	-5.64268764015871138E+00
5.73046875000000000E+09	-5.68666024030051087E+00
5.73437500000000000E+09	-5.69054250991323674E+00
5.73828125000000000E+09	-5.65601510444509792E+00
5.74218750000000000E+09	-5.58668169158753081E+00
5.74609375000000000E+09	-5.48756575239708333E+00
5.75000000000000000E+09	-5.36449816523220413E+00
5.75390625000000000E+09	-5.22352395468760911E+00
5.75781250000000000E+09	-5.07042057321782558E+00
5.76171875000000000E+09	-4.91036951454887216E+00
5.76562500000000000E+09	-4.74777946450612731E+00
5.76953125000000000E+09	-4.58623285467223951E+00
5.77343750000000000E+09	-4.42851837110029045E+00
5.77734375000000000E+09	-4.27671418287816429E+00
5.78125000000000000E+09	-4.13229431699649918E+00
5.78515625000000000E+09	-3.99623936265441282E+00
5.78906250000000000E+09	-3.86914025148773622E+00
5.79296875000000000E+09	-3.75128945922658552E+00
5.79687500000000000E+09	-3.64275767314548071E+00
5.80078125000000000E+09	-3.54345616563406640E+00
5.80468750000000000E+09	-3.45318625638240029E+00
5.80859375000000000E+09	-3.37167771368622748E+00
5.81250000000000000E+09	-3.29861801800482235E+00
5.82031250000000000E+09	-3.17650933598971674E+00
5.82812500000000000E+09	-3.08421239148434889E+00
5.83593750000000000E+09	-3.01930804341206072E+00
5.84375000000000000E+09	-2.97976512850552488E+00
5.85156250000000000E+09	-2.96400480862943505E+00
5.85937500000000000E+09	-2.97091689881602727E+00
5.86718750000000000E+09	-2.99985518157538955E+00
5.87500000000000000E+09	-3.05062676904027397E+00
5.88281250000000000E+09	-3.12348363938159901E+00
5.89062500000000000E+09	-3.21912053457973091E+00
5.89843750000000000E+09	-3.33868118752309861E+00
5.90625000000000000E+09	-3.48377355723930870E+00
5.91406250000000000E+09	-3.65649389133887937E+00
5.92187500000000000E+09	-3.85945865478228711E+00
5.92968750000000000E+09	-4.09584235991870926E+00
5.93750000000000000E+09	-4.36941774621278967E+00
5.94531250000000000E+09	-4.68459204440659427E+00
5.95312500000000000E+09	-5.04642826288083768E+00
5.96093750000000000E+09	-5.46063175910056664E+00
5.96875000000000000E+09	-5.93346633641417576E+00
5.97265625000000000E+09	-6.19393072631396446E+00
5.97656250000000000E+09	-6.47153396848528217E+00
5.98046875000000000E+09	-6.76707623597921248E+00
5.98437500000000000E+09	-7.08129494820249761E+00
5.98828125000000000E+09	-7.41481767830899141E+00
5.99218750000000000E+09	-7.76809668295434186E+00
5.99609375000000000E+09	-8.14131848392906754E+00
6.00000000000000000E+09	-8.53427998542333022E+00
6.00390625000000000E+09	-8.94622057714900976E+00
6.00781250000000000E+09	-9.37559817382285843E+00
6.01171875000000000E+09	-9.81979757283058241E+00
6.01562500000000000E+09	-1.02747646270962001E+01
6.01953125000000000E+09	-1.07345743190775806E+01
6.02343750000000000E+09	-1.11909719330636683E+01
6.02734375000000000E+09	-1.16329816271989017E+01
6.03125000000000000E+09	-1.20467566810488016E+01
6.03515625000000000E+09	-1.24159294299274165E+01
6.03906250000000000E+09	-1.27227435934675270E+01
6.04296875000000000E+09	-1.29501144220991389E+01
6.04687500000000000E+09	-1.30843900336048158E+01
6.05078125000000000E+09	-1.31180825449275034E+01
6.05468750000000000E+09	-1.30515472186615575E+01
