freq	dB(S21_fitted)
4.00000000000000000E+09	-6.76961036574852102E+01
4.03125000000000000E+09	-6.68851336380870976E+01
4.06250000000000000E+09	-6.61007569535392463E+01
4.09375000000000000E+09	-6.53396381361206551E+01
4.12500000000000000E+09	-6.45988467158661308E+01
4.15625000000000000E+09	-6.38757895093895556E+01
4.18750000000000000E+09	-6.31681537815438858E+01
4.21875000000000000E+09	-6.24738597215237945E+01
4.25000000000000000E+09	-6.17910206821398873E+01
4.31250000000000000E+09	-6.04529317660431360E+01
4.37500000000000000E+09	-5.91415104859147220E+01
4.43750000000000000E+09	-5.78457941260733648E+01
4.50000000000000000E+09	-5.65556891042568992E+01
4.56250000000000000E+09	-5.52615413362407537E+01
4.62500000000000000E+09	-5.39537764950808878E+01
4.68750000000000000E+09	-5.26225773616055221E+01
4.75000000000000000E+09	-5.12575722680263368E+01
4.81250000000000000E+09	-4.98475113231610649E+01
4.87500000000000000E+09	-4.83799062532875652E+01
4.93750000000000000E+09	-4.68406050695170677E+01
5.00000000000000000E+09	-4.52132632003826274E+01
5.06250000000000000E+09	-4.34786555910845607E+01
5.12500000000000000E+09	-4.16137444454005774E+01
5.18750000000000000E+09	-3.95903649604394374E+01
5.25000000000000000E+09	-3.73732978253397192E+01
5.28125000000000000E+09	-3.61785032467209504E+01
5.31250000000000000E+09	-3.49173272980625384E+01
5.34375000000000000E+09	-3.35817952710214627E+01
5.37500000000000000E+09	-3.21625785977888015E+01
5.39062500000000000E+09	-3.14182236449846997E+01
5.40625000000000000E+09	-3.06486648706453977E+01
5.42187500000000000E+09	-2.98521945795491597E+01
5.43750000000000000E+09	-2.90269432752306180E+01
5.45312500000000000E+09	-2.81708626631282577E+01
5.46875000000000000E+09	-2.72817089825579160E+01
5.48437500000000000E+09	-2.63570286805501119E+01
5.50000000000000000E+09	-2.53941501283687288E+01
5.50781250000000000E+09	-2.48974926506074503E+01
5.51562500000000000E+09	-2.43901880246442815E+01
5.52343750000000000E+09	-2.38718468660413592E+01
5.53125000000000000E+09	-2.33420722642085288E+01
5.53906250000000000E+09	-2.28004636088457033E+01
5.54687500000000000E+09	-2.22466220206288838E+01
5.55468750000000000E+09	-2.16801579203396244E+01
5.56250000000000000E+09	-2.11007014404673221E+01
5.56640625000000000E+09	-2.08059942581068498E+01
5.57031250000000000E+09	-2.05079166039821956E+01
5.57421875000000000E+09	-2.02064349138274082E+01
5.57812500000000000E+09	-1.99015204785243007E+01
5.58203125000000000E+09	-1.95931504291346563E+01
5.58593750000000000E+09	-1.92813088725490189E+01
5.58984375000000000E+09	-1.89659881985222434E+01
5.59375000000000000E+09	-1.86471905811755221E+01
5.59765625000000000E+09	-1.83249297003976217E+01
5.60156250000000000E+09	-1.79992327108784771E+01
5.60546875000000000E+09	-1.76701424886098479E+01
5.60937500000000000E+09	-1.73377201863860009E+01
5.61328125000000000E+09	-1.70020481308413949E+01
5.61718750000000000E+09	-1.66632330934802368E+01
5.62109375000000000E+09	-1.63214099664597576E+01
5.62500000000000000E+09	-1.59767458698917437E+01
5.62890625000000000E+09	-1.56294447102543881E+01
5.63281250000000000E+09	-1.52797521980460225E+01
5.63671875000000000E+09	-1.49279613157347377E+01
5.64062500000000000E+09	-1.45744182027871574E+01
5.64453125000000000E+09	-1.42195283913429549E+01
5.64843750000000000E+09	-1.38637632821011962E+01
5.65234375000000000E+09	-1.35076666934915011E+01
5.65625000000000000E+09	-1.31518612469659057E+01
5.66015625000000000E+09	-1.27970542669812595E+01
5.66406250000000000E+09	-1.24440427773340208E+01
5.66796875000000000E+09	-1.20937170699240752E+01
5.67187500000000000E+09	-1.17470622153529938E+01
5.67382812500000000E+09	-1.15754448648268635E+01
5.67578125000000000E+09	-1.14051567892637102E+01
5.67773437500000000E+09	-1.12363466273324537E+01
5.67968750000000000E+09	-1.10691680216628150E+01
5.68164062500000000E+09	-1.09037792151745130E+01
5.68359375000000000E+09	-1.07403425616831996E+01
5.68554687500000000E+09	-1.05790239465636056E+01
5.68750000000000000E+09	-1.04199921144118779E+01
5.68945312500000000E+09	-1.02634179020916942E+01
5.69140625000000000E+09	-1.01094733772739076E+01
5.69335937500000000E+09	-9.95833088458289595E+00
5.69531250000000000E+09	-9.81016200370780034E+00
5.69726562500000000E+09	-9.66513642630189906E+00
5.69921875000000000E+09	-9.52342076110127955E+00
5.70117187500000000E+09	-9.38517727938257984E+00
5.70312500000000000E+09	-9.25056261554962411E+00
