time_ns,s11_rho,s11_z_ohm,s22_rho,s22_z_ohm
0,0.0198673037,52.0270014,0.0249855541,52.562583
0.009765625,0.0351605378,53.6441853,0.0439356681,54.5954719
0.01953125,0.0416434161,54.3452945,0.0519194377,55.4762686
0.029296875,0.0373656534,53.881604,0.0467619263,54.9055873
0.0390625,0.0234161232,52.3977585,0.0298322204,53.0749548
0.048828125,0.00377118806,50.3785464,0.00579413953,50.5827907
0.05859375,-0.0157592338,48.4485267,-0.0186443508,48.1696899
0.068359375,-0.0292022336,47.1626341,-0.036636935,46.4657892
0.078125,-0.0322243211,46.8781668,-0.0432070757,45.8582455
0.087890625,-0.0235311365,47.7009848,-0.0367690886,46.453493
0.09765625,-0.00544713028,49.458238,-0.0197190112,48.0662309
0.107421875,0.0164946156,51.6771251,0.00206547052,50.2069746
0.1171875,0.0348236398,53.608008,0.0206486535,52.108401
0.126953125,0.0418816077,54.3712351,0.0279474924,52.8751011
0.13671875,0.0315383805,53.2565442,0.0175670845,51.7881205
0.146484375,0.000398071473,50.039823,-0.0139470719,48.6244773
0.15625,-0.0517979616,45.0752936,-0.0667369651,43.7438218
0.166015625,-0.122596572,39.0791959,-0.138143105,37.8624134
0.17578125,-0.207851247,32.7916519,-0.223824679,31.7110504
0.185546875,-0.302930572,26.7500603,-0.319046115,25.8123608
0.1953125,-0.403692726,21.2406627,-0.419679316,20.4384426
0.205078125,-0.506929051,16.3601249,-0.522619595,15.676286
0.21484375,-0.610205243,12.1038842,-0.62556093,11.5172266
0.224609375,-0.711269741,8.43614107,-0.726331367,7.92630656
0.234375,-0.807367915,5.32907782,-0.822159913,4.87992536
0.244140625,-0.894836788,2.77499393,-0.909270888,2.37601464
0.25390625,-0.969245055,0.780881602,-0.983072079,0.426810533
0.263671875,-1.02612658,0.125313283,-1.03896608,0.125313283
0.2734375,-1.06211087,0.125313283,-1.07355639,0.125313283
0.283203125,-1.076071,0.125313283,-1.08583594,0.125313283
0.29296875,-1.06985805,0.125313283,-1.07790631,0.125313283
0.302734375,-1.04829538,0.125313283,-1.05490077,0.125313283
0.3125,-1.01833549,0.125313283,-1.02403568,0.125313283
0.322265625,-0.987561548,0.312907354,-0.993008832,0.175392301
0.33203125,-0.962448087,0.956761955,-0.968198299,0.807888638
0.341796875,-0.946899557,1.36371808,-0.953207358,1.19784113
0.3515625,-0.94151958,1.50604764,-0.948213288,1.3290822
0.361328125,-0.943844916,1.44443324,-0.950333415,1.27328447
0.37109375,-0.94947493,1.29586355,-0.954899007,1.15353766
0.380859375,-0.953739127,1.18390609,-0.957232417,1.09255249
0.390625,-0.95336844,1.19361917,-0.954354584,1.16778747
0.400390625,-0.947631379,1.34441819,-0.946067223,1.38568638
0.41015625,-0.938568111,1.58446558,-0.935054159,1.67814013
0.419921875,-0.930249632,1.80677065,-0.925965816,1.9220015
0.4296875,-0.927309646,1.88579853,-0.923785671,1.98084252
0.439453125,-0.933238094,1.72668608,-0.932017276,1.75937154
0.44921875,-0.949007396,1.30816855,-0.95129548,1.24800474
0.458984375,-0.972497404,0.697151637,-0.97889302,0.533302715
0.46875,-0.998926514,0.125313283,-1.00930617,0.125313283
0.478515625,-1.02216877,0.125313283,-1.035754,0.125313283
0.48828125,-1.03654727,0.125313283,-1.05212888,0.125313283
0.498046875,-1.03853741,0.125313283,-1.05478803,0.125313283
0.5078125,-1.02784043,0.125313283,-1.04362433,0.125313283
0.517578125,-1.00748865,0.125313283,-1.02208403,0.125313283
0.52734375,-0.982952598,0.429848946,-0.996132148,0.125313283
0.537109375,-0.960535854,1.00646326,-0.972497042,0.69716094
0.546875,-0.945563834,1.39898175,-0.956745749,1.10525986
0.556640625,-0.940927711,1.52175398,-0.951782817,1.23520871
