freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-0.0887549,-72.4888,-72.4888,-0.0886277
0.55,-0.0940107,-71.659,-71.659,-0.0938784
0.6,-0.0990971,-70.9017,-70.9017,-0.0989389
0.65,-0.104085,-70.205,-70.205,-0.103872
0.7,-0.109039,-69.5599,-69.5599,-0.108737
0.75,-0.114011,-68.9591,-68.9591,-0.113586
0.8,-0.119049,-68.3966,-68.3966,-0.118463
0.85,-0.124191,-67.8675,-67.8675,-0.123409
0.9,-0.129471,-67.3676,-67.3676,-0.128457
0.95,-0.134917,-66.8933,-66.8933,-0.133637
1,-0.140552,-66.4416,-66.4416,-0.138974
1.05,-0.146398,-66.0099,-66.0099,-0.144491
1.1,-0.152474,-65.5958,-65.5958,-0.150208
1.15,-0.158795,-65.1972,-65.1972,-0.156141
1.2,-0.165375,-64.8124,-64.8124,-0.162307
1.25,-0.172226,-64.4398,-64.4398,-0.168721
1.3,-0.17936,-64.0779,-64.0779,-0.175394
1.35,-0.186788,-63.7254,-63.7254,-0.18234
1.4,-0.194517,-63.3811,-63.3811,-0.189569
1.45,-0.202556,-63.0441,-63.0441,-0.197091
1.5,-0.210912,-62.7132,-62.7132,-0.204916
1.55,-0.219592,-62.3877,-62.3877,-0.213054
1.6,-0.228602,-62.0668,-62.0668,-0.221513
1.65,-0.237946,-61.7498,-61.7498,-0.230302
1.7,-0.24763,-61.4359,-61.4359,-0.239428
1.75,-0.257657,-61.1247,-61.1247,-0.248899
1.8,-0.268031,-60.8154,-60.8154,-0.258723
1.85,-0.278755,-60.5077,-60.5077,-0.268907
1.9,-0.289831,-60.201,-60.201,-0.279457
1.95,-0.301261,-59.8949,-59.8949,-0.29038
2,-0.313045,-59.589,-59.589,-0.301683
2.05,-0.325186,-59.2829,-59.2829,-0.313372
2.1,-0.337683,-58.9763,-58.9763,-0.325452
2.15,-0.350534,-58.6688,-58.6688,-0.337929
2.2,-0.36374,-58.3601,-58.3601,-0.350809
2.25,-0.377299,-58.0499,-58.0499,-0.364096
2.3,-0.391208,-57.738,-57.738,-0.377795
2.35,-0.405464,-57.424,-57.424,-0.391909
2.4,-0.420064,-57.1078,-57.1078,-0.406443
2.45,-0.435002,-56.789,-56.789,-0.4214
2.5,-0.450274,-56.4674,-56.4674,-0.436781
2.55,-0.465874,-56.1429,-56.1429,-0.452588
2.6,-0.481794,-55.8151,-55.8151,-0.468823
2.65,-0.498027,-55.4839,-55.4839,-0.485485
2.7,-0.514564,-55.149,-55.149,-0.502572
2.75,-0.531395,-54.8102,-54.8102,-0.520083
2.8,-0.548509,-54.4673,-54.4673,-0.538014
2.85,-0.565895,-54.1201,-54.1201,-0.556359
2.9,-0.583539,-53.7683,-53.7683,-0.575112
2.95,-0.601426,-53.4117,-53.4117,-0.594264
3,-0.619542,-53.0501,-53.0501,-0.613805
3.05,-0.63787,-52.6832,-52.6832,-0.633721
3.1,-0.65639,-52.3107,-52.3107,-0.653997
3.15,-0.675085,-51.9324,-51.9324,-0.674616
3.2,-0.693932,-51.5481,-51.5481,-0.695558
3.25,-0.71291,-51.1574,-51.1574,-0.716799
3.3,-0.731995,-50.76,-50.76,-0.738313
3.35,-0.751163,-50.3556,-50.3556,-0.76007
3.4,-0.770387,-49.9439,-49.9439,-0.782038
3.45,-0.78964,-49.5245,-49.5245,-0.80418
3.5,-0.808895,-49.097,-49.097,-0.826457
3.55,-0.828121,-48.661,-48.661,-0.848826
3.6,-0.847289,-48.2161,-48.2161,-0.871239
3.65,-0.866369,-47.7618,-47.7618,-0.893649
3.7,-0.88533,-47.2976,-47.2976,-0.916002
3.75,-0.904143,-46.8229,-46.8229,-0.938245
3.8,-0.922778,-46.3372,-46.3372,-0.960319
3.85,-0.941206,-45.8399,-45.8399,-0.982167
3.9,-0.959401,-45.3302,-45.3302,-1.00373
3.95,-0.977338,-44.8074,-44.8074,-1.02495
4,-0.994996,-44.2706,-44.2706,-1.04577
4.05,-1.01236,-43.7191,-43.7191,-1.06614
4.1,-1.02941,-43.1518,-43.1518,-1.08601
4.15,-1.04615,-42.5677,-42.5677,-1.10533
4.2,-1.06258,-41.9656,-41.9656,-1.12407
4.25,-1.0787,-41.3442,-41.3442,-1.14221
4.3,-1.09455,-40.7021,-40.7021,-1.15974
4.35,-1.11015,-40.0378,-40.0378,-1.17666
4.4,-1.12557,-39.3495,-39.3495,-1.193
4.45,-1.14088,-38.6353,-38.6353,-1.20881
4.5,-1.15616,-37.8931,-37.8931,-1.22419
4.55,-1.17157,-37.1204,-37.1204,-1.23924
4.6,-1.18726,-36.3147,-36.3147,-1.25415
4.65,-1.20347,-35.4728,-35.4728,-1.26913
4.7,-1.22047,-34.5915,-34.5915,-1.28449
4.75,-1.23864,-33.6669,-33.6669,-1.30062
4.8,-1.25848,-32.6946,-32.6946,-1.31805
4.85,-1.28063,-31.6696,-31.6696,-1.33749
4.9,-1.30599,-30.5864,-30.5864,-1.35989
4.95,-1.33575,-29.4384,-29.4384,-1.38655
5,-1.37165,-28.2179,-28.2179,-1.41931
5.05,-1.41613,-26.9164,-26.9164,-1.4608
5.1,-1.47289,-25.5236,-25.5236,-1.51496
5.15,-1.54758,-24.0282,-24.0282,-1.58784
5.2,-1.64923,-22.4174,-22.4174,-1.6891
5.25,-1.79287,-20.6781,-20.6781,-1.83482
5.3,-2.00445,-18.7995,-18.7995,-2.05289
5.35,-2.33032,-16.78,-16.78,-2.39345
5.4,-2.85367,-14.6438,-14.6438,-2.94762
5.45,-3.71136,-12.4763,-12.4763,-3.86966
5.5,-5.03843,-10.4756,-10.4756,-5.32779
5.55,-6.55432,-8.95032,-8.95032,-7.03945
5.6,-7.06191,-8.12018,-8.12018,-7.57012
5.65,-6.32516,-7.87606,-7.87606,-6.63427
5.7,-5.48242,-7.90213,-7.90213,-5.62811
5.75,-5.00248,-7.94264,-7.94264,-5.05071
5.8,-4.89231,-7.87295,-7.87295,-4.8765
5.85,-5.11499,-7.6579,-7.6579,-5.04721
5.9,-5.68107,-7.31263,-7.31263,-5.55942
5.95,-6.65043,-6.88555,-6.88555,-6.45833
6,-8.0898,-6.4519,-6.4519,-7.78796
6.05,-9.87785,-6.10294,-6.10294,-9.40178
6.1,-11.1666,-5.91971,-5.91971,-10.523
6.15,-10.714,-5.93718,-5.93718,-10.1203
6.2,-9.14497,-6.12714,-6.12714,-8.7066
6.25,-7.65867,-6.41716,-6.41716,-7.31956
6.3,-6.5941,-6.72653,-6.72653,-6.29863
6.35,-5.92335,-6.9908,-6.9908,-5.63789
6.4,-5.56942,-7.16872,-7.16872,-5.27146
6.45,-5.47936,-7.23959,-7.23959,-5.14913
6.5,-5.63358,-7.19906,-7.19906,-5.24802
6.55,-6.04484,-7.05656,-7.05656,-5.5708
6.6,-6.75655,-6.83511,-6.83511,-6.13997
6.65,-7.83561,-6.57205,-6.57205,-6.98218
6.7,-9.33015,-6.31837,-6.31837,-8.078
6.75,-11.0842,-6.13248,-6.13248,-9.23053
6.8,-12.2702,-6.06571,-6.06571,-9.9111
6.85,-11.7634,-6.14364,-6.14364,-9.60994
6.9,-10.1379,-6.35524,-6.35524,-8.58223
6.95,-8.53186,-6.65882,-6.65882,-7.43731
7,-7.31243,-6.99968,-6.99968,-6.49071
7.05,-6.47584,-7.3268,-7.3268,-5.80649
7.1,-5.94969,-7.60134,-7.60134,-5.36157
7.15,-5.67184,-7.79813,-7.79813,-5.11993
7.2,-5.60354,-7.90397,-7.90397,-5.0551
7.25,-5.72868,-7.91543,-7.91543,-5.15484
7.3,-6.05154,-7.83757,-7.83757,-5.42096
7.35,-6.59562,-7.68352,-7.68352,-5.86759
7.4,-7.40225,-7.4748,-7.4748,-6.51676
7.45,-8.52331,-7.24138,-7.24138,-7.38582
7.5,-9.98937,-7.01997,-7.01997,-8.45358
7.55,-11.6959,-6.84923,-6.84923,-9.58689
7.6,-13.1309,-6.76136,-6.76136,-10.4589
7.65,-13.3965,-6.77287,-6.77287,-10.6804
7.7,-12.4404,-6.87958,-6.87958,-10.2302
7.75,-11.1477,-7.05925,-7.05925,-9.48222
7.8,-10.0731,-7.28017,-7.28017,-8.77802
7.85,-9.34984,-7.51064,-7.51064,-8.27101
7.9,-8.96751,-7.72549,-7.72549,-8.001
7.95,-8.8928,-7.90888,-7.90888,-7.96811
8,-9.10317,-8.05458,-8.05458,-8.16696
8.05,-9.59376,-8.16504,-8.16504,-8.59887
8.1,-10.3775,-8.24997,-8.24997,-9.2751
8.15,-11.4837,-8.32473,-8.32473,-10.2163
8.2,-12.9556,-8.40859,-8.40859,-11.4495
8.25,-14.8459,-8.52267,-8.52267,-13.002
8.3,-17.2008,-8.68816,-8.68816,-14.8874
8.35,-20.014,-8.92526,-8.92526,-17.0744
8.4,-23.1078,-9.25327,-9.25327,-19.4328
8.45,-25.997,-9.69221,-9.69221,-21.7094
8.5,-28.0482,-10.2652,-10.2652,-23.7213
8.55,-28.2333,-11.001,-11.001,-25.5683
8.6,-25.3733,-11.9334,-11.9334,-26.3487
8.65,-21.3323,-13.0965,-13.0965,-23.2971
8.7,-17.7648,-14.5136,-14.5136,-18.7025
8.75,-14.9352,-16.1834,-16.1834,-14.8524
8.8,-12.7467,-18.075,-18.075,-11.9097
8.85,-11.0522,-20.1352,-20.1352,-9.69095
8.9,-9.71021,-22.305,-22.305,-8.01729
8.95,-8.60341,-24.5331,-24.5331,-6.74767
9,-7.6518,-26.7824,-26.7824,-5.77599
9.05,-6.81357,-29.0283,-29.0283,-5.0245
9.1,-6.07366,-31.2539,-31.2539,-4.43695
9.15,-5.42849,-33.4446,-33.4446,-3.97283
9.2,-4.87537,-35.5841,-35.5841,-3.60282
9.25,-4.4086,-37.6532,-37.6532,-3.3056
9.3,-4.01963,-39.6307,-39.6307,-3.06548
9.35,-3.6985,-41.496,-41.496,-2.87077
9.4,-3.43525,-43.2308,-43.2308,-2.71273
9.45,-3.22073,-44.8217,-44.8217,-2.58468
9.5,-3.04697,-46.2603,-46.2603,-2.48152
9.55,-2.90726,-47.5441,-47.5441,-2.39932
9.6,-2.79604,-48.6752,-48.6752,-2.335
9.65,-2.70878,-49.6601,-49.6601,-2.28618
9.7,-2.64179,-50.5084,-50.5084,-2.25097
9.75,-2.59207,-51.2316,-51.2316,-2.22789
9.8,-2.55721,-51.8425,-51.8425,-2.21579
9.85,-2.5352,-52.3542,-52.3542,-2.21377
9.9,-2.52443,-52.7793,-52.7793,-2.22113
9.95,-2.52354,-53.1296,-53.1296,-2.23732
10,-2.53141,-53.4159,-53.4159,-2.26196
