freq_ghz,board_1_s21_db,board_2_s21_db,board_3_s21_db,board_4_s21_db,mean_s21_db,std_s21_db,min_s21_db,max_s21_db
5.000000,-40.290000,-40.420000,-40.880000,-40.320000,-40.477500,0.274029,-40.880000,-40.290000
5.010000,-40.131249,-40.232066,-40.733797,-40.153644,-40.312689,0.284047,-40.733797,-40.131249
5.020000,-39.970734,-40.043020,-40.585498,-39.985732,-40.146246,0.294487,-40.585498,-39.970734
5.030000,-39.808469,-39.852867,-40.435118,-39.816277,-39.978183,0.305238,-40.435118,-39.808469
5.040000,-39.644466,-39.661618,-40.282675,-39.645289,-39.808512,0.316207,-40.282675,-39.644466
5.050000,-39.478739,-39.469278,-40.128184,-39.472780,-39.637245,0.327316,-40.128184,-39.469278
5.060000,-39.311301,-39.275856,-39.971663,-39.298761,-39.464396,0.338497,-39.971663,-39.275856
5.070000,-39.142167,-39.081360,-39.813128,-39.123246,-39.289975,0.349693,-39.813128,-39.081360
5.080000,-38.971350,-38.885798,-39.652596,-38.946244,-39.113997,0.360857,-39.652596,-38.885798
5.090000,-38.798862,-38.689178,-39.490083,-38.767768,-38.936473,0.371948,-39.490083,-38.689178
5.100000,-38.624718,-38.491506,-39.325605,-38.587829,-38.757415,0.382934,-39.325605,-38.491506
5.110000,-38.448931,-38.292792,-39.159180,-38.406438,-38.576835,0.393785,-39.159180,-38.292792
5.120000,-38.271514,-38.093043,-38.990824,-38.223609,-38.394747,0.404478,-38.990824,-38.093043
5.130000,-38.092482,-37.892266,-38.820553,-38.039351,-38.211163,0.414993,-38.820553,-37.892266
5.140000,-37.911846,-37.690470,-38.648385,-37.853677,-38.026094,0.425311,-38.648385,-37.690470
5.150000,-37.729622,-37.487663,-38.474335,-37.666597,-37.839554,0.435420,-38.474335,-37.487663
5.160000,-37.545822,-37.283851,-38.298420,-37.478125,-37.651554,0.445308,-38.298420,-37.283851
5.170000,-37.360459,-37.079044,-38.120657,-37.288271,-37.462108,0.454964,-38.120657,-37.079044
5.180000,-37.173548,-36.873248,-37.941062,-37.097047,-37.271226,0.464380,-37.941062,-36.873248
5.190000,-36.985102,-36.666472,-37.759652,-36.904465,-37.078923,0.473549,-37.759652,-36.666472
5.200000,-36.795134,-36.458724,-37.576443,-36.710536,-36.885209,0.482465,-37.576443,-36.458724
5.210000,-36.603658,-36.250010,-37.391453,-36.515272,-36.690098,0.491125,-37.391453,-36.250010
5.220000,-36.410686,-36.040340,-37.204697,-36.318684,-36.493602,0.499524,-37.204697,-36.040340
5.230000,-36.216234,-35.829721,-37.016192,-36.120784,-36.295733,0.507660,-37.016192,-35.829721
5.240000,-36.020313,-35.618160,-36.825955,-35.921584,-36.096503,0.515530,-36.825955,-35.618160
5.250000,-35.822938,-35.405666,-36.634003,-35.721095,-35.895925,0.523133,-36.634003,-35.405666
5.260000,-35.624122,-35.192247,-36.440351,-35.519329,-35.694012,0.530468,-36.440351,-35.192247
5.270000,-35.423879,-34.977909,-36.245017,-35.316297,-35.490775,0.537534,-36.245017,-34.977909
5.280000,-35.222221,-34.762662,-36.048016,-35.112011,-35.286228,0.544332,-36.048016,-34.762662
5.290000,-35.019163,-34.546512,-35.849367,-34.906483,-35.080381,0.550861,-35.849367,-34.546512
5.300000,-34.814718,-34.329468,-35.649084,-34.699724,-34.873248,0.557122,-35.649084,-34.329468
5.310000,-34.608899,-34.111537,-35.447185,-34.491746,-34.664842,0.563116,-35.447185,-34.111537
5.320000,-34.401721,-33.892728,-35.243687,-34.282560,-34.455174,0.568844,-35.243687,-33.892728
5.330000,-34.193195,-33.673048,-35.038605,-34.072178,-34.244256,0.574308,-35.038605,-33.673048
5.340000,-33.983336,-33.452504,-34.831957,-33.860612,-34.032102,0.579508,-34.831957,-33.452504
5.350000,-33.772158,-33.231105,-34.623759,-33.647873,-33.818724,0.584447,-34.623759,-33.231105
5.360000,-33.559673,-33.008859,-34.414028,-33.433973,-33.604133,0.589127,-34.414028,-33.008859
5.370000,-33.345895,-32.785773,-34.202779,-33.218923,-33.388343,0.593549,-34.202779,-32.785773
5.380000,-33.130838,-32.561855,-33.990031,-33.002736,-33.171365,0.597716,-33.990031,-32.561855
5.390000,-32.914516,-32.337114,-33.775798,-32.785422,-32.953212,0.601630,-33.775798,-32.337114
5.400000,-32.696941,-32.111556,-33.560099,-32.566993,-32.733897,0.605294,-33.560099,-32.111556
5.410000,-32.478126,-31.885189,-33.342949,-32.347461,-32.513431,0.608709,-33.342949,-31.885189
5.420000,-32.258087,-31.658022,-33.124365,-32.126838,-32.291828,0.611879,-33.124365,-31.658022
5.430000,-32.036835,-31.430062,-32.904363,-31.905134,-32.069099,0.614806,-32.904363,-31.430062
5.440000,-31.814385,-31.201318,-32.682961,-31.682362,-31.845257,0.617493,-32.682961,-31.201318
5.450000,-31.590750,-30.971796,-32.460175,-31.458534,-31.620314,0.619943,-32.460175,-30.971796
5.460000,-31.365944,-30.741504,-32.236021,-31.233660,-31.394282,0.622159,-32.236021,-30.741504
5.470000,-31.139979,-30.510452,-32.010515,-31.007753,-31.167175,0.624143,-32.010515,-30.510452
5.480000,-30.912870,-30.278645,-31.783675,-30.780823,-30.939003,0.625899,-31.783675,-30.278645
5.490000,-30.684629,-30.046093,-31.555517,-30.552884,-30.709781,0.627429,-31.555517,-30.046093
5.500000,-30.455271,-29.812803,-31.326058,-30.323945,-30.479519,0.628737,-31.326058,-29.812803
5.510000,-30.224809,-29.578782,-31.095314,-30.094020,-30.248231,0.629826,-31.095314,-29.578782
5.520000,-29.993256,-29.344039,-30.863302,-29.863118,-30.015929,0.630698,-30.863302,-29.344039
5.530000,-29.760625,-29.108581,-30.630037,-29.631253,-29.782624,0.631358,-30.630037,-29.108581
5.540000,-29.526931,-28.872417,-30.395538,-29.398436,-29.548331,0.631809,-30.395538,-28.872417
5.550000,-29.292186,-28.635554,-30.159820,-29.164678,-29.313060,0.632052,-30.159820,-28.635554
5.560000,-29.056405,-28.397999,-29.922901,-28.929991,-29.076824,0.632093,-29.922901,-28.397999
5.570000,-28.819600,-28.159761,-29.684795,-28.694386,-28.839636,0.631934,-29.684795,-28.159761
5.580000,-28.581785,-27.920848,-29.445521,-28.457875,-28.601507,0.631579,-29.445521,-27.920848
5.590000,-28.342974,-27.681267,-29.205095,-28.220470,-28.362451,0.631031,-29.205095,-27.681267
5.600000,-28.103180,-27.441026,-28.963533,-27.982182,-28.122480,0.630293,-28.963533,-27.441026
5.610000,-27.862416,-27.200133,-28.720852,-27.743023,-27.881606,0.629368,-28.720852,-27.200133
5.620000,-27.620697,-26.958595,-28.477068,-27.503004,-27.639841,0.628261,-28.477068,-26.958595
5.630000,-27.378034,-26.716421,-28.232198,-27.262138,-27.397198,0.626974,-28.232198,-26.716421
5.640000,-27.134443,-26.473619,-27.986259,-27.020435,-27.153689,0.625512,-27.986259,-26.473619
5.650000,-26.889936,-26.230196,-27.739267,-26.777907,-26.909326,0.623877,-27.739267,-26.230196
5.660000,-26.644526,-25.986159,-27.491238,-26.534566,-26.664123,0.622073,-27.491238,-25.986159
5.670000,-26.398229,-25.741518,-27.242190,-26.290424,-26.418090,0.620103,-27.242190,-25.741518
5.680000,-26.151055,-25.496279,-26.992139,-26.045492,-26.171241,0.617972,-26.992139,-25.496279
5.690000,-25.903020,-25.250451,-26.741101,-25.799781,-25.923588,0.615682,-26.741101,-25.250451
5.700000,-25.654137,-25.004041,-26.489094,-25.553304,-25.675144,0.613237,-26.489094,-25.004041
5.710000,-25.404419,-24.757057,-26.236132,-25.306072,-25.425920,0.610641,-26.236132,-24.757057
5.720000,-25.153880,-24.509506,-25.982234,-25.058096,-25.175929,0.607897,-25.982234,-24.509506
5.730000,-24.902533,-24.261398,-25.727416,-24.809388,-24.925184,0.605010,-25.727416,-24.261398
5.740000,-24.650391,-24.012739,-25.471694,-24.559960,-24.673696,0.601981,-25.471694,-24.012739
5.750000,-24.397468,-23.763538,-25.215085,-24.309823,-24.421478,0.598816,-25.215085,-23.763538
5.760000,-24.143778,-23.513801,-24.957605,-24.058989,-24.168543,0.595517,-24.957605,-23.513801
5.770000,-23.889334,-23.263538,-24.699271,-23.807469,-23.914903,0.592088,-24.699271,-23.263538
5.780000,-23.634150,-23.012755,-24.440100,-23.555276,-23.660570,0.588534,-24.440100,-23.012755
5.790000,-23.378238,-22.761461,-24.180108,-23.302420,-23.405557,0.584857,-24.180108,-22.761461
5.800000,-23.121613,-22.509664,-23.919311,-23.048914,-23.149875,0.581061,-23.919311,-22.509664
5.810000,-22.864288,-22.257371,-23.657727,-22.794768,-22.893538,0.577150,-23.657727,-22.257371
5.820000,-22.606276,-22.004589,-23.395372,-22.539995,-22.636558,0.573127,-23.395372,-22.004589
5.830000,-22.347591,-21.751328,-23.132262,-22.284606,-22.378947,0.568997,-23.132262,-21.751328
5.840000,-22.088246,-21.497594,-22.868414,-22.028613,-22.120717,0.564763,-22.868414,-21.497594
5.850000,-21.828255,-21.243396,-22.603845,-21.772027,-21.861881,0.560428,-22.603845,-21.243396
5.860000,-21.567631,-20.988741,-22.338571,-21.514859,-21.602451,0.555996,-22.338571,-20.988741
5.870000,-21.306388,-20.733638,-22.072608,-21.257123,-21.342439,0.551472,-22.072608,-20.733638
5.880000,-21.044539,-20.478093,-21.805974,-20.998828,-21.081858,0.546859,-21.805974,-20.478093
5.890000,-20.782097,-20.222115,-21.538684,-20.739987,-20.820721,0.542159,-21.538684,-20.222115
5.900000,-20.519077,-19.965712,-21.270756,-20.480612,-20.559039,0.537378,-21.270756,-19.965712
5.910000,-20.255492,-19.708891,-21.002206,-20.220713,-20.296825,0.532520,-21.002206,-19.708891
5.920000,-19.991354,-19.451660,-20.733051,-19.960303,-20.034092,0.527586,-20.733051,-19.451660
5.930000,-19.726678,-19.194027,-20.463307,-19.699393,-19.770851,0.522583,-20.463307,-19.194027
5.940000,-19.461477,-18.936000,-20.192990,-19.437995,-19.507116,0.517512,-20.192990,-18.936000
5.950000,-19.195764,-18.677587,-19.922118,-19.176120,-19.242897,0.512379,-19.922118,-18.677587
5.960000,-18.929554,-18.418795,-19.650706,-18.913779,-18.978209,0.507187,-19.650706,-18.418795
5.970000,-18.662859,-18.159633,-19.378772,-18.650986,-18.713062,0.501939,-19.378772,-18.159633
