freq_ghz,measured_mean_s21_db,sim_s21_db,error_db
5.000000,-40.477500,-28.217920,12.259580
5.010000,-40.312689,-27.957607,12.355082
5.020000,-40.146246,-27.697294,12.448952
5.030000,-39.978183,-27.436981,12.541201
5.040000,-39.808512,-27.176668,12.631843
5.050000,-39.637245,-26.916356,12.720889
5.060000,-39.464396,-26.637805,12.826590
5.070000,-39.289975,-26.359255,12.930721
5.080000,-39.113997,-26.080705,13.033292
5.090000,-38.936473,-25.802154,13.134318
5.100000,-38.757415,-25.523604,13.233811
5.110000,-38.576835,-25.224519,13.352316
5.120000,-38.394747,-24.925434,13.469313
5.130000,-38.211163,-24.626350,13.584813
5.140000,-38.026094,-24.327265,13.698830
5.150000,-37.839554,-24.028180,13.811374
5.160000,-37.651554,-23.706016,13.945538
5.170000,-37.462108,-23.383853,14.078255
5.180000,-37.271226,-23.061689,14.209537
5.190000,-37.078923,-22.739526,14.339397
5.200000,-36.885209,-22.417362,14.467847
5.210000,-36.690098,-22.069503,14.620596
5.220000,-36.493602,-21.721643,14.771959
5.230000,-36.295733,-21.373784,14.921949
5.240000,-36.096503,-21.025925,15.070579
5.250000,-35.895925,-20.678065,15.217860
5.260000,-35.694012,-20.302348,15.391664
5.270000,-35.490775,-19.926631,15.564145
5.280000,-35.286228,-19.550913,15.735314
5.290000,-35.080381,-19.175196,15.905185
5.300000,-34.873248,-18.799478,16.073770
5.310000,-34.664842,-18.395578,16.269264
5.320000,-34.455174,-17.991677,16.463496
5.330000,-34.244256,-17.587777,16.656480
5.340000,-34.032102,-17.183876,16.848226
5.350000,-33.818724,-16.779976,17.038748
5.360000,-33.604133,-16.352739,17.251394
5.370000,-33.388343,-15.925503,17.462840
5.380000,-33.171365,-15.498266,17.673099
5.390000,-32.953212,-15.071030,17.882183
5.400000,-32.733897,-14.643793,18.090104
5.410000,-32.513431,-14.210288,18.303144
5.420000,-32.291828,-13.776782,18.515046
5.430000,-32.069099,-13.343276,18.725823
5.440000,-31.845257,-12.909770,18.935486
5.450000,-31.620314,-12.476264,19.144049
5.460000,-31.394282,-12.076137,19.318145
5.470000,-31.167175,-11.676009,19.491165
5.480000,-30.939003,-11.275882,19.663121
5.490000,-30.709781,-10.875755,19.834026
5.500000,-30.479519,-10.475627,20.003892
5.510000,-30.248231,-10.170566,20.077665
5.520000,-30.015929,-9.865506,20.150423
5.530000,-29.782624,-9.560445,20.222179
5.540000,-29.548331,-9.255384,20.292946
5.550000,-29.313060,-8.950323,20.362736
5.560000,-29.076824,-8.784294,20.292529
5.570000,-28.839636,-8.618265,20.221370
5.580000,-28.601507,-8.452236,20.149271
5.590000,-28.362451,-8.286207,20.076244
5.600000,-28.122480,-8.120178,20.002302
5.610000,-27.881606,-8.071354,19.810252
5.620000,-27.639841,-8.022530,19.617311
5.630000,-27.397198,-7.973706,19.423492
5.640000,-27.153689,-7.924881,19.228807
5.650000,-26.909326,-7.876057,19.033269
5.660000,-26.664123,-7.881271,18.782851
5.670000,-26.418090,-7.886485,18.531605
5.680000,-26.171241,-7.891699,18.279542
5.690000,-25.923588,-7.896914,18.026675
5.700000,-25.675144,-7.902128,17.773016
5.710000,-25.425920,-7.910229,17.515691
5.720000,-25.175929,-7.918331,17.257598
5.730000,-24.925184,-7.926433,16.998750
5.740000,-24.673696,-7.934535,16.739161
5.750000,-24.421478,-7.942637,16.478841
5.760000,-24.168543,-7.928701,16.239843
5.770000,-23.914903,-7.914764,16.000139
5.780000,-23.660570,-7.900828,15.759743
5.790000,-23.405557,-7.886891,15.518666
5.800000,-23.149875,-7.872954,15.276921
5.810000,-22.893538,-7.829943,15.063595
5.820000,-22.636558,-7.786932,14.849626
5.830000,-22.378947,-7.743921,14.635026
5.840000,-22.120717,-7.700909,14.419807
5.850000,-21.861881,-7.657898,14.203983
5.860000,-21.602451,-7.588843,14.013607
5.870000,-21.342439,-7.519789,13.822650
5.880000,-21.081858,-7.450734,13.631124
5.890000,-20.820721,-7.381680,13.439041
5.900000,-20.559039,-7.312625,13.246414
5.910000,-20.296825,-7.227211,13.069614
5.920000,-20.034092,-7.141797,12.892295
5.930000,-19.770851,-7.056382,12.714469
5.940000,-19.507116,-6.970968,12.536148
5.950000,-19.242897,-6.885554,12.357344
5.960000,-18.978209,-6.798823,12.179386
5.970000,-18.713062,-6.712092,12.000971
5.980000,-18.447471,-6.625361,11.822110
5.990000,-18.181446,-6.538630,11.642816
6.000000,-17.915000,-6.451899,11.463101
6.010000,-17.636183,-6.382107,11.254075
6.020000,-17.334534,-6.312316,11.022218
6.030000,-17.012299,-6.242524,10.769775
6.040000,-16.671728,-6.172732,10.498995
6.050000,-16.315066,-6.102941,10.212125
6.060000,-15.944561,-6.066294,9.878267
6.070000,-15.562460,-6.029647,9.532813
6.080000,-15.171011,-5.993000,9.178011
6.090000,-14.772460,-5.956353,8.816108
6.100000,-14.369056,-5.919706,8.449350
6.110000,-13.963046,-5.923201,8.039844
6.120000,-13.556676,-5.926697,7.629979
6.130000,-13.152194,-5.930192,7.222002
6.140000,-12.751847,-5.933688,6.818160
6.150000,-12.357884,-5.937183,6.420700
6.160000,-11.972550,-5.975175,5.997375
6.170000,-11.598093,-6.013166,5.584927
6.180000,-11.236761,-6.051157,5.185604
6.190000,-10.890800,-6.089148,4.801652
6.200000,-10.562459,-6.127139,4.435319
6.210000,-10.253984,-6.185144,4.068840
6.220000,-9.967623,-6.243148,3.724475
6.230000,-9.705622,-6.301152,3.404470
6.240000,-9.470230,-6.359156,3.111074
