freq_ghz,ideal_100mm_s11_db,connector_surrogate_s11_db,delta_s11_db,abs_delta_s11_db,ideal_100mm_s21_db,connector_surrogate_s21_db,delta_s21_db,abs_delta_s21_db,ideal_100mm_s22_db,connector_surrogate_s22_db,delta_s22_db,abs_delta_s22_db
4,-32.0723,-5.95011,26.1222,26.1222,-1.6761,-3.46133,-1.78523,1.78523,-44.4435,-6.01076,38.4327,38.4327
4.1,-28.8703,-8.61226,20.2581,20.2581,-1.71253,-2.85871,-1.14618,1.14618,-31.8124,-8.84342,22.969,22.969
4.2,-26.235,-14.8504,11.3846,11.3846,-1.75555,-2.4375,-0.681944,0.681944,-27.5759,-15.3987,12.1772,12.1772
4.3,-25.1394,-12.316,12.8234,12.8234,-1.79648,-2.64874,-0.852254,0.852254,-26.0111,-12.6704,13.3407,13.3407
4.4,-25.472,-7.15216,18.3198,18.3198,-1.83226,-3.41543,-1.58317,1.58317,-26.2372,-7.25427,18.9829,18.9829
4.5,-27.2707,-4.98597,22.2847,22.2847,-1.86441,-4.22794,-2.36353,2.36353,-28.316,-5.0391,23.2769,23.2769
4.6,-30.7058,-4.22651,26.4793,26.4793,-1.89684,-4.68814,-2.7913,2.7913,-33.76,-4.26834,29.4917,29.4917
4.7,-32.5916,-4.36538,28.2263,28.2263,-1.93318,-4.63846,-2.70529,2.70529,-52.6641,-4.408,48.2561,48.2561
4.8,-28.4759,-5.54232,22.9336,22.9336,-1.97476,-4.10788,-2.13312,2.13312,-31.4812,-5.60218,25.879,25.879
4.9,-24.9038,-8.68954,16.2143,16.2143,-2.01991,-3.36352,-1.34361,1.34361,-26.2561,-8.83744,17.4187,17.4187
5,-22.8497,-13.9167,8.93294,8.93294,-2.06478,-2.99206,-0.927284,0.927284,-23.7511,-14.5085,9.24258,9.24258
5.1,-21.9534,-9.29033,12.6631,12.6631,-2.10534,-3.46228,-1.35694,1.35694,-22.7184,-9.477,13.2414,13.2414
5.2,-22.0269,-5.54952,16.4774,16.4774,-2.13955,-4.44573,-2.30618,2.30618,-22.8392,-5.61632,17.2229,17.2229
5.3,-23.028,-4.02323,19.0047,19.0047,-2.16842,-5.30387,-3.13545,3.13545,-24.1522,-4.06355,20.0887,20.0887
5.4,-24.9345,-3.56977,21.3647,21.3647,-2.19557,-5.68131,-3.48574,3.48574,-27.0867,-3.60324,23.4835,23.4835
5.5,-27.2396,-3.88022,23.3593,23.3593,-2.22526,-5.47681,-3.25154,3.25154,-33.2112,-3.91707,29.2941,29.2941
5.6,-27.8907,-5.21525,22.6755,22.6755,-2.26003,-4.76614,-2.5061,2.5061,-41.0164,-5.27288,35.7436,35.7436
5.7,-26.2439,-8.57211,17.6718,17.6718,-2.29934,-3.90404,-1.6047,1.6047,-31.0301,-8.72624,22.3039,22.3039
5.8,-24.5533,-12.1318,12.4215,12.4215,-2.34004,-3.6071,-1.26706,1.26706,-26.9362,-12.5359,14.4002,14.4002
5.9,-23.7621,-7.55048,16.2116,16.2116,-2.37841,-4.27572,-1.89731,1.89731,-25.2698,-7.67716,17.5927,17.5927
6,-24.0262,-4.66155,19.3646,19.3646,-2.41235,-5.35529,-2.94294,2.94294,-25.1557,-4.71659,20.4391,20.4391
6.1,-25.4928,-3.51802,21.9748,21.9748,-2.44255,-6.17039,-3.72783,3.72783,-26.5056,-3.5558,22.9498,22.9498
6.2,-28.5248,-3.26905,25.2557,25.2557,-2.47194,-6.42205,-3.95011,3.95011,-29.7966,-3.30462,26.492,26.492
6.3,-33.1928,-3.74955,29.4432,29.4432,-2.50386,-6.05456,-3.5507,3.5507,-36.4708,-3.79459,32.6763,32.6763
6.4,-32.7654,-5.34616,27.4193,27.4193,-2.54008,-5.20202,-2.66194,2.66194,-35.7711,-5.4289,30.3422,30.3422
6.5,-28.3834,-8.96088,19.4225,19.4225,-2.57973,-4.35196,-1.77223,1.77223,-29.4935,-9.20921,20.2843,20.2843
6.6,-25.7978,-9.92911,15.8687,15.8687,-2.61988,-4.32694,-1.70706,1.70706,-26.4594,-10.264,16.1955,16.1955
6.7,-24.7875,-5.87983,18.9076,18.9076,-2.65733,-5.28002,-2.62268,2.62268,-25.2721,-5.98851,19.2836,19.2836
6.8,-25.1119,-3.80573,21.3062,21.3062,-2.69057,-6.43236,-3.74179,3.74179,-25.4924,-3.85848,21.6339,21.6339
6.9,-26.8802,-3.01919,23.861,23.861,-2.72067,-7.17131,-4.45065,4.45065,-27.1615,-3.05584,24.1057,24.1057
7,-30.6532,-2.94417,27.7091,27.7091,-2.75072,-7.28216,-4.53144,4.53144,-30.73,-2.97765,27.7523,27.7523
7.1,-35.7539,-3.544,32.2099,32.2099,-2.78397,-6.75211,-3.96814,3.96814,-35.2514,-3.58464,31.6668,31.6668
7.2,-31.5478,-5.28211,26.2656,26.2656,-2.82182,-5.76577,-2.94395,2.94395,-31.6243,-5.35416,26.2702,26.2702
7.3,-26.968,-8.72428,18.2437,18.2437,-2.86296,-4.92473,-2.06176,2.06176,-27.3081,-8.91693,18.3911,18.3911
7.4,-24.5069,-8.27958,16.2273,16.2273,-2.90413,-5.09981,-2.19568,2.19568,-24.9939,-8.45336,16.5405,16.5405
