freq_ghz,s11_db,s21_db,s12_db,s22_db
4,-5.95011,-3.46133,-3.46133,-6.01076
4.1,-8.61226,-2.85871,-2.85871,-8.84342
4.2,-14.8504,-2.4375,-2.4375,-15.3987
4.3,-12.316,-2.64874,-2.64874,-12.6704
4.4,-7.15216,-3.41543,-3.41543,-7.25427
4.5,-4.98597,-4.22794,-4.22794,-5.0391
4.6,-4.22651,-4.68814,-4.68814,-4.26834
4.7,-4.36538,-4.63846,-4.63846,-4.408
4.8,-5.54232,-4.10788,-4.10788,-5.60218
4.9,-8.68954,-3.36352,-3.36352,-8.83744
5,-13.9167,-2.99206,-2.99206,-14.5085
5.1,-9.29033,-3.46228,-3.46228,-9.477
5.2,-5.54952,-4.44573,-4.44573,-5.61632
5.3,-4.02323,-5.30387,-5.30387,-4.06355
5.4,-3.56977,-5.68131,-5.68131,-3.60324
5.5,-3.88022,-5.47681,-5.47681,-3.91707
5.6,-5.21525,-4.76614,-4.76614,-5.27288
5.7,-8.57211,-3.90404,-3.90404,-8.72624
5.8,-12.1318,-3.6071,-3.6071,-12.5359
5.9,-7.55048,-4.27572,-4.27572,-7.67716
6,-4.66155,-5.35529,-5.35529,-4.71659
6.1,-3.51802,-6.17039,-6.17039,-3.5558
6.2,-3.26905,-6.42205,-6.42205,-3.30462
6.3,-3.74955,-6.05456,-6.05456,-3.79459
6.4,-5.34616,-5.20202,-5.20202,-5.4289
6.5,-8.96088,-4.35196,-4.35196,-9.20921
6.6,-9.92911,-4.32694,-4.32694,-10.264
6.7,-5.87983,-5.28002,-5.28002,-5.98851
6.8,-3.80573,-6.43236,-6.43236,-3.85848
6.9,-3.01919,-7.17131,-7.17131,-3.05584
7,-2.94417,-7.28216,-7.28216,-2.97765
7.1,-3.544,-6.75211,-6.75211,-3.58464
7.2,-5.28211,-5.76577,-5.76577,-5.35416
7.3,-8.72428,-4.92473,-4.92473,-8.91693
7.4,-8.27958,-5.09981,-5.09981,-8.45336
7.5,-4.92086,-6.21164,-6.21164,-4.98746
7.6,-3.30397,-7.36781,-7.36781,-3.34244
7.7,-2.71926,-8.02396,-8.02396,-2.75057
7.8,-2.74502,-8.01993,-8.01993,-2.77842
7.9,-3.41124,-7.37166,-7.37166,-3.45812
8,-5.18964,-6.30394,-6.30394,-5.28243
8.1,-8.22834,-5.48989,-5.48989,-8.46308
8.2,-7.24258,-5.77244,-5.77244,-7.42409
8.3,-4.43235,-6.90448,-6.90448,-4.50963
8.4,-3.0932,-7.97862,-7.97862,-3.1418
8.5,-2.64568,-8.50959,-8.50959,-2.6895
8.6,-2.78132,-8.37119,-8.37119,-2.83495
8.7,-3.60261,-7.61542,-7.61542,-3.69114
8.8,-5.58337,-6.56017,-6.56017,-5.78419
8.9,-7.83275,-6.00716,-6.00716,-8.25119
9,-5.90463,-6.62268,-6.62268,-6.13685
9.1,-3.72781,-7.84781,-7.84781,-3.82807
9.2,-2.74871,-8.83927,-8.83927,-2.8051
9.3,-2.46943,-9.23501,-9.23501,-2.50904
9.4,-2.70869,-8.96002,-8.96002,-2.74266
9.5,-3.63134,-8.09879,-8.09879,-3.6684
9.6,-5.66432,-7.03075,-7.03075,-5.7214
9.7,-7.32761,-6.60578,-6.60578,-7.41318
9.8,-5.28546,-7.33455,-7.33455,-5.33848
9.9,-3.4343,-8.52769,-8.52769,-3.47083
10,-2.62253,-9.4165,-9.4165,-2.65725
