freq_ghz,s11_db,s21_db,s12_db,s22_db
4,-32.0723,-1.6761,-1.6761,-44.4435
4.1,-28.8703,-1.71253,-1.71253,-31.8124
4.2,-26.235,-1.75555,-1.75555,-27.5759
4.3,-25.1394,-1.79648,-1.79648,-26.0111
4.4,-25.472,-1.83226,-1.83226,-26.2372
4.5,-27.2707,-1.86441,-1.86441,-28.316
4.6,-30.7058,-1.89684,-1.89684,-33.76
4.7,-32.5916,-1.93318,-1.93318,-52.6641
4.8,-28.4759,-1.97476,-1.97476,-31.4812
4.9,-24.9038,-2.01991,-2.01991,-26.2561
5,-22.8497,-2.06478,-2.06478,-23.7511
5.1,-21.9534,-2.10534,-2.10534,-22.7184
5.2,-22.0269,-2.13955,-2.13955,-22.8392
5.3,-23.028,-2.16842,-2.16842,-24.1522
5.4,-24.9345,-2.19557,-2.19557,-27.0867
5.5,-27.2396,-2.22526,-2.22526,-33.2112
5.6,-27.8907,-2.26003,-2.26003,-41.0164
5.7,-26.2439,-2.29934,-2.29934,-31.0301
5.8,-24.5533,-2.34004,-2.34004,-26.9362
5.9,-23.7621,-2.37841,-2.37841,-25.2698
6,-24.0262,-2.41235,-2.41235,-25.1557
6.1,-25.4928,-2.44255,-2.44255,-26.5056
6.2,-28.5248,-2.47194,-2.47194,-29.7966
6.3,-33.1928,-2.50386,-2.50386,-36.4708
6.4,-32.7654,-2.54008,-2.54008,-35.7711
6.5,-28.3834,-2.57973,-2.57973,-29.4935
6.6,-25.7978,-2.61988,-2.61988,-26.4594
6.7,-24.7875,-2.65733,-2.65733,-25.2721
6.8,-25.1119,-2.69057,-2.69057,-25.4924
6.9,-26.8802,-2.72067,-2.72067,-27.1615
7,-30.6532,-2.75072,-2.75072,-30.73
7.1,-35.7539,-2.78397,-2.78397,-35.2514
7.2,-31.5478,-2.82182,-2.82182,-31.6243
7.3,-26.968,-2.86296,-2.86296,-27.3081
7.4,-24.5069,-2.90413,-2.90413,-24.9939
7.5,-23.4352,-2.94199,-2.94199,-24.1386
7.6,-23.4126,-2.97509,-2.97509,-24.5503
7.7,-24.2436,-3.00471,-3.00471,-26.4024
7.8,-25.548,-3.0342,-3.0342,-30.5532
7.9,-26.2358,-3.06705,-3.06705,-39.9378
8,-25.29,-3.1049,-3.1049,-33.3757
8.1,-23.6256,-3.14649,-3.14649,-27.3294
8.2,-22.3477,-3.18828,-3.18828,-24.4265
8.3,-21.809,-3.22635,-3.22635,-23.1063
8.4,-22.1049,-3.25856,-3.25856,-22.9119
8.5,-23.3541,-3.28562,-3.28562,-23.7195
8.6,-25.845,-3.31059,-3.31059,-25.5487
8.7,-30.303,-3.3371,-3.3371,-28.3241
8.8,-37.4791,-3.3674,-3.3674,-30.7238
8.9,-34.2665,-3.40142,-3.40142,-30.0359
9,-29.7343,-3.43716,-3.43716,-28.1214
9.1,-27.9145,-3.47218,-3.47218,-27.085
9.2,-27.9253,-3.50507,-3.50507,-27.2921
9.3,-29.6958,-3.53622,-3.53622,-28.8684
9.4,-33.7657,-3.56742,-3.56742,-31.8031
9.5,-37.7822,-3.60066,-3.60066,-33.7023
9.6,-32.575,-3.63673,-3.63673,-31.0299
9.7,-28.5288,-3.67447,-3.67447,-28.1
9.8,-26.5007,-3.7113,-3.7113,-26.5126
9.9,-25.9123,-3.745,-3.745,-26.2898
10,-26.4953,-3.77659,-3.77659,-27.512
