candidate_id,stage,priority,fixture,run_gate,objective,pin_pad_w_mm,pin_pad_l_mm,taper_l_mm,taper_w_start_mm,taper_w_end_mm,gnd_clearance_mm,fence_offset_mm,l2_cutout_enabled,l2_cutout_shape,l2_cutout_w_mm,l2_cutout_l_mm,l2_cutout_offset_x_mm,l2_cutout_taper_l_mm,series_hi_z_enabled,series_hi_z_w_mm,series_hi_z_l_mm,stub_enabled,review_note
ideal_50r_cpw_30mm,baseline,0,microstrip_50r_through,run_first,connector_free_delta_reference,0.3175,0,0,0.3175,0.3175,0.2032,0.55,false,none,0,0,0,0,false,0,0,false,No connector baseline for S21/S11 delta.
current_single_30mm,current,1,microstrip_single_connector_50r,run_second,current_home_design_reference,1.2,4.8,1.6,1.2,0.3175,0.30,0.55,false,none,0,0,0,0,false,0,0,false,Current design; expected capacitive low-Z launch if pad dominates.
small_pad_a,doe_round1,2,microstrip_single_connector_50r,after_baseline,reduce_pad_capacitance,1.0,3.2,2.4,1.0,0.3175,0.30,0.65,false,none,0,0,0,0,false,0,0,false,Manufacturable first pad reduction with longer taper.
small_pad_b,doe_round1,3,microstrip_single_connector_50r,after_small_pad_a,stronger_pad_cap_reduction,0.9,2.4,3.2,0.9,0.3175,0.35,0.75,false,none,0,0,0,0,false,0,0,false,Electrical trend sample; verify connector pin/mechanical clearance before release.
long_taper_neck,doe_round1,4,microstrip_single_connector_50r,after_current,reduce_abrupt_width_step,1.1,3.2,3.8,0.95,0.3175,0.30,0.65,false,none,0,0,0,0,false,0,0,false,Tests whether taper/neck alone fixes mismatch without L2 cutout.
l2_rect_small,doe_round1,5,microstrip_single_connector_50r,after_current,reduce_reference_plane_capacitance,1.2,4.0,2.4,1.1,0.3175,0.30,0.65,true,rect,1.4,3.0,0.30,0,false,0,0,false,Small ETCH_INNER1 cutout under pad and taper start.
l2_rect_medium,doe_round1,6,microstrip_single_connector_50r,after_l2_rect_small,stronger_l2_cap_relief,1.1,3.2,3.0,1.0,0.3175,0.35,0.75,true,rect,1.8,4.2,0.30,0,false,0,0,false,Medium ETCH_INNER1 cutout; monitor r>1/x>0 overcompensation.
l2_tapered_sample,doe_round1,7,microstrip_single_connector_50r,after_rect_cutouts,broadband_shaped_cutout,1.0,3.0,3.2,0.95,0.3175,0.35,0.75,true,tapered,2.0,5.0,0.20,3.0,false,0,0,false,One shaped cutout sample only; avoid parameter explosion.
high_z_series_a,doe_round1,8,microstrip_single_connector_50r,only_if_smith_capacitive,series_inductive_compensation,1.0,2.6,2.8,0.9,0.3175,0.35,0.75,true,rect,1.6,3.6,0.25,0,true,0.24,0.6,false,Short high-Z section for r<1/x<0 Smith trend.
high_z_series_b,doe_round1,9,microstrip_single_connector_50r,only_if_series_a_improves,stronger_series_compensation,0.95,2.4,3.0,0.85,0.3175,0.35,0.85,true,rect,1.8,4.0,0.25,0,true,0.20,0.8,false,More inductive trend sample; reject if ripple/spike appears.
via_relief,doe_round1,10,microstrip_single_connector_50r,after_pad_sweep,return_path_distance_check,1.0,3.0,3.0,0.95,0.3175,0.40,0.95,true,rect,1.6,3.6,0.25,0,false,0,0,false,Checks whether current via row is too capacitive while keeping return path continuous.
