"Freq [GHz]","dB(S(S1_1_Pin_T1,S1_1_Pin_T1)) []","dB(S(S2_1_Pin_T1,S1_1_Pin_T1)) []","dB(S(S1_1_Pin_T1,S2_1_Pin_T1)) []","dB(S(S2_1_Pin_T1,S2_1_Pin_T1)) []"
0.5,-11.1193692467578,-0.460034517056148,-0.460034517056151,-11.1191186436653
0.6,-10.1196575261728,-0.572921987715663,-0.572921987715673,-10.1231392041522
0.7,-9.45064170259321,-0.668151788137788,-0.668151788137803,-9.45398438171065
0.8,-9.05011763286847,-0.738004333619677,-0.738004333619688,-9.05214384747937
0.9,-8.88688505413923,-0.777075451696975,-0.77707545169698,-8.88760503379874
1,-8.95351070355188,-0.782504151147756,-0.782504151147754,-8.95343626090185
1.1,-9.26559522073812,-0.754267607710428,-0.754267607710421,-9.2654518759788
1.2,-9.86703109116948,-0.695573278049965,-0.695573278049954,-9.86774300970101
1.3,-10.8447771823864,-0.613348686397935,-0.613348686397925,-10.8478122999372
1.4,-12.3655759608059,-0.518749089917521,-0.518749089917512,-12.3742762695469
1.5,-14.7796650148339,-0.427465229008033,-0.427465229008028,-14.8050697737416
1.6,-19.0111672382849,-0.359434649036723,-0.359434649036723,-19.1146183658165
1.7,-28.8218674021453,-0.337432818587867,-0.337432818587871,-30.5172617335577
1.8,-22.9995573381433,-0.384150035174046,-0.384150035174054,-23.5298684829543
1.9,-15.5930593509657,-0.517966588882863,-0.517966588882875,-15.7112123813831
2,-11.5587066125807,-0.748619607788475,-0.748619607788483,-11.614939070412
2.1,-8.89728212982335,-1.07460415760892,-1.07460415760894,-8.93224608223521
2.2,-7.00911542356528,-1.48362400062668,-1.4836240006267,-7.03397038311758
2.3,-5.62456433613662,-1.95582931983428,-1.95582931983429,-5.64372080140711
2.4,-4.59119976444442,-2.46821830391792,-2.46821830391793,-4.60679187092755
2.5,-3.81094471335013,-2.99845626664597,-2.99845626664598,-3.82413978976604
2.6,-3.21635498699711,-3.52721736517849,-3.52721736517849,-3.22784425432204
2.7,-2.75959787585738,-4.03906910674984,-4.03906910674984,-2.76981536136803
2.8,-2.40628447499551,-4.52237180514872,-4.52237180514872,-2.41551732320578
2.9,-2.13153400590474,-4.96869346596985,-4.96869346596985,-2.13998251222873
3,-1.91728440320026,-5.3720863268793,-5.3720863268793,-1.92509612146994
3.1,-1.75040572553463,-5.72840718435558,-5.72840718435557,-1.75769527574875
3.2,-1.62137006204864,-6.03475151488146,-6.03475151488145,-1.62823080073489
3.3,-1.52331871379964,-6.28901140725981,-6.2890114072598,-1.52982978060014
3.4,-1.4514170748978,-6.48954186582546,-6.48954186582545,-1.45764792035152
3.5,-1.40242173103078,-6.63491311307574,-6.63491311307573,-1.40843543626382
3.6,-1.37441004138324,-6.72372803307497,-6.72372803307496,-1.38026628249164
3.7,-1.36664328002457,-6.75448868862816,-6.75448868862816,-1.37240153438858
3.8,-1.37955300971421,-6.7255018473893,-6.7255018473893,-1.3852764838914
3.9,-1.41485983798674,-6.6348204219661,-6.6348204219661,-1.42062059445386
4,-1.47585836352138,-6.48022668490533,-6.48022668490533,-1.48174424912837
4.1,-1.56793888873994,-6.25927639467496,-6.25927639467497,-1.57406318106125
4.2,-1.6994777282525,-5.96944486687145,-5.96944486687146,-1.70599306378822
4.3,-1.88333734035974,-5.60845415707031,-5.6084541570703,-1.89045681063116
4.4,-2.13942253465545,-5.17492774488585,-5.17492774488586,-2.147453652911
4.5,-2.49913934369772,-4.66963460145581,-4.66963460145582,-2.5085430367278
4.6,-3.01342009846765,-4.0977666687702,-4.09776666877019,-3.02492316045378
4.7,-3.76774850517267,-3.47291770150151,-3.4729177015015,-3.78258450949525
4.8,-4.9118481189862,-2.82347312120365,-2.82347312120366,-4.93235850345824
4.9,-6.72349570112347,-2.20115705808141,-2.20115705808144,-6.75498083113578
5,-9.76293222331477,-1.68767788223067,-1.68767788223071,-9.82141357074106
5.1,-15.1020545984037,-1.38788583865882,-1.38788583865887,-15.2608142826263
5.2,-17.0233006975927,-1.3956693673151,-1.39566936731513,-17.1746693530251
5.3,-10.8807078566513,-1.74310713340439,-1.74310713340437,-10.8970144619924
5.4,-7.13059656178852,-2.37941956558355,-2.37941956558347,-7.13550691578091
5.5,-4.93617008001011,-3.20432287683719,-3.20432287683706,-4.94460029571758
5.6,-3.57854962192932,-4.11858356140258,-4.11858356140253,-3.59571131857817
5.7,-2.70179315219168,-5.0515029950807,-5.05150299508068,-2.73367276902026
5.8,-2.11490051665434,-5.9618817525781,-5.96188175257699,-2.17258333380352
5.9,-1.70987178615676,-6.81540607023294,-6.81540607023018,-1.81796447456148
6,-1.42401585730325,-7.59545020311834,-7.59545020312314,-1.64379470389146
6.1,-1.22232311481626,-8.37622311156357,-8.37622311156349,-1.67528602218494
6.2,-1.08678460094021,-8.92063534072168,-8.92063534072247,-1.5986406414712
6.3,-0.996085235800996,-9.349806648908,-9.34980664890792,-1.21292076230664
6.4,-0.937145031382084,-9.78301999682338,-9.78301999682345,-0.975046065991649
6.5,-0.919134034048306,-10.1891697760632,-10.1891697760633,-0.847640653907354
6.6,-0.963621897947241,-10.5597616486804,-10.5597616486804,-0.771108955916438
6.7,-1.07771811471594,-10.8639266722549,-10.8639266722549,-0.724374897390124
6.8,-1.09451745054335,-11.0039537869071,-11.0039537869071,-0.703370522355096
6.9,-0.931706885500962,-11.022536969483,-11.022536969483,-0.697659068231154
7,-0.806134929665008,-11.0247379828447,-11.0247379828447,-0.703576481303522
7.1,-0.747911366758943,-11.0054074648537,-11.0054074648536,-0.727309246011327
7.2,-0.728917627110668,-10.9466896582706,-10.9466896582706,-0.778626861741381
7.3,-0.735552482775369,-10.8411229716622,-10.8411229716621,-0.878078565794619
7.4,-0.765236622480619,-10.679923505964,-10.679923505964,-1.05886405148341
7.5,-0.816032080067077,-10.424810248869,-10.4248102488691,-1.27383618535278
7.6,-0.889578034350508,-10.0098743851087,-10.0098743851087,-1.30068156295839
7.7,-0.991508954392892,-9.47260978725929,-9.47260978725925,-1.24710118872315
7.8,-1.13109260864502,-8.89140882087583,-8.89140882087585,-1.27990276573523
7.9,-1.32253297848379,-8.26551770752739,-8.26551770752742,-1.41076542051293
8,-1.58735810371398,-7.57522489275112,-7.57522489275112,-1.64279995981734
8.1,-1.957546857016,-6.81140133180441,-6.8114013318044,-1.99820263016178
8.2,-2.48687290081337,-5.97722089090224,-5.97722089090222,-2.5180713803368
8.3,-3.31273352221783,-5.09102107256122,-5.09102107256121,-3.28799974559344
8.4,-4.59064738677563,-4.19419954330854,-4.19419954330853,-4.48359762971984
8.5,-6.58703487845071,-3.3616278019227,-3.36162780192269,-6.4111998011992
8.6,-9.75559864495026,-2.70415435596766,-2.70415435596763,-9.53500373294215
8.7,-13.8610043371774,-2.34261900780754,-2.34261900780751,-13.5977793426792
8.8,-13.1333499640147,-2.3465662445944,-2.34656624459438,-12.8808446928394
8.9,-9.2195658023214,-2.68503202209311,-2.68503202209311,-9.08038824981425
9,-6.51930543924366,-3.24748288633213,-3.24748288633216,-6.47561600484082
9.1,-4.83739447813029,-3.9086530767142,-3.90865307671425,-4.86216748064872
9.2,-3.77477442112676,-4.57247902400644,-4.57247902400647,-3.84013657025899
9.3,-3.09652996515364,-5.18174925992109,-5.18174925992108,-3.1745950799543
9.4,-2.67247612555575,-5.71834245185386,-5.7183424518538,-2.73338383337957
9.5,-2.42786827283574,-6.21942350891065,-6.21942350891061,-2.43878563194763
9.6,-2.28454796556205,-6.77078019310356,-6.77078019310357,-2.23098690203313
9.7,-2.09322906495871,-7.31700901481264,-7.31700901481259,-2.03839716015915
9.8,-1.85497899696376,-7.67537958544137,-7.67537958544135,-1.87880102616654
9.9,-1.71999423046338,-7.83780009269237,-7.8378000926924,-1.8094526904167
10,-1.68549233038201,-7.86618879266134,-7.86618879266134,-1.79624576167253
