"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port2,Port2)) []"
0.5,-25.4810066574134,-0.100788810533975,-0.100788810533981,-25.4798549814048
0.6,-24.1624625304022,-0.118784870178195,-0.118784870178207,-24.1626521829276
0.7,-23.1281332575447,-0.136380709560756,-0.13638070956076,-23.1299734673682
0.8,-22.3129960111773,-0.153495864759019,-0.153495864759019,-22.3166903970603
0.9,-21.6761602342954,-0.169977196402873,-0.16997719640287,-21.6818382147044
1,-21.1908197291101,-0.1856550754482,-0.185655075448196,-21.198568612046
1.1,-20.8390515101472,-0.2003795855672,-0.200379585567198,-20.8489397177793
1.2,-20.6089590696554,-0.214040172938131,-0.21404017293813,-20.6210487883272
1.3,-20.4930564559274,-0.22657477365883,-0.226574773658832,-20.5074070737093
1.4,-20.487367669141,-0.237972743845736,-0.237972743845742,-20.5040317036396
1.5,-20.5909839533412,-0.248274090614661,-0.248274090614668,-20.6099961827502
1.6,-20.8059619677667,-0.257566280212508,-0.257566280212515,-20.8273206343413
1.7,-21.1375344290381,-0.265979222689066,-0.265979222689073,-21.161170353902
1.8,-21.594681257606,-0.273678721442586,-0.273678721442593,-21.620405150064
1.9,-22.1912058056422,-0.280858581039324,-0.280858581039327,-22.2186125669683
2,-22.9476241157936,-0.287731586572874,-0.287731586572877,-22.9759067213692
2.1,-23.8945042856099,-0.294519639268157,-0.294519639268157,-23.9220640543566
2.2,-25.0786413236652,-0.301443417710892,-0.301443417710892,-25.1021978417238
2.3,-26.5753674138573,-0.308712008565398,-0.308712008565395,-26.5876865881569
2.4,-28.5159567300889,-0.31651300024706,-0.31651300024706,-28.4990927359198
2.5,-31.159508099631,-0.325003548628071,-0.32500354862807,-31.0595968589757
2.6,-35.1392995026319,-0.334302900704908,-0.334302900704906,-34.7303371292604
2.7,-42.932889744569,-0.344486799585375,-0.344486799585377,-40.3125508347939
2.8,-49.504349079644,-0.355584095670409,-0.355584095670408,-41.9240502256895
