"Freq [GHz]","dB(S(Port2,Port2)) []","dB(S(S1_1_Pin_T1,Port2)) []","dB(S(Port2,S1_1_Pin_T1)) []","dB(S(S1_1_Pin_T1,S1_1_Pin_T1)) []"
0.5,-16.2059959069705,-0.206408605464345,-0.206408605464346,-16.1103618402308
0.6,-14.8466667551228,-0.262587126997021,-0.262587126997031,-14.7520719125254
0.7,-13.7558116267496,-0.32106161488752,-0.321061614887535,-13.6622725925243
0.8,-12.8654595771198,-0.380640314011552,-0.380640314011562,-12.7722090738237
0.9,-12.1309896816658,-0.440186437663652,-0.440186437663661,-12.0364578068037
1,-11.5210327870379,-0.498724156621495,-0.4987241566215,-11.4228519646826
1.1,-11.0122274408176,-0.555517908636434,-0.555517908636442,-10.9072469170005
1.2,-10.5862700598243,-0.610118353051842,-0.610118353051849,-10.4705849591027
1.3,-10.2281406521546,-0.662379965772952,-0.662379965772957,-10.0971502267447
1.4,-9.9249787648394,-0.712456703281089,-0.712456703281096,-9.77349356397184
1.5,-9.66535347024189,-0.760780894205975,-0.760780894205976,-9.48777274108812
1.6,-9.43880293322711,-0.808028910346823,-0.808028910346823,-9.22938017540336
1.7,-9.23558612484945,-0.855075959259131,-0.855075959259127,-8.98878994167057
1.8,-9.04662064096218,-0.90294172557247,-0.902941725572466,-8.75757824156546
1.9,-8.86358769954406,-0.952728562753834,-0.952728562753831,-8.52857102786865
2,-8.67917365149345,-1.00555439275342,-1.00555439275341,-8.29605961054256
2.1,-8.48739315478799,-1.06248322755601,-1.062483227556,-8.05601114331804
2.2,-8.28391362359361,-1.12445704898448,-1.12445704898447,-7.80619786976357
2.3,-8.06628852380781,-1.19223340827992,-1.1922334082799,-7.54618522895042
2.4,-7.83402085933293,-1.26633328993132,-1.26633328993132,-7.27715393202233
2.5,-7.58841917184869,-1.34700335651591,-1.3470033565159,-7.0015743845929
2.6,-7.33226348664317,-1.43419561562076,-1.43419561562074,-6.72278774011742
2.7,-7.06934637670095,-1.52756594668931,-1.52756594668931,-6.44456431111134
2.8,-6.80397709846743,-1.62649105438247,-1.62649105438246,-6.17070444010353
2.9,-6.5405302449526,-1.730101609916,-1.730101609916,-5.90472582379704
3,-6.28309338960968,-1.8373279213324,-1.83732792133239,-5.64965522744984
3.1,-6.03523513487217,-1.9469536568105,-1.94695365681049,-5.40792036314146
3.2,-5.79988757917965,-2.05767300353019,-2.05767300353019,-5.1813237784036
3.3,-5.57932079012435,-2.16814710341319,-2.16814710341318,-4.97107505787129
3.4,-5.37518106206656,-2.27705648702566,-2.27705648702566,-4.77785826888363
3.5,-5.18856629539395,-2.38314730630523,-2.38314730630524,-4.60191561672111
3.6,-5.0201171051342,-2.48527023918816,-2.48527023918816,-4.44313345757116
3.7,-4.8701084850569,-2.58241185173724,-2.58241185173723,-4.30112172971053
3.8,-4.73853243385118,-2.67371887031894,-2.67371887031893,-4.17528183706994
3.9,-4.62516625067402,-2.75851621337663,-2.75851621337662,-4.06486089374444
4,-4.52962416873772,-2.83631977952399,-2.83631977952398,-3.96899212992131
4.1,-4.4513918408543,-2.90684493136275,-2.90684493136274,-3.886722399331
4.2,-4.3898442373498,-2.97001140705582,-2.97001140705582,-3.81702836375104
4.3,-4.34424808094426,-3.02594508746787,-3.02594508746787,-3.75882328123759
4.4,-4.31375030529288,-3.07497669307145,-3.07497669307146,-3.71095656620926
4.5,-4.2973544224114,-3.11763712357367,-3.11763712357368,-3.67220854570521
4.6,-4.29388731826171,-3.1546488232873,-3.15464882328731,-3.64128317799297
4.7,-4.3019600192464,-3.18691229653469,-3.18691229653471,-3.6168019365781
4.8,-4.3199274679184,-3.2154867534128,-3.21548675341282,-3.59730252864938
4.9,-4.34585427081841,-3.24156388422655,-3.24156388422656,-3.58124645645995
5,-4.37749548414499,-3.26643398689356,-3.26643398689358,-3.56703939542093
5.1,-4.41230323593338,-3.29144414035031,-3.29144414035032,-3.55306764395834
5.2,-4.44747045872456,-3.31794883634531,-3.31794883634531,-3.53775220917275
5.3,-4.48002109269557,-3.34725441530128,-3.34725441530129,-3.51961930696893
5.4,-4.50695077879428,-3.38055970366212,-3.38055970366212,-3.49738239552875
5.5,-4.5254129653548,-3.41889626351406,-3.41889626351406,-3.47002701259879
5.6,-4.53293360138784,-3.46307243927529,-3.46307243927527,-3.43688675425027
5.7,-4.527626109826,-3.51362571548065,-3.51362571548067,-3.39769793273391
5.8,-4.50837136623824,-3.57078763095175,-3.57078763095175,-3.3526225963424
5.9,-4.4749288631114,-3.63446458405277,-3.63446458405277,-3.30223458945149
6,-4.42795648527837,-3.70423641208563,-3.70423641208565,-3.24747000191551
6.1,-4.36893478414584,-3.77937287552443,-3.77937287552445,-3.18954980371469
6.2,-4.30001145341254,-3.85886645359595,-3.85886645359597,-3.12988681416743
6.3,-4.22379637133306,-3.94147849232054,-3.94147849232054,-3.06999033946249
6.4,-4.14314299193702,-4.02579496650361,-4.02579496650359,-3.01137990191091
6.5,-4.06094790938952,-4.11028793313194,-4.11028793313193,-2.95551551072305
6.6,-3.97999023410202,-4.1933788549749,-4.19337885497489,-2.90374732305476
6.7,-3.9028203608923,-4.27349975556392,-4.2734997555639,-2.8572835820146
6.8,-3.83169734682547,-4.34914721856397,-4.34914721856396,-2.81717315262829
6.9,-3.76856726540088,-4.41892349021418,-4.41892349021419,-2.78429800421962
7,-3.71507172698144,-4.4815611239066,-4.48156112390659,-2.75937138320518
7.1,-3.67257541883668,-4.53593422778561,-4.53593422778562,-2.74293872914012
7.2,-3.64220288206611,-4.58106590967988,-4.58106590967989,-2.73538008152443
7.3,-3.62487681271538,-4.61614054287428,-4.61614054287432,-2.7369143070945
7.4,-3.62135228406602,-4.64052152527639,-4.64052152527638,-2.7476065472569
7.5,-3.63224309923349,-4.65376900971911,-4.65376900971914,-2.76738060316008
7.6,-3.65803791358903,-4.65565242685871,-4.65565242685876,-2.79603751550177
7.7,-3.69910489857881,-4.64615621022017,-4.64615621022017,-2.83328056434411
7.8,-3.75568474218892,-4.62547957807397,-4.62547957807398,-2.87874570648185
7.9,-3.82787296470122,-4.59403152812466,-4.59403152812468,-2.93203556059676
8,-3.91559422263306,-4.55242140552616,-4.55242140552618,-2.99275487295686
8.1,-4.01857395682055,-4.50144454823015,-4.50144454823016,-3.06054625646427
8.2,-4.13631713032489,-4.44206212319855,-4.44206212319857,-3.13512712454289
8.3,-4.26811113624132,-4.37537472981102,-4.37537472981103,-3.21633250058429
