file,baseline_file,score_version,score_profile_id,status,connector_score,optimization_cost,band_min_ghz,band_max_ghz,s21_0p5g_db,s21_1g_db,s21_2g_db,s21_3g_db,s21_4g_db,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,s21_10g_db,s21_min_0p5_10g_db,s21_avg_0p5_10g_db,s21_ripple_0p5_10g_db,max_extra_il_0p5_10g_db,avg_extra_il_0p5_10g_db,extra_il_ripple_0p5_10g_db,worst_s11_0p5_10g_db,worst_s22_0p5_10g_db,worst_return_0p5_10g_db,worst_return_param,worst_return_freq_ghz,s11_s22_balance_max_0p5_10g_db,s11_s22_weighted_balance_max_0p5_10g_db,margin_worst_return_db,margin_s21_min_db,margin_s21_avg_db,margin_s21_ripple_db,margin_balance_db,margin_max_extra_il_db,margin_avg_extra_il_db,margin_extra_il_ripple_db,margin_weighted_balance_db,smith_z_r_min_0p5_10g,smith_z_r_max_0p5_10g,smith_z_x_min_0p5_10g,smith_z_x_max_0p5_10g,smith_tuning_hint,note,scoring_system,scoring_profile_path
projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,PASS_CANDIDATE,100.000,0.000,0.5,10,-0.10,-0.19,-0.29,-0.38,-0.52,-0.60,-0.69,-0.82,-0.89,-0.99,-1.12,-1.12,-0.62,1.02,0.00,0.00,0.00,-20.49,-20.50,-20.49,s11,1.4,7.84,0.00,10.49,0.38,0.13,-0.02,-6.34,0.50,0.25,0.50,1.00,0.83,1.00,-0.09,0.10,reduce_series_inductance_or_recover_local_capacitance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\gap1p5_novia_l2_l4\gap1p5_novia_l2_l4.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,89.563,10.437,0.5,10,-0.12,-0.23,-0.33,-0.53,-0.74,-0.77,-0.92,-1.15,-1.21,-1.32,-1.51,-1.51,-0.83,1.39,0.39,0.21,0.37,-13.69,-13.38,-13.38,s22,3.9,4.48,0.53,3.38,-0.01,-0.08,-0.39,-2.98,0.11,0.04,0.13,0.47,0.66,1.36,-0.41,0.44,reduce_pad_capacitance_or_add_short_series_inductance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\gap1p5_novia_l2l3_edge_notch_l4\gap1p5_novia_l2l3_edge_notch_l4.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,17.973,82.027,0.5,10,-0.11,-0.21,-0.31,-0.43,-0.68,-0.84,-0.93,-1.28,-2.49,-1.61,-1.45,-4.25,-1.01,4.14,3.38,0.39,3.37,-8.54,-10.65,-8.54,s11,7.8,8.27,7.00,-1.46,-2.75,-0.26,-3.14,-6.77,-2.88,-0.14,-2.87,-6.00,0.57,1.58,-0.52,0.54,reduce_series_inductance_or_recover_local_capacitance,full-band return loss is weak; maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high; return-loss-weighted S11/S22 balance is weak.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\gap1p5_novia_l2l3_l4\gap1p5_novia_l2l3_l4.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,89.238,10.762,0.5,10,-0.12,-0.24,-0.33,-0.51,-0.76,-0.80,-0.91,-1.13,-1.22,-1.32,-1.50,-1.50,-0.84,1.38,0.38,0.21,0.36,-13.46,-13.17,-13.17,s22,4,2.65,0.58,3.17,-0.00,-0.09,-0.38,-1.15,0.12,0.04,0.14,0.42,0.65,1.40,-0.39,0.46,reduce_pad_capacitance_or_add_short_series_inductance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\gap1p5_novia_l2l3_l4_refextend_right1p5\gap1p5_novia_l2l3_l4_refextend_right1p5.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,86.299,13.701,0.5,10,-0.11,-0.21,-0.31,-0.45,-0.68,-0.76,-0.89,-1.16,-1.29,-1.35,-1.62,-1.62,-0.83,1.51,0.50,0.21,0.49,-12.98,-12.37,-12.37,s22,7.4,1.30,0.60,2.37,-0.12,-0.08,-0.51,0.20,0.00,0.04,0.01,0.40,0.63,1.41,-0.46,0.38,reduce_series_inductance_or_recover_local_capacitance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\gap1p5_novia_w2p0_l2l3_l4\gap1p5_novia_w2p0_l2l3_l4.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,CANDIDATE,89.238,10.762,0.5,10,-0.12,-0.24,-0.33,-0.51,-0.76,-0.80,-0.91,-1.13,-1.22,-1.32,-1.50,-1.50,-0.84,1.38,0.38,0.21,0.36,-13.46,-13.17,-13.17,s22,4,2.65,0.58,3.17,-0.00,-0.09,-0.38,-1.15,0.12,0.04,0.14,0.42,0.65,1.40,-0.39,0.46,reduce_pad_capacitance_or_add_short_series_inductance,"Connector launch meets full-band tuning targets; verify ports, mesh, and manufacturing constraints.",connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\gap1p5_novia_w2p4_l2l3_l4\gap1p5_novia_w2p4_l2l3_l4.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,84.901,15.099,0.5,10,-0.12,-0.23,-0.32,-0.45,-0.63,-0.72,-0.85,-1.07,-1.34,-1.61,-1.98,-1.98,-0.86,1.86,0.86,0.24,0.84,-14.58,-13.98,-13.98,s22,10,2.02,0.45,3.98,-0.48,-0.11,-0.86,-0.52,-0.36,0.01,-0.34,0.55,0.76,1.44,-0.34,0.30,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\home_gap1p5_novia_l2l3_l4\home_gap1p5_novia_l2l3_l4.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,29.893,70.107,0.5,10,-0.11,-0.21,-0.31,-0.45,-0.68,-0.79,-0.88,-1.18,-2.74,-1.40,-1.32,-3.77,-0.94,3.66,2.89,0.32,2.88,-9.68,-12.26,-9.68,s11,7.8,6.24,6.24,-0.32,-2.27,-0.19,-2.66,-4.74,-2.39,-0.07,-2.38,-5.24,0.64,1.50,-0.49,0.63,reduce_pad_capacitance_or_add_short_series_inductance,full-band return loss is weak; maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high; return-loss-weighted S11/S22 balance is weak.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2l3p6\l2l3p6.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,82.034,17.966,0.5,10,-0.11,-0.21,-0.32,-0.47,-0.71,-0.81,-0.93,-1.23,-1.40,-1.45,-1.71,-1.71,-0.88,1.60,0.59,0.26,0.58,-11.80,-11.10,-11.10,s22,7.6,1.33,0.81,1.10,-0.21,-0.13,-0.60,0.17,-0.09,-0.01,-0.08,0.19,0.60,1.49,-0.51,0.48,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; average extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
D:\Work\ADS_AUTO_SIM\projects\hfss_sma_connector\simulations\single_end_connector_50r_30mm\results\l2l3p65\l2l3p65.s2p,projects\hfss_sma_connector\simulations\ideal_50r_microstrip_30mm\results\no_connector_30mm\no_connector_30mm.s2p,connector_fullband_v2_baseline_relative,sma_launch_fullband_0p5_10g_v2,TUNE,82.098,17.902,0.5,10,-0.12,-0.23,-0.32,-0.47,-0.74,-0.78,-0.90,-1.24,-1.36,-1.39,-1.73,-1.73,-0.87,1.61,0.60,0.25,0.59,-11.77,-11.14,-11.14,s22,7.4,1.63,0.77,1.14,-0.23,-0.12,-0.61,-0.13,-0.10,0.00,-0.09,0.23,0.59,1.49,-0.53,0.46,reduce_series_inductance_or_recover_local_capacitance,maximum extra insertion loss versus baseline is high; extra insertion-loss ripple versus baseline is high.,connector,D:\Work\ADS_AUTO_SIM\config\scoring\connectors\sma_launch_fullband_0p5_10g_v2.json
