freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.1971,-0.31761,-0.31761,-22.1936
0.6,-24.0779,-0.351818,-0.351818,-24.0708
0.7,-28.1497,-0.384079,-0.384079,-28.1148
0.8,-39.2414,-0.419906,-0.419906,-38.4486
0.9,-34.5089,-0.462345,-0.462345,-34.1007
1,-26.9421,-0.510316,-0.510316,-26.8566
1.1,-23.8035,-0.559426,-0.559426,-23.764
1.2,-22.5001,-0.604574,-0.604574,-22.4771
1.3,-22.4881,-0.642741,-0.642741,-22.4713
1.4,-23.7421,-0.674496,-0.674496,-23.7204
1.5,-26.7093,-0.703565,-0.703565,-26.6454
1.6,-33.3749,-0.734814,-0.734814,-32.9291
1.7,-42.0262,-0.771683,-0.771683,-38.8468
1.8,-29.5295,-0.814443,-0.814443,-29.2374
1.9,-25.192,-0.860152,-0.860152,-25.0854
2,-23.2055,-0.904305,-0.904305,-23.1475
2.1,-22.6162,-0.943219,-0.943219,-22.5722
2.2,-23.2152,-0.975897,-0.975897,-23.1598
2.3,-25.1715,-1.00447,-1.00447,-25.0497
2.4,-29.316,-1.03301,-1.03301,-28.8628
2.5,-40.2476,-1.06539,-1.06539,-35.655
2.6,-35.1466,-1.10327,-1.10327,-32.8206
2.7,-27.9286,-1.14526,-1.14526,-27.3437
2.8,-24.8744,-1.18782,-1.18782,-24.5874
2.9,-23.6283,-1.22722,-1.22722,-23.4338
3,-23.6834,-1.26144,-1.26144,-23.5048
3.1,-25.0463,-1.29122,-1.29122,-24.8008
3.2,-28.2503,-1.31963,-1.31963,-27.6718
3.3,-35.7946,-1.35038,-1.35038,-32.7448
3.4,-39.6607,-1.38598,-1.38598,-33.5982
3.5,-29.3989,-1.42634,-1.42634,-28.1867
3.6,-25.4004,-1.46889,-1.46889,-24.8721
3.7,-23.5024,-1.50988,-1.50988,-23.1899
3.8,-22.8999,-1.54628,-1.54628,-22.6877
3.9,-23.3954,-1.57726,-1.57726,-23.2463
4,-25.0892,-1.60457,-1.60457,-25.0012
4.1,-28.4561,-1.63165,-1.63165,-28.4929
4.2,-34.4052,-1.66183,-1.66183,-35.1274
4.3,-34.323,-1.69674,-1.69674,-35.2052
4.4,-28.6983,-1.73554,-1.73554,-28.8813
4.5,-25.6595,-1.77531,-1.77531,-25.6983
4.6,-24.2913,-1.81304,-1.81304,-24.2644
4.7,-24.1546,-1.84676,-1.84676,-24.0612
4.8,-25.1976,-1.87665,-1.87665,-24.9817
4.9,-27.722,-1.90483,-1.90483,-27.1715
5,-32.8398,-1.93413,-1.93413,-30.8901
5.1,-41.1026,-1.96664,-1.96664,-33.811
5.2,-32.8003,-2.00264,-2.00264,-30.584
5.3,-28.0924,-2.04053,-2.04053,-27.2578
5.4,-25.9165,-2.07773,-2.07773,-25.4567
5.5,-25.2371,-2.11211,-2.11211,-24.9062
5.6,-25.8107,-2.14308,-2.14308,-25.4921
5.7,-27.7944,-2.17198,-2.17198,-27.332
5.8,-31.9063,-2.20129,-2.20129,-30.7352
5.9,-38.3984,-2.23327,-2.23327,-34.285
6,-33.3968,-2.26857,-2.26857,-31.4592
6.1,-28.4096,-2.30621,-2.30621,-27.6506
6.2,-25.8533,-2.34393,-2.34393,-25.4072
6.3,-24.7813,-2.37925,-2.37925,-24.422
6.4,-24.8848,-2.41097,-2.41097,-24.4941
6.5,-26.2073,-2.43977,-2.43977,-25.6095
6.6,-29.2003,-2.46781,-2.46781,-27.8654
6.7,-35.3699,-2.49761,-2.49761,-30.8736
6.8,-38.285,-2.53082,-2.53082,-31.1984
6.9,-30.5576,-2.56739,-2.56739,-28.1513
7,-26.6782,-2.60564,-2.60564,-25.5712
7.1,-24.7425,-2.64302,-2.64302,-24.1146
7.2,-24.0494,-2.67733,-2.67733,-23.663
7.3,-24.3894,-2.70773,-2.70773,-24.1646
7.4,-25.7817,-2.73514,-2.73514,-25.7235
7.5,-28.4041,-2.76182,-2.76182,-28.6609
7.6,-32.0334,-2.79036,-2.79036,-33.1758
7.7,-32.5415,-2.82236,-2.82236,-33.879
7.8,-29.1496,-2.85757,-2.85757,-29.5836
7.9,-26.5563,-2.894,-2.894,-26.7291
8,-25.2476,-2.92905,-2.92905,-25.3717
8.1,-25.0305,-2.96098,-2.96098,-25.1975
8.2,-25.8297,-2.98993,-2.98993,-26.1623
8.3,-27.6768,-3.0178,-3.0178,-28.5093
8.4,-30.3294,-3.04707,-3.04707,-32.8127
8.5,-31.4058,-3.07939,-3.07939,-36.0127
8.6,-28.9762,-3.11481,-3.11481,-31.0764
8.7,-26.3191,-3.15185,-3.15185,-27.2101
8.8,-24.6516,-3.18843,-3.18843,-25.0614
8.9,-23.9487,-3.22277,-3.22277,-24.0805
9,-24.1345,-3.25408,-3.25408,-24.0271
9.1,-25.2519,-3.28284,-3.28284,-24.8346
9.2,-27.5193,-3.3106,-3.3106,-26.5066
9.3,-31.3949,-3.33964,-3.33964,-28.8777
9.4,-36.1767,-3.3725,-3.3725,-30.7303
9.5,-33.9107,-3.41131,-3.41131,-30.0631
9.6,-29.9814,-3.45703,-3.45703,-28.1564
9.7,-27.8531,-3.50834,-3.50834,-26.7531
9.8,-27.2282,-3.5603,-3.5603,-26.2941
9.9,-28.0304,-3.60274,-3.60274,-26.9207
10,-30.2672,-3.61876,-3.61876,-28.7223
