freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-25.481,-0.100789,-0.100789,-25.4799
0.6,-24.1625,-0.118785,-0.118785,-24.1627
0.7,-23.1281,-0.136381,-0.136381,-23.13
0.8,-22.313,-0.153496,-0.153496,-22.3167
0.9,-21.6762,-0.169977,-0.169977,-21.6818
1,-21.1908,-0.185655,-0.185655,-21.1986
1.1,-20.8391,-0.20038,-0.20038,-20.8489
1.2,-20.609,-0.21404,-0.21404,-20.621
1.3,-20.4931,-0.226575,-0.226575,-20.5074
1.4,-20.4874,-0.237973,-0.237973,-20.504
1.5,-20.591,-0.248274,-0.248274,-20.61
1.6,-20.806,-0.257566,-0.257566,-20.8273
1.7,-21.1375,-0.265979,-0.265979,-21.1612
1.8,-21.5947,-0.273679,-0.273679,-21.6204
1.9,-22.1912,-0.280859,-0.280859,-22.2186
2,-22.9476,-0.287732,-0.287732,-22.9759
2.1,-23.8945,-0.29452,-0.29452,-23.9221
2.2,-25.0786,-0.301443,-0.301443,-25.1022
2.3,-26.5754,-0.308712,-0.308712,-26.5877
2.4,-28.516,-0.316513,-0.316513,-28.4991
2.5,-31.1595,-0.325004,-0.325004,-31.0596
2.6,-35.1393,-0.334303,-0.334303,-34.7303
2.7,-42.9329,-0.344487,-0.344487,-40.3126
2.8,-49.5043,-0.355584,-0.355584,-41.9241
2.9,-37.2602,-0.367576,-0.367576,-36.0178
3,-32.4334,-0.380396,-0.380396,-31.9352
3.1,-29.4295,-0.393938,-0.393938,-29.1559
3.2,-27.2889,-0.408056,-0.408056,-27.1151
3.3,-25.664,-0.422576,-0.422576,-25.5449
3.4,-24.3894,-0.437307,-0.437307,-24.3044
3.5,-23.3737,-0.452043,-0.452043,-23.3119
3.6,-22.5613,-0.466582,-0.466582,-22.5164
3.7,-21.9165,-0.480732,-0.480732,-21.8844
3.8,-21.415,-0.494317,-0.494317,-21.3931
3.9,-21.0406,-0.507192,-0.507192,-21.0269
4,-20.7822,-0.519245,-0.519245,-20.775
4.1,-20.6323,-0.530401,-0.530401,-20.6306
4.2,-20.5871,-0.540628,-0.540628,-20.5896
4.3,-20.6449,-0.54994,-0.54994,-20.6506
4.4,-20.8071,-0.558387,-0.558387,-20.8148
4.5,-21.0772,-0.566064,-0.566064,-21.0856
4.6,-21.4622,-0.573098,-0.573098,-21.4696
4.7,-21.9725,-0.579643,-0.579643,-21.9766
4.8,-22.6237,-0.585875,-0.585875,-22.621
4.9,-23.4386,-0.591985,-0.591985,-23.4236
5,-24.4508,-0.598164,-0.598164,-24.4143
5.1,-25.7123,-0.6046,-0.6046,-25.6371
5.2,-27.3073,-0.611463,-0.611463,-27.159
5.3,-29.3857,-0.618906,-0.618906,-29.0844
5.4,-32.2517,-0.627047,-0.627047,-31.5737
5.5,-36.6841,-0.635972,-0.635972,-34.7902
5.6,-45.8589,-0.645727,-0.645727,-38.0151
5.7,-44.3541,-0.656317,-0.656317,-37.4318
5.8,-36.1204,-0.667707,-0.667707,-34.0135
5.9,-31.9593,-0.679824,-0.679824,-31.0006
6,-29.231,-0.692559,-0.692559,-28.6911
6.1,-27.2435,-0.705774,-0.705774,-26.9013
6.2,-25.7175,-0.71931,-0.71931,-25.4851
6.3,-24.513,-0.732994,-0.732994,-24.3483
6.4,-23.55,-0.746646,-0.746646,-23.4304
6.5,-22.7789,-0.76009,-0.76009,-22.6911
6.6,-22.1675,-0.77316,-0.77316,-22.1028
6.7,-21.6935,-0.785708,-0.785708,-21.6462
6.8,-21.342,-0.797613,-0.797613,-21.3079
6.9,-21.1024,-0.808784,-0.808784,-21.0786
7,-20.9681,-0.819164,-0.819164,-20.952
7.1,-20.9349,-0.828734,-0.828734,-20.9246
7.2,-21.0016,-0.837512,-0.837512,-20.995
7.3,-21.1689,-0.845551,-0.845551,-21.1641
7.4,-21.4402,-0.852942,-0.852942,-21.4348
7.5,-21.8214,-0.8598,-0.8598,-21.8125
7.6,-22.322,-0.866268,-0.866268,-22.3055
7.7,-22.9557,-0.872504,-0.872504,-22.9256
7.8,-23.7423,-0.878675,-0.878675,-23.6897
7.9,-24.7107,-0.884947,-0.884947,-24.6211
8,-25.904,-0.891479,-0.891479,-25.7529
8.1,-27.39,-0.898414,-0.898414,-27.1319
8.2,-29.282,-0.905869,-0.905869,-28.8237
8.3,-31.7881,-0.913934,-0.913934,-30.9105
8.4,-35.3419,-0.92266,-0.92266,-33.4289
8.5,-40.8723,-0.932065,-0.932065,-35.9774
8.6,-44.486,-0.942127,-0.942127,-36.7696
8.7,-38.241,-0.952791,-0.952791,-34.8926
8.8,-33.8389,-0.963974,-0.963974,-32.3459
8.9,-30.9344,-0.975569,-0.975569,-30.1413
9,-28.8445,-0.987464,-0.987464,-28.3673
9.1,-27.2609,-0.999544,-0.999544,-26.9477
9.2,-26.0271,-1.01172,-1.01172,-25.8073
9.3,-25.054,-1.02392,-1.02392,-24.8907
9.4,-24.287,-1.03615,-1.03615,-24.1585
9.5,-23.6906,-1.04847,-1.04847,-23.5831
9.6,-23.2411,-1.06102,-1.06102,-23.1442
9.7,-22.9224,-1.07407,-1.07407,-22.8272
9.8,-22.7238,-1.08797,-1.08797,-22.6212
9.9,-22.6387,-1.10324,-1.10324,-22.5181
10,-22.6637,-1.12051,-1.12051,-22.5118
