freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-21.4971,-0.120379,-0.120379,-21.4529
0.6,-20.2207,-0.145123,-0.145123,-20.186
0.7,-19.2355,-0.169425,-0.169425,-19.2119
0.8,-18.4766,-0.192756,-0.192756,-18.4651
0.9,-17.9033,-0.214599,-0.214599,-17.9041
1,-17.4884,-0.234519,-0.234519,-17.5014
1.1,-17.2133,-0.252213,-0.252213,-17.2377
1.2,-17.0651,-0.267528,-0.267528,-17.0997
1.3,-17.0344,-0.280468,-0.280468,-17.0771
1.4,-17.1145,-0.291196,-0.291196,-17.1617
1.5,-17.2993,-0.30002,-0.30002,-17.3456
1.6,-17.5826,-0.307373,-0.307373,-17.6196
1.7,-17.9555,-0.313789,-0.313789,-17.9707
1.8,-18.4034,-0.319869,-0.319869,-18.3789
1.9,-18.9019,-0.326247,-0.326247,-18.8128
2,-19.4103,-0.333548,-0.333548,-19.2257
2.1,-19.8678,-0.342354,-0.342354,-19.5554
2.2,-20.1951,-0.353161,-0.353161,-19.7327
2.3,-20.3124,-0.366352,-0.366352,-19.7021
2.4,-20.1718,-0.382171,-0.382171,-19.4464
2.5,-19.7829,-0.400709,-0.400709,-18.9946
2.6,-19.2063,-0.421897,-0.421897,-18.4069
2.7,-18.5227,-0.445513,-0.445513,-17.7496
2.8,-17.8037,-0.471196,-0.471196,-17.0778
2.9,-17.1001,-0.498471,-0.498471,-16.4299
3,-16.4433,-0.526776,-0.526776,-15.8295
3.1,-15.8501,-0.555493,-0.555493,-15.2898
3.2,-15.3284,-0.583988,-0.583988,-14.8169
3.3,-14.881,-0.611639,-0.611639,-14.4129
3.4,-14.5076,-0.63787,-0.63787,-14.0778
3.5,-14.2066,-0.662173,-0.662173,-13.8101
3.6,-13.9759,-0.684132,-0.684132,-13.6081
3.7,-13.8135,-0.70344,-0.70344,-13.4698
3.8,-13.7173,-0.719905,-0.719905,-13.3932
3.9,-13.6856,-0.733456,-0.733456,-13.3768
4,-13.7172,-0.744146,-0.744146,-13.4188
4.1,-13.8111,-0.752138,-0.752138,-13.518
4.2,-13.9666,-0.757703,-0.757703,-13.6727
4.3,-14.1831,-0.761203,-0.761203,-13.8814
4.4,-14.4599,-0.763074,-0.763074,-14.1417
4.5,-14.7958,-0.763809,-0.763809,-14.4505
4.6,-15.1887,-0.763936,-0.763936,-14.8029
4.7,-15.6348,-0.763997,-0.763997,-15.1919
4.8,-16.1272,-0.764525,-0.764525,-15.6069
4.9,-16.6546,-0.766027,-0.766027,-16.0331
5,-17.1992,-0.768961,-0.768961,-16.4503
5.1,-17.7343,-0.77372,-0.77372,-16.8329
5.2,-18.2236,-0.780619,-0.780619,-17.1515
5.3,-18.6228,-0.789884,-0.789884,-17.377
5.4,-18.8873,-0.801644,-0.801644,-17.4867
5.5,-18.9838,-0.815932,-0.815932,-17.4707
5.6,-18.9032,-0.832682,-0.832682,-17.3346
5.7,-18.6635,-0.851737,-0.851737,-17.0979
5.8,-18.303,-0.872855,-0.872855,-16.7886
5.9,-17.867,-0.895723,-0.895723,-16.4362
6,-17.3972,-0.919968,-0.919968,-16.0672
6.1,-16.9263,-0.945174,-0.945174,-15.7032
6.2,-16.4773,-0.970895,-0.970895,-15.3602
6.3,-16.0655,-0.996676,-0.996676,-15.0498
6.4,-15.7002,-1.02206,-1.02206,-14.7796
6.5,-15.3872,-1.04663,-1.04663,-14.5551
6.6,-15.1295,-1.06997,-1.06997,-14.3797
6.7,-14.9289,-1.09175,-1.09175,-14.2561
6.8,-14.7866,-1.11166,-1.11166,-14.1863
6.9,-14.7034,-1.12951,-1.12951,-14.1718
7,-14.6801,-1.14514,-1.14514,-14.2146
7.1,-14.718,-1.15851,-1.15851,-14.3167
7.2,-14.8186,-1.16963,-1.16963,-14.4804
7.3,-14.984,-1.17864,-1.17864,-14.7085
7.4,-15.2168,-1.18572,-1.18572,-15.0046
7.5,-15.5206,-1.19115,-1.19115,-15.3728
7.6,-15.8996,-1.19527,-1.19527,-15.8179
7.7,-16.359,-1.19847,-1.19847,-16.3457
7.8,-16.9055,-1.20116,-1.20116,-16.9627
7.9,-17.5466,-1.20379,-1.20379,-17.6762
8,-18.2918,-1.20681,-1.20681,-18.4941
8.1,-19.1519,-1.21061,-1.21061,-19.4238
8.2,-20.1396,-1.21559,-1.21559,-20.47
8.3,-21.268,-1.22203,-1.22203,-21.6308
8.4,-22.5483,-1.23017,-1.23017,-22.8871
8.5,-23.9822,-1.24016,-1.24016,-24.1855
8.6,-25.5411,-1.25205,-1.25205,-25.4112
8.7,-27.1222,-1.2658,-1.2658,-26.3775
8.8,-28.4798,-1.28127,-1.28127,-26.8893
8.9,-29.2404,-1.29828,-1.29828,-26.8903
9,-29.1889,-1.31654,-1.31654,-26.5205
9.1,-28.5291,-1.33578,-1.33578,-25.9965
9.2,-27.6384,-1.35567,-1.35567,-25.4891
9.3,-26.7715,-1.37592,-1.37592,-25.098
9.4,-26.0378,-1.39626,-1.39626,-24.8764
9.5,-25.4683,-1.41646,-1.41646,-24.8556
9.6,-25.0613,-1.43638,-1.43638,-25.062
9.7,-24.8009,-1.45594,-1.45594,-25.5278
9.8,-24.6633,-1.47515,-1.47515,-26.3002
9.9,-24.6163,-1.49413,-1.49413,-27.4523
10,-24.6161,-1.51302,-1.51302,-29.0921
