freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-23.0506,-0.109022,-0.109022,-23.0003
0.6,-21.7438,-0.130503,-0.130503,-21.7016
0.7,-20.7219,-0.151499,-0.151499,-20.6913
0.8,-19.9202,-0.171798,-0.171798,-19.9028
0.9,-19.2974,-0.191141,-0.191141,-19.294
1,-18.8263,-0.209259,-0.209259,-18.8366
1.1,-18.4881,-0.22592,-0.22592,-18.5114
1.2,-18.2694,-0.240957,-0.240957,-18.3049
1.3,-18.1612,-0.254294,-0.254294,-18.2074
1.4,-18.1572,-0.265947,-0.265947,-18.2122
1.5,-18.2532,-0.276027,-0.276027,-18.3139
1.6,-18.4467,-0.284728,-0.284728,-18.5085
1.7,-18.7358,-0.292315,-0.292315,-18.7919
1.8,-19.119,-0.299105,-0.299105,-19.1588
1.9,-19.5934,-0.305451,-0.305451,-19.6015
2,-20.1524,-0.311721,-0.311721,-20.1067
2.1,-20.7825,-0.318283,-0.318283,-20.6519
2.2,-21.4564,-0.325487,-0.325487,-21.1999
2.3,-22.125,-0.333651,-0.333651,-21.6952
2.4,-22.7088,-0.34305,-0.34305,-22.0641
2.5,-23.1011,-0.353909,-0.353909,-22.2292
2.6,-23.1984,-0.366393,-0.366393,-22.138
2.7,-22.9527,-0.38061,-0.38061,-21.7886
2.8,-22.4029,-0.396603,-0.396603,-21.2301
2.9,-21.6473,-0.414359,-0.414359,-20.537
3,-20.7909,-0.433806,-0.433806,-19.7802
3.1,-19.9129,-0.454824,-0.454824,-19.0128
3.2,-19.0616,-0.477246,-0.477246,-18.2686
3.3,-18.2626,-0.500866,-0.500866,-17.5668
3.4,-17.5272,-0.525448,-0.525448,-16.917
3.5,-16.8588,-0.55073,-0.55073,-16.3227
3.6,-16.257,-0.576432,-0.576432,-15.7843
3.7,-15.7193,-0.602265,-0.602265,-15.3004
3.8,-15.2427,-0.627934,-0.627934,-14.869
3.9,-14.824,-0.653147,-0.653147,-14.4877
4,-14.4603,-0.677623,-0.677623,-14.1542
4.1,-14.1492,-0.701093,-0.701093,-13.8663
4.2,-13.8886,-0.723316,-0.723316,-13.6223
4.3,-13.6769,-0.744078,-0.744078,-13.4204
4.4,-13.5128,-0.763202,-0.763202,-13.2594
4.5,-13.3953,-0.780558,-0.780558,-13.1377
4.6,-13.3239,-0.796068,-0.796068,-13.0542
4.7,-13.2979,-0.809714,-0.809714,-13.0072
4.8,-13.3168,-0.821547,-0.821547,-12.995
4.9,-13.3797,-0.831687,-0.831687,-13.0153
5,-13.4852,-0.840332,-0.840332,-13.0649
5.1,-13.6312,-0.847757,-0.847757,-13.1399
5.2,-13.8141,-0.854313,-0.854313,-13.2347
5.3,-14.0283,-0.86042,-0.86042,-13.3425
5.4,-14.2656,-0.866557,-0.866557,-13.4546
5.5,-14.5142,-0.873247,-0.873247,-13.5607
5.6,-14.7583,-0.881037,-0.881037,-13.649
5.7,-14.9777,-0.890475,-0.890475,-13.7072
5.8,-15.1495,-0.902081,-0.902081,-13.7235
5.9,-15.2503,-0.916318,-0.916318,-13.6884
6,-15.2608,-0.933567,-0.933567,-13.5963
6.1,-15.1702,-0.954098,-0.954098,-13.4466
6.2,-14.9795,-0.978058,-0.978058,-13.2436
6.3,-14.7011,-1.00546,-1.00546,-12.9963
6.4,-14.3557,-1.03618,-1.03618,-12.7165
6.5,-13.9676,-1.07002,-1.07002,-12.4172
6.6,-13.5605,-1.10668,-1.10668,-12.1116
6.7,-13.1548,-1.14588,-1.14588,-11.8114
6.8,-12.7665,-1.18749,-1.18749,-11.527
6.9,-12.4074,-1.2316,-1.2316,-11.2674
7,-12.0855,-1.27891,-1.27891,-11.0408
7.1,-11.8054,-1.33111,-1.33111,-10.8551
7.2,-11.5677,-1.39191,-1.39191,-10.7204
7.3,-11.3665,-1.46915,-1.46915,-10.6518
7.4,-11.1791,-1.57999,-1.57999,-10.6783
7.5,-10.9336,-1.76545,-1.76545,-10.8645
7.6,-10.4217,-2.13397,-2.13397,-11.3806
7.7,-9.31152,-2.96679,-2.96679,-12.7232
7.8,-8.54011,-4.25372,-4.25372,-15.5434
7.9,-11.2912,-3.61987,-3.61987,-14.6906
8,-13.8064,-2.49297,-2.49297,-12.3705
8.1,-13.1722,-2.00695,-2.00695,-11.5568
8.2,-12.6506,-1.78349,-1.78349,-11.3785
8.3,-12.5077,-1.67195,-1.67195,-11.4611
8.4,-12.5835,-1.6106,-1.6106,-11.6493
8.5,-12.7877,-1.57301,-1.57301,-11.8379
8.6,-13.0739,-1.54748,-1.54748,-12.1033
8.7,-13.4112,-1.52997,-1.52997,-12.5423
8.8,-13.7671,-1.52282,-1.52282,-13.1096
8.9,-14.0837,-1.53813,-1.53813,-13.8452
9,-14.2153,-1.61317,-1.61317,-14.9942
9.1,-13.7817,-1.86509,-1.86509,-17.5523
9.2,-12.7808,-2.32598,-2.32598,-21.0539
9.3,-13.4361,-1.99455,-1.99455,-15.7258
9.4,-14.6119,-1.64095,-1.64095,-14.4077
9.5,-15.3134,-1.50793,-1.50793,-14.2488
9.6,-15.69,-1.45705,-1.45705,-14.3051
9.7,-15.8729,-1.43868,-1.43868,-14.3942
9.8,-15.9296,-1.43551,-1.43551,-14.4726
9.9,-15.8989,-1.44047,-1.44047,-14.5292
10,-15.8069,-1.45047,-1.45047,-14.5617
