freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-21.5401,-0.11919,-0.11919,-21.5034
0.6,-20.2667,-0.143955,-0.143955,-20.2379
0.7,-19.2856,-0.168075,-0.168075,-19.2649
0.8,-18.5322,-0.191121,-0.191121,-18.5215
0.9,-17.9661,-0.21265,-0.21265,-17.967
1,-17.5607,-0.232252,-0.232252,-17.5744
1.1,-17.2988,-0.249606,-0.249606,-17.3257
1.2,-17.1691,-0.264512,-0.264512,-17.209
1.3,-17.1649,-0.276917,-0.276917,-17.217
1.4,-17.2831,-0.286923,-0.286923,-17.3463
1.5,-17.5237,-0.294773,-0.294773,-17.5961
1.6,-17.8899,-0.300838,-0.300838,-17.9687
1.7,-18.3871,-0.305589,-0.305589,-18.4679
1.8,-19.0238,-0.309561,-0.309561,-19.0991
1.9,-19.81,-0.313324,-0.313324,-19.8667
2,-20.7557,-0.317443,-0.317443,-20.7711
2.1,-21.8653,-0.322443,-0.322443,-21.7991
2.2,-23.122,-0.328781,-0.328781,-22.9058
2.3,-24.4516,-0.336819,-0.336819,-23.9813
2.4,-25.6543,-0.346807,-0.346807,-24.8188
2.5,-26.3658,-0.35887,-0.35887,-25.1584
2.6,-26.261,-0.373009,-0.373009,-24.873
2.7,-25.4193,-0.389106,-0.389106,-24.0977
2.8,-24.222,-0.406936,-0.406936,-23.0911
2.9,-22.9806,-0.426189,-0.426189,-22.0538
3,-21.8412,-0.44649,-0.44649,-21.0902
3.1,-20.8502,-0.467429,-0.467429,-20.2414
3.2,-20.0123,-0.488584,-0.488584,-19.5179
3.3,-19.3179,-0.509546,-0.509546,-18.917
3.4,-18.7539,-0.529944,-0.529944,-18.4315
3.5,-18.3074,-0.549463,-0.549463,-18.0535
3.6,-17.9672,-0.567854,-0.567854,-17.7752
3.7,-17.7239,-0.584947,-0.584947,-17.5898
3.8,-17.5694,-0.600652,-0.600652,-17.4914
3.9,-17.4972,-0.614956,-0.614956,-17.4751
4,-17.5019,-0.627919,-0.627919,-17.5367
4.1,-17.5787,-0.639664,-0.639664,-17.6727
4.2,-17.7239,-0.65036,-0.65036,-17.8804
4.3,-17.934,-0.660211,-0.660211,-18.1573
4.4,-18.2062,-0.669439,-0.669439,-18.5018
4.5,-18.538,-0.67827,-0.67827,-18.9126
4.6,-18.9274,-0.686921,-0.686921,-19.3889
4.7,-19.3729,-0.695589,-0.695589,-19.9306
4.8,-19.8731,-0.704445,-0.704445,-20.5378
4.9,-20.4278,-0.713629,-0.713629,-21.2116
5,-21.0373,-0.723251,-0.723251,-21.9534
5.1,-21.703,-0.733392,-0.733392,-22.7654
5.2,-22.4276,-0.744109,-0.744109,-23.6498
5.3,-23.2147,-0.755438,-0.755438,-24.6089
5.4,-24.0692,-0.767406,-0.767406,-25.6429
5.5,-24.9954,-0.780033,-0.780033,-26.747
5.6,-25.9941,-0.793337,-0.793337,-27.9043
5.7,-27.0558,-0.80734,-0.80734,-29.0718
5.8,-28.1456,-0.822069,-0.822069,-30.1592
5.9,-29.1773,-0.837557,-0.837557,-31.0108
6,-29.9843,-0.853842,-0.853842,-31.4338
6.1,-30.3397,-0.870963,-0.870963,-31.3106
6.2,-30.0909,-0.888962,-0.888962,-30.6998
6.3,-29.3028,-0.907875,-0.907875,-29.7842
6.4,-28.1963,-0.927729,-0.927729,-28.7416
6.5,-26.9795,-0.948543,-0.948543,-27.6862
6.6,-25.7775,-0.970319,-0.970319,-26.6753
6.7,-24.6482,-0.993044,-0.993044,-25.7326
6.8,-23.6126,-1.01669,-1.01669,-24.8649
6.9,-22.6741,-1.0412,-1.0412,-24.0708
7,-21.8288,-1.06652,-1.06652,-23.3461
7.1,-21.0703,-1.09257,-1.09257,-22.6853
7.2,-20.3918,-1.11925,-1.11925,-22.0825
7.3,-19.7864,-1.14645,-1.14645,-21.5322
7.4,-19.2481,-1.17408,-1.17408,-21.0291
7.5,-18.7714,-1.202,-1.202,-20.5684
7.6,-18.3517,-1.2301,-1.2301,-20.1457
7.7,-17.9847,-1.25827,-1.25827,-19.7569
7.8,-17.6668,-1.28641,-1.28641,-19.3987
7.9,-17.3947,-1.31442,-1.31442,-19.068
8,-17.1656,-1.34221,-1.34221,-18.7627
8.1,-16.9769,-1.36971,-1.36971,-18.4809
8.2,-16.8261,-1.3969,-1.3969,-18.2213
8.3,-16.7109,-1.42373,-1.42373,-17.983
8.4,-16.6287,-1.45022,-1.45022,-17.7653
8.5,-16.5766,-1.4764,-1.4764,-17.5675
8.6,-16.5512,-1.50235,-1.50235,-17.3885
8.7,-16.548,-1.52818,-1.52818,-17.2265
8.8,-16.5616,-1.55405,-1.55405,-17.0788
8.9,-16.5849,-1.58013,-1.58013,-16.9411
9,-16.6088,-1.60669,-1.60669,-16.8076
9.1,-16.6225,-1.63402,-1.63402,-16.6709
9.2,-16.6132,-1.66243,-1.66243,-16.522
9.3,-16.5674,-1.69232,-1.69232,-16.3513
9.4,-16.4719,-1.72408,-1.72408,-16.1489
9.5,-16.3155,-1.75813,-1.75813,-15.9063
9.6,-16.0915,-1.79492,-1.79492,-15.6171
9.7,-15.7989,-1.83485,-1.83485,-15.2783
9.8,-15.4426,-1.87827,-1.87827,-14.8903
9.9,-15.0328,-1.92547,-1.92547,-14.4567
10,-14.5831,-1.97661,-1.97661,-13.9839
