freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.665,-0.111303,-0.111303,-22.614
0.6,-21.3669,-0.133492,-0.133492,-21.3184
0.7,-20.3557,-0.155142,-0.155142,-20.3165
0.8,-19.5664,-0.175994,-0.175994,-19.5418
0.9,-18.9581,-0.195752,-0.195752,-18.9511
1,-18.5035,-0.214121,-0.214121,-18.5153
1.1,-18.184,-0.230856,-0.230856,-18.214
1.2,-17.9866,-0.24579,-0.24579,-18.0327
1.3,-17.9024,-0.258859,-0.258859,-17.9616
1.4,-17.925,-0.27011,-0.27011,-17.9937
1.5,-18.0504,-0.279694,-0.279694,-18.1237
1.6,-18.2756,-0.287857,-0.287857,-18.3473
1.7,-18.5982,-0.29492,-0.29492,-18.6595
1.8,-19.0147,-0.301265,-0.301265,-19.0532
1.9,-19.5189,-0.307305,-0.307305,-19.5165
2,-20.0985,-0.313465,-0.313465,-20.0292
2.1,-20.7297,-0.320159,-0.320159,-20.5582
2.2,-21.3698,-0.32777,-0.32777,-21.0525
2.3,-21.9497,-0.336631,-0.336631,-21.4434
2.4,-22.374,-0.347014,-0.347014,-21.6552
2.5,-22.5429,-0.359116,-0.359116,-21.6299
2.6,-22.3964,-0.373059,-0.373059,-21.3547
2.7,-21.9508,-0.388881,-0.388881,-20.8676
2.8,-21.2867,-0.406544,-0.406544,-20.2372
2.9,-20.5038,-0.425934,-0.425934,-19.5338
3,-19.6841,-0.446876,-0.446876,-18.8129
3.1,-18.8816,-0.469135,-0.469135,-18.1113
3.2,-18.1266,-0.492437,-0.492437,-17.4506
3.3,-17.4338,-0.516474,-0.516474,-16.8421
3.4,-16.8088,-0.540919,-0.540919,-16.2907
3.5,-16.2522,-0.565438,-0.565438,-15.7976
3.6,-15.7623,-0.589699,-0.589699,-15.3621
3.7,-15.3362,-0.613386,-0.613386,-14.9824
3.8,-14.9708,-0.636203,-0.636203,-14.6564
3.9,-14.6633,-0.657883,-0.657883,-14.3817
4,-14.411,-0.678196,-0.678196,-14.1561
4.1,-14.2118,-0.696953,-0.696953,-13.9777
4.2,-14.0638,-0.71401,-0.71401,-13.8445
4.3,-13.9659,-0.729274,-0.729274,-13.7546
4.4,-13.917,-0.742705,-0.742705,-13.7064
4.5,-13.9165,-0.754319,-0.754319,-13.6983
4.6,-13.964,-0.764192,-0.764192,-13.7284
4.7,-14.0589,-0.772459,-0.772459,-13.7946
4.8,-14.2008,-0.779319,-0.779319,-13.8946
4.9,-14.3883,-0.78503,-0.78503,-14.0248
5,-14.6194,-0.789906,-0.789906,-14.1809
5.1,-14.8901,-0.794317,-0.794317,-14.3568
5.2,-15.1943,-0.798674,-0.798674,-14.5443
5.3,-15.5219,-0.80342,-0.80342,-14.7326
5.4,-15.8582,-0.809015,-0.809015,-14.9088
5.5,-16.1827,-0.815912,-0.815912,-15.0573
5.6,-16.4693,-0.824542,-0.824542,-15.1622
5.7,-16.6877,-0.835285,-0.835285,-15.2084
5.8,-16.8087,-0.848451,-0.848451,-15.1851
5.9,-16.8105,-0.864253,-0.864253,-15.0876
6,-16.6857,-0.882801,-0.882801,-14.9185
6.1,-16.4434,-0.904083,-0.904083,-14.6879
6.2,-16.1068,-0.927968,-0.927968,-14.4105
6.3,-15.7068,-0.954216,-0.954216,-14.1034
6.4,-15.2751,-0.982494,-0.982494,-13.784
6.5,-14.8395,-1.01241,-1.01241,-13.4678
6.6,-14.4223,-1.04356,-1.04356,-13.1682
6.7,-14.0401,-1.07558,-1.07558,-12.8963
6.8,-13.7049,-1.10823,-1.10823,-12.6612
6.9,-13.4257,-1.14155,-1.14155,-12.4712
7,-13.2091,-1.17606,-1.17606,-12.3341
7.1,-13.0609,-1.21316,-1.21316,-12.2588
7.2,-12.9852,-1.256,-1.256,-12.2577
7.3,-12.9828,-1.3113,-1.3113,-12.3505
7.4,-13.0378,-1.39381,-1.39381,-12.5732
7.5,-13.0677,-1.53788,-1.53788,-12.9972
7.6,-12.7624,-1.82719,-1.82719,-13.7564
7.7,-11.4962,-2.44222,-2.44222,-14.9534
7.8,-9.67534,-3.44382,-3.44382,-15.9137
7.9,-10.1475,-3.77472,-3.77472,-15.9107
8,-13.9838,-2.7373,-2.7373,-15.1148
8.1,-15.9942,-2.03803,-2.03803,-14.6157
8.2,-16.2817,-1.68958,-1.68958,-14.6896
8.3,-16.4868,-1.48984,-1.48984,-15.0336
8.4,-16.8768,-1.38531,-1.38531,-15.5476
8.5,-17.4486,-1.34652,-1.34652,-16.2056
8.6,-18.1913,-1.32728,-1.32728,-17.0199
8.7,-19.1133,-1.309,-1.309,-18.0399
8.8,-20.2263,-1.29888,-1.29888,-19.378
8.9,-21.4239,-1.31658,-1.31658,-21.2805
9,-22.0522,-1.39882,-1.39882,-24.2495
9.1,-21.2925,-1.5933,-1.5933,-27.525
9.2,-20.3209,-1.84457,-1.84457,-23.5959
9.3,-20.0809,-1.91082,-1.91082,-19.4652
9.4,-20.3099,-1.77834,-1.77834,-18.058
9.5,-20.7363,-1.61684,-1.61684,-18.0046
9.6,-21.2689,-1.49138,-1.49138,-18.4419
9.7,-21.883,-1.40486,-1.40486,-19.0902
9.8,-22.5535,-1.35025,-1.35025,-19.9336
9.9,-23.2372,-1.32248,-1.32248,-21.0478
10,-23.8798,-1.31923,-1.31923,-22.4876
