freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.9821,-0.109247,-0.109247,-22.9454
0.6,-21.6768,-0.131019,-0.131019,-21.6506
0.7,-20.6572,-0.15232,-0.15232,-20.6434
0.8,-19.8588,-0.172856,-0.172856,-19.8584
0.9,-19.2405,-0.192365,-0.192365,-19.254
1,-18.7751,-0.210605,-0.210605,-18.8028
1.1,-18.4442,-0.227371,-0.227371,-18.4858
1.2,-18.2347,-0.242515,-0.242515,-18.2896
1.3,-18.1376,-0.25597,-0.25597,-18.2048
1.4,-18.1467,-0.267762,-0.267762,-18.2242
1.5,-18.2576,-0.278011,-0.278011,-18.3422
1.6,-18.4667,-0.28693,-0.28693,-18.5538
1.7,-18.7704,-0.294815,-0.294815,-18.8526
1.8,-19.1637,-0.302027,-0.302027,-19.2296
1.9,-19.637,-0.308973,-0.308973,-19.67
2,-20.1729,-0.316087,-0.316087,-20.1489
2.1,-20.74,-0.323802,-0.323802,-20.6269
2.2,-21.2862,-0.33253,-0.33253,-21.046
2.3,-21.7344,-0.342641,-0.342641,-21.333
2.4,-21.9919,-0.354439,-0.354439,-21.4158
2.5,-21.9802,-0.368152,-0.368152,-21.2518
2.6,-21.6751,-0.38392,-0.38392,-20.8494
2.7,-21.1211,-0.401784,-0.401784,-20.2626
2.8,-20.4041,-0.421692,-0.421692,-19.5646
2.9,-19.6116,-0.443499,-0.443499,-18.8218
3,-18.8099,-0.466975,-0.466975,-18.0831
3.1,-18.0408,-0.49182,-0.49182,-17.3792
3.2,-17.3273,-0.517675,-0.517675,-16.7276
3.3,-16.6803,-0.544144,-0.544144,-16.1366
3.4,-16.1036,-0.570806,-0.570806,-15.6095
3.5,-15.5972,-0.59724,-0.59724,-15.1462
3.6,-15.1591,-0.623034,-0.623034,-14.7451
3.7,-14.7864,-0.647807,-0.647807,-14.4039
3.8,-14.4761,-0.67122,-0.67122,-14.12
3.9,-14.2252,-0.692988,-0.692988,-13.8904
4,-14.0308,-0.712888,-0.712888,-13.7127
4.1,-13.8904,-0.730768,-0.730768,-13.5841
4.2,-13.8016,-0.74655,-0.74655,-13.5023
4.3,-13.7624,-0.760231,-0.760231,-13.4647
4.4,-13.7707,-0.771885,-0.771885,-13.469
4.5,-13.8245,-0.781656,-0.781656,-13.5125
4.6,-13.9217,-0.78976,-0.78976,-13.5922
4.7,-14.0598,-0.796472,-0.796472,-13.7044
4.8,-14.2355,-0.802122,-0.802122,-13.8447
4.9,-14.4445,-0.807083,-0.807083,-14.0075
5,-14.6811,-0.811758,-0.811758,-14.1858
5.1,-14.9376,-0.816574,-0.816574,-14.3708
5.2,-15.2034,-0.821958,-0.821958,-14.5517
5.3,-15.4653,-0.828334,-0.828334,-14.7163
5.4,-15.7069,-0.836099,-0.836099,-14.8509
5.5,-15.9096,-0.845615,-0.845615,-14.942
5.6,-16.0542,-0.857192,-0.857192,-14.9779
5.7,-16.1234,-0.871075,-0.871075,-14.95
5.8,-16.1056,-0.887438,-0.887438,-14.8549
5.9,-15.9971,-0.906371,-0.906371,-14.6948
6,-15.8031,-0.927876,-0.927876,-14.4771
6.1,-15.5364,-0.951866,-0.951866,-14.2131
6.2,-15.2148,-0.978163,-0.978163,-13.9159
6.3,-14.8574,-1.00651,-1.00651,-13.599
6.4,-14.4824,-1.03656,-1.03656,-13.2748
6.5,-14.1055,-1.06792,-1.06792,-12.954
6.6,-13.739,-1.10013,-1.10013,-12.6455
6.7,-13.3924,-1.13271,-1.13271,-12.3558
6.8,-13.0724,-1.16514,-1.16514,-12.0902
6.9,-12.7839,-1.19691,-1.19691,-11.8524
7,-12.5299,-1.22753,-1.22753,-11.6448
7.1,-12.3125,-1.25655,-1.25655,-11.4694
7.2,-12.1328,-1.28356,-1.28356,-11.3271
7.3,-11.9916,-1.30822,-1.30822,-11.2186
7.4,-11.889,-1.33026,-1.33026,-11.1442
7.5,-11.8249,-1.34951,-1.34951,-11.1037
7.6,-11.7993,-1.36588,-1.36588,-11.0969
7.7,-11.8117,-1.37941,-1.37941,-11.1234
7.8,-11.8615,-1.39019,-1.39019,-11.1822
7.9,-11.9479,-1.39845,-1.39845,-11.2722
8,-12.0696,-1.4045,-1.4045,-11.3918
8.1,-12.225,-1.40872,-1.40872,-11.5388
8.2,-12.4117,-1.41157,-1.41157,-11.7105
8.3,-12.6265,-1.41357,-1.41357,-11.9028
8.4,-12.865,-1.41528,-1.41528,-12.111
8.5,-13.1212,-1.41728,-1.41728,-12.329
8.6,-13.3875,-1.42013,-1.42013,-12.5493
8.7,-13.6544,-1.42439,-1.42439,-12.7634
8.8,-13.9108,-1.43055,-1.43055,-12.9621
8.9,-14.1442,-1.43906,-1.43906,-13.136
9,-14.3418,-1.45024,-1.45024,-13.2764
9.1,-14.4918,-1.46436,-1.46436,-13.3765
9.2,-14.5853,-1.48154,-1.48154,-13.4324
9.3,-14.6175,-1.50181,-1.50181,-13.4435
9.4,-14.589,-1.52508,-1.52508,-13.4126
9.5,-14.5048,-1.55116,-1.55116,-13.3457
9.6,-14.3743,-1.57978,-1.57978,-13.2509
9.7,-14.209,-1.61058,-1.61058,-13.1375
9.8,-14.021,-1.64318,-1.64318,-13.015
9.9,-13.8218,-1.67719,-1.67719,-12.8924
10,-13.6216,-1.71221,-1.71221,-12.7778
