freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-21.6088,-0.11948,-0.11948,-21.5609
0.6,-20.2903,-0.14434,-0.14434,-20.2483
0.7,-19.2547,-0.169062,-0.169062,-19.2203
0.8,-18.437,-0.193196,-0.193196,-18.4107
0.9,-17.7957,-0.216262,-0.216262,-17.7776
1,-17.3032,-0.237825,-0.237825,-17.2926
1.1,-16.9401,-0.257533,-0.257533,-16.936
1.2,-16.6926,-0.275149,-0.275149,-16.6934
1.3,-16.5504,-0.290558,-0.290558,-16.5538
1.4,-16.5057,-0.30378,-0.30378,-16.5085
1.5,-16.552,-0.314961,-0.314961,-16.5494
1.6,-16.6829,-0.324379,-0.324379,-16.6682
1.7,-16.891,-0.332419,-0.332419,-16.8548
1.8,-17.1661,-0.33957,-0.33957,-17.0955
1.9,-17.4928,-0.346394,-0.346394,-17.3708
2,-17.8476,-0.353504,-0.353504,-17.653
2.1,-18.1955,-0.361534,-0.361534,-17.9047
2.2,-18.4889,-0.371108,-0.371108,-18.0805
2.3,-18.6709,-0.382805,-0.382805,-18.1334
2.4,-18.6879,-0.397131,-0.397131,-18.0272
2.5,-18.5071,-0.414486,-0.414486,-17.7496
2.6,-18.1315,-0.435144,-0.435144,-17.3164
2.7,-17.5974,-0.459233,-0.459233,-16.765
2.8,-16.959,-0.486728,-0.486728,-16.1411
2.9,-16.27,-0.517445,-0.517445,-15.4868
3,-15.5737,-0.551056,-0.551056,-14.8351
3.1,-14.9,-0.587097,-0.587097,-14.2088
3.2,-14.2677,-0.624993,-0.624993,-13.6224
3.3,-13.6872,-0.664089,-0.664089,-13.0843
3.4,-13.1638,-0.703673,-0.703673,-12.5984
3.5,-12.6991,-0.743012,-0.743012,-12.1662
3.6,-12.2928,-0.781385,-0.781385,-11.7872
3.7,-11.9435,-0.818111,-0.818111,-11.4602
3.8,-11.6494,-0.852576,-0.852576,-11.1832
3.9,-11.4082,-0.884257,-0.884257,-10.9542
4,-11.2177,-0.912743,-0.912743,-10.7708
4.1,-11.0756,-0.93775,-0.93775,-10.6306
4.2,-10.9796,-0.959127,-0.959127,-10.5311
4.3,-10.9275,-0.976871,-0.976871,-10.4696
4.4,-10.9169,-0.99112,-0.99112,-10.4433
4.5,-10.9452,-1.00215,-1.00215,-10.4489
4.6,-11.0092,-1.01039,-1.01039,-10.4827
4.7,-11.1053,-1.01635,-1.01635,-10.5402
4.8,-11.2286,-1.02069,-1.02069,-10.6161
4.9,-11.3733,-1.02411,-1.02411,-10.7041
5,-11.5318,-1.02739,-1.02739,-10.7969
5.1,-11.6951,-1.03132,-1.03132,-10.8861
5.2,-11.8524,-1.03669,-1.03669,-10.963
5.3,-11.9916,-1.04422,-1.04422,-11.0184
5.4,-12.1003,-1.0546,-1.0546,-11.0439
5.5,-12.1668,-1.06835,-1.06835,-11.033
5.6,-12.182,-1.08589,-1.08589,-10.9814
5.7,-12.1405,-1.10746,-1.10746,-10.8879
5.8,-12.0418,-1.13315,-1.13315,-10.7549
5.9,-11.8906,-1.16283,-1.16283,-10.5872
6,-11.6951,-1.19623,-1.19623,-10.3922
6.1,-11.4666,-1.2329,-1.2329,-10.1781
6.2,-11.2169,-1.27224,-1.27224,-9.95352
6.3,-10.9576,-1.31357,-1.31357,-9.72648
6.4,-10.6991,-1.35609,-1.35609,-9.50414
6.5,-10.4498,-1.39898,-1.39898,-9.29247
6.6,-10.2166,-1.44139,-1.44139,-9.0962
6.7,-10.0045,-1.48251,-1.48251,-8.91898
6.8,-9.81733,-1.52156,-1.52156,-8.76343
6.9,-9.65752,-1.55787,-1.55787,-8.63139
7,-9.52676,-1.59085,-1.59085,-8.52397
7.1,-9.42602,-1.62003,-1.62003,-8.44177
7.2,-9.35572,-1.64511,-1.64511,-8.38494
7.3,-9.31586,-1.6659,-1.6659,-8.35323
7.4,-9.30609,-1.68238,-1.68238,-8.34605
7.5,-9.32571,-1.69469,-1.69469,-8.36246
7.6,-9.37362,-1.70311,-1.70311,-8.40115
7.7,-9.44831,-1.70806,-1.70806,-8.4604
7.8,-9.54774,-1.71011,-1.71011,-8.53798
7.9,-9.66919,-1.70993,-1.70993,-8.63114
8,-9.80915,-1.70827,-1.70827,-8.73647
8.1,-9.96318,-1.70598,-1.70598,-8.84992
8.2,-10.1258,-1.70391,-1.70391,-8.96677
8.3,-10.2904,-1.70293,-1.70293,-9.08177
8.4,-10.4497,-1.70388,-1.70388,-9.18926
8.5,-10.5953,-1.70752,-1.70752,-9.28359
8.6,-10.7193,-1.71451,-1.71451,-9.35945
8.7,-10.8139,-1.72539,-1.72539,-9.41241
8.8,-10.8733,-1.74052,-1.74052,-9.43938
8.9,-10.8937,-1.76009,-1.76009,-9.43894
9,-10.8741,-1.78412,-1.78412,-9.4116
9.1,-10.8166,-1.81244,-1.81244,-9.35964
9.2,-10.7259,-1.84468,-1.84468,-9.2869
9.3,-10.6085,-1.88036,-1.88036,-9.19833
9.4,-10.4722,-1.91882,-1.91882,-9.09948
9.5,-10.3247,-1.95934,-1.95934,-8.99604
9.6,-10.1737,-2.00112,-2.00112,-8.89346
9.7,-10.0259,-2.0433,-2.0433,-8.7967
9.8,-9.88698,-2.08505,-2.08505,-8.71
9.9,-9.76168,-2.12555,-2.12555,-8.6369
10,-9.65368,-2.16402,-2.16402,-8.58016
