freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.2232,-0.11408,-0.11408,-22.1869
0.6,-20.9267,-0.137441,-0.137441,-20.8981
0.7,-19.918,-0.160236,-0.160236,-19.8982
0.8,-19.1327,-0.182109,-0.182109,-19.1224
0.9,-18.5301,-0.202732,-0.202732,-18.5296
1,-18.0833,-0.221799,-0.221799,-18.0929
1.1,-17.7743,-0.239049,-0.239049,-17.7937
1.2,-17.5908,-0.254303,-0.254303,-17.6195
1.3,-17.5248,-0.267479,-0.267479,-17.5615
1.4,-17.5711,-0.278614,-0.278614,-17.6139
1.5,-17.7271,-0.287865,-0.287865,-17.773
1.6,-17.9913,-0.295503,-0.295503,-18.0354
1.7,-18.3628,-0.301904,-0.301904,-18.3977
1.8,-18.8392,-0.307522,-0.307522,-18.8535
1.9,-19.414,-0.312875,-0.312875,-19.3901
2,-20.0713,-0.318506,-0.318506,-19.9827
2.1,-20.7764,-0.324963,-0.324963,-20.5859
2.2,-21.4628,-0.332762,-0.332762,-21.1254
2.3,-22.0222,-0.342362,-0.342362,-21.4985
2.4,-22.3161,-0.354142,-0.354142,-21.5995
2.5,-22.2335,-0.368375,-0.368375,-21.3707
2.6,-21.7646,-0.38522,-0.38522,-20.8392
2.7,-21.0079,-0.404708,-0.404708,-20.0977
2.8,-20.1005,-0.426748,-0.426748,-19.2524
2.9,-19.1549,-0.451126,-0.451126,-18.3867
3,-18.2409,-0.477522,-0.477522,-17.5528
3.1,-17.3944,-0.505524,-0.505524,-16.7791
3.2,-16.6305,-0.534652,-0.534652,-16.0784
3.3,-15.9533,-0.564376,-0.564376,-15.4548
3.4,-15.3614,-0.594146,-0.594146,-14.908
3.5,-14.8512,-0.62341,-0.62341,-14.4354
3.6,-14.4181,-0.651643,-0.651643,-14.0334
3.7,-14.0575,-0.67836,-0.67836,-13.6983
3.8,-13.7652,-0.703141,-0.703141,-13.4264
3.9,-13.5375,-0.725639,-0.725639,-13.2143
4,-13.3712,-0.745596,-0.745596,-13.059
4.1,-13.2635,-0.762847,-0.762847,-12.9577
4.2,-13.2121,-0.777329,-0.777329,-12.9078
4.3,-13.2152,-0.789078,-0.789078,-12.9072
4.4,-13.271,-0.79823,-0.79823,-12.9533
4.5,-13.3779,-0.805015,-0.805015,-13.0439
4.6,-13.5342,-0.80975,-0.80975,-13.1761
4.7,-13.7376,-0.812828,-0.812828,-13.3463
4.8,-13.9852,-0.814705,-0.814705,-13.5501
4.9,-14.2726,-0.815884,-0.815884,-13.7813
5,-14.5935,-0.816901,-0.816901,-14.0319
5.1,-14.9385,-0.818299,-0.818299,-14.2911
5.2,-15.2947,-0.820615,-0.820615,-14.5456
5.3,-15.6444,-0.824354,-0.824354,-14.7791
5.4,-15.9653,-0.829972,-0.829972,-14.9736
5.5,-16.2318,-0.837858,-0.837858,-15.1112
5.6,-16.4174,-0.848314,-0.848314,-15.1765
5.7,-16.5006,-0.861544,-0.861544,-15.1599
5.8,-16.4694,-0.877646,-0.877646,-15.0596
5.9,-16.3253,-0.896605,-0.896605,-14.8821
6,-16.0826,-0.918294,-0.918294,-14.6403
6.1,-15.7644,-0.94248,-0.94248,-14.3513
6.2,-15.397,-0.96883,-0.96883,-14.0332
6.3,-15.0054,-0.996929,-0.996929,-13.7027
6.4,-14.6108,-1.02629,-1.02629,-13.3742
6.5,-14.2295,-1.05639,-1.05639,-13.0591
6.6,-13.8731,-1.08667,-1.08667,-12.7659
6.7,-13.5498,-1.11655,-1.11655,-12.5009
6.8,-13.2649,-1.1455,-1.1455,-12.2685
6.9,-13.0216,-1.17301,-1.17301,-12.0715
7,-12.8219,-1.19862,-1.19862,-11.9117
7.1,-12.6666,-1.22196,-1.22196,-11.7902
7.2,-12.5561,-1.24274,-1.24274,-11.7074
7.3,-12.4903,-1.26077,-1.26077,-11.6632
7.4,-12.4688,-1.27596,-1.27596,-11.6572
7.5,-12.4909,-1.28836,-1.28836,-11.6887
7.6,-12.5557,-1.2981,-1.2981,-11.7565
7.7,-12.6618,-1.30543,-1.30543,-11.8589
7.8,-12.8074,-1.31069,-1.31069,-11.9937
7.9,-12.9897,-1.31432,-1.31432,-12.1578
8,-13.2052,-1.31682,-1.31682,-12.347
8.1,-13.4486,-1.31875,-1.31875,-12.5559
8.2,-13.713,-1.32068,-1.32068,-12.7778
8.3,-13.9893,-1.3232,-1.3232,-13.004
8.4,-14.2662,-1.32687,-1.32687,-13.2246
8.5,-14.5299,-1.33223,-1.33223,-13.4286
8.6,-14.7652,-1.33971,-1.33971,-13.6045
8.7,-14.9566,-1.3497,-1.3497,-13.7419
8.8,-15.0905,-1.36244,-1.36244,-13.8326
8.9,-15.1576,-1.37809,-1.37809,-13.8721
9,-15.1544,-1.39664,-1.39664,-13.8604
9.1,-15.0844,-1.41801,-1.41801,-13.8017
9.2,-14.9568,-1.44197,-1.44197,-13.7041
9.3,-14.7851,-1.46818,-1.46818,-13.578
9.4,-14.5845,-1.49624,-1.49624,-13.4346
9.5,-14.3698,-1.52568,-1.52568,-13.2853
9.6,-14.1542,-1.55601,-1.55601,-13.1405
9.7,-13.949,-1.58673,-1.58673,-13.0094
9.8,-13.7626,-1.61738,-1.61738,-12.8996
9.9,-13.6017,-1.64759,-1.64759,-12.8178
10,-13.471,-1.67709,-1.67709,-12.7693
