freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.032,-0.115021,-0.115021,-22.0014
0.6,-20.7374,-0.138683,-0.138683,-20.7127
0.7,-19.731,-0.161795,-0.161795,-19.7132
0.8,-18.9489,-0.184008,-0.184008,-18.9382
0.9,-18.3503,-0.204958,-0.204958,-18.3471
1,-17.9087,-0.224287,-0.224287,-17.913
1.1,-17.6062,-0.241692,-0.241692,-17.6179
1.2,-17.431,-0.256953,-0.256953,-17.4499
1.3,-17.376,-0.269964,-0.269964,-17.4015
1.4,-17.4375,-0.280741,-0.280741,-17.4685
1.5,-17.6151,-0.289431,-0.289431,-17.6497
1.6,-17.9109,-0.296294,-0.296294,-17.9464
1.7,-18.3296,-0.301694,-0.301694,-18.3617
1.8,-18.8787,-0.306078,-0.306078,-18.9002
1.9,-19.5671,-0.309946,-0.309946,-19.5666
2,-20.4042,-0.313827,-0.313827,-20.3627
2.1,-21.3955,-0.31825,-0.31825,-21.281
2.2,-22.5301,-0.323715,-0.323715,-22.2898
2.3,-23.7523,-0.330666,-0.330666,-23.3063
2.4,-24.904,-0.339472,-0.339472,-24.1602
2.5,-25.6702,-0.350409,-0.350409,-24.6003
2.6,-25.6967,-0.363645,-0.363645,-24.4328
2.7,-24.9415,-0.379237,-0.379237,-23.7034
2.8,-23.7263,-0.397129,-0.397129,-22.6484
2.9,-22.3896,-0.417162,-0.417162,-21.4962
3,-21.1146,-0.43908,-0.43908,-20.3814
3.1,-19.9688,-0.462546,-0.462546,-19.3627
3.2,-18.9662,-0.487163,-0.487163,-18.4585
3.3,-18.1008,-0.512492,-0.512492,-17.6695
3.4,-17.3607,-0.538072,-0.538072,-16.9892
3.5,-16.7333,-0.563439,-0.563439,-16.4093
3.6,-16.2074,-0.588148,-0.588148,-15.9215
3.7,-15.7734,-0.611788,-0.611788,-15.5183
3.8,-15.4233,-0.633993,-0.633993,-15.1931
3.9,-15.1507,-0.654462,-0.654462,-14.9406
4,-14.9505,-0.672956,-0.672956,-14.7562
4.1,-14.8189,-0.689316,-0.689316,-14.6364
4.2,-14.7529,-0.703458,-0.703458,-14.5783
4.3,-14.7505,-0.715376,-0.715376,-14.5797
4.4,-14.8106,-0.725144,-0.725144,-14.6392
4.5,-14.9326,-0.732906,-0.732906,-14.7555
4.6,-15.1167,-0.738879,-0.738879,-14.9277
4.7,-15.3632,-0.743339,-0.743339,-15.1548
4.8,-15.6729,-0.746617,-0.746617,-15.4356
4.9,-16.046,-0.749088,-0.749088,-15.7679
5,-16.4821,-0.751163,-0.751163,-16.1475
5.1,-16.9786,-0.753273,-0.753273,-16.5675
5.2,-17.5292,-0.755864,-0.755864,-17.016
5.3,-18.1207,-0.759377,-0.759377,-17.4745
5.4,-18.7291,-0.764241,-0.764241,-17.9153
5.5,-19.3144,-0.770857,-0.770857,-18.3005
5.6,-19.8175,-0.779582,-0.779582,-18.5853
5.7,-20.1646,-0.790722,-0.790722,-18.7253
5.8,-20.2859,-0.804513,-0.804513,-18.6897
5.9,-20.1448,-0.821114,-0.821114,-18.4734
6,-19.7576,-0.840598,-0.840598,-18.0987
6.1,-19.1849,-0.862942,-0.862942,-17.6065
6.2,-18.5021,-0.888029,-0.888029,-17.0432
6.3,-17.7758,-0.915643,-0.915643,-16.4498
6.4,-17.0535,-0.945478,-0.945478,-15.8577
6.5,-16.3651,-0.977147,-0.977147,-15.2887
6.6,-15.7275,-1.01019,-1.01019,-14.7567
6.7,-15.1487,-1.0441,-1.0441,-14.2698
6.8,-14.6322,-1.07832,-1.07832,-13.8324
6.9,-14.1783,-1.11231,-1.11231,-13.4464
7,-13.786,-1.1455,-1.1455,-13.1124
7.1,-13.4533,-1.17737,-1.17737,-12.8299
7.2,-13.1783,-1.20744,-1.20744,-12.5981
7.3,-12.9588,-1.2353,-1.2353,-12.4159
7.4,-12.7929,-1.2606,-1.2606,-12.2822
7.5,-12.6789,-1.28311,-1.28311,-12.1958
7.6,-12.6153,-1.30267,-1.30267,-12.1557
7.7,-12.6008,-1.31924,-1.31924,-12.1607
7.8,-12.6341,-1.33288,-1.33288,-12.2098
7.9,-12.7141,-1.34375,-1.34375,-12.3019
8,-12.8397,-1.35212,-1.35212,-12.4358
8.1,-13.0094,-1.35834,-1.35834,-12.6098
8.2,-13.2216,-1.36283,-1.36283,-12.8218
8.3,-13.4736,-1.3661,-1.3661,-13.0691
8.4,-13.7621,-1.36869,-1.36869,-13.3477
8.5,-14.0819,-1.37117,-1.37117,-13.6521
8.6,-14.4262,-1.37412,-1.37412,-13.9751
8.7,-14.7855,-1.37812,-1.37812,-14.3071
8.8,-15.1474,-1.38369,-1.38369,-14.6363
8.9,-15.4965,-1.39132,-1.39132,-14.9488
9,-15.8148,-1.40141,-1.40141,-15.2292
9.1,-16.0833,-1.4143,-1.4143,-15.4624
9.2,-16.284,-1.43019,-1.43019,-15.6356
9.3,-16.4034,-1.44922,-1.44922,-15.7403
9.4,-16.4354,-1.4714,-1.4714,-15.7743
9.5,-16.3822,-1.49665,-1.49665,-15.7417
9.6,-16.2538,-1.52483,-1.52483,-15.652
9.7,-16.0658,-1.55569,-1.55569,-15.5185
9.8,-15.8359,-1.58896,-1.58896,-15.3558
9.9,-15.5816,-1.62435,-1.62435,-15.1783
10,-15.3177,-1.66157,-1.66157,-14.9987
