freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.0419,-0.115129,-0.115129,-22.0055
0.6,-20.7415,-0.138849,-0.138849,-20.7128
0.7,-19.7279,-0.162106,-0.162106,-19.7082
0.8,-18.9366,-0.18448,-0.18448,-18.9265
0.9,-18.3268,-0.205606,-0.205606,-18.3266
1,-17.8714,-0.225157,-0.225157,-17.8811
1.1,-17.552,-0.242861,-0.242861,-17.5711
1.2,-17.356,-0.25853,-0.25853,-17.3835
1.3,-17.2747,-0.27208,-0.27208,-17.3093
1.4,-17.3024,-0.283545,-0.283545,-17.3417
1.5,-17.4354,-0.293081,-0.293081,-17.4758
1.6,-17.6708,-0.300963,-0.300963,-17.7069
1.7,-18.006,-0.307572,-0.307572,-18.0295
1.8,-18.4362,-0.313372,-0.313372,-18.4347
1.9,-18.9519,-0.318893,-0.318893,-18.9072
2,-19.5339,-0.324695,-0.324695,-19.4198
2.1,-20.1456,-0.331345,-0.331345,-19.9276
2.2,-20.724,-0.339382,-0.339382,-20.3633
2.3,-21.1753,-0.349289,-0.349289,-20.6415
2.4,-21.3893,-0.361467,-0.361467,-20.6813
2.5,-21.2841,-0.376214,-0.376214,-20.4428
2.6,-20.8547,-0.393707,-0.393707,-19.9497
2.7,-20.1758,-0.413995,-0.413995,-19.2741
2.8,-19.3552,-0.436995,-0.436995,-18.5013
2.9,-18.4874,-0.462501,-0.462501,-17.7014
3,-17.6358,-0.490189,-0.490189,-16.9221
3.1,-16.8365,-0.519639,-0.519639,-16.1909
3.2,-16.107,-0.550352,-0.550352,-15.5222
3.3,-15.454,-0.58178,-0.58178,-14.9218
3.4,-14.8784,-0.613343,-0.613343,-14.391
3.5,-14.3781,-0.644459,-0.644459,-13.9284
3.6,-13.9499,-0.674566,-0.674566,-13.5315
3.7,-13.5901,-0.703146,-0.703146,-13.1974
3.8,-13.2951,-0.729741,-0.729741,-12.9229
3.9,-13.0617,-0.753969,-0.753969,-12.705
4,-12.8867,-0.775541,-0.775541,-12.5409
4.1,-12.7678,-0.794263,-0.794263,-12.4279
4.2,-12.7025,-0.81005,-0.81005,-12.3636
4.3,-12.6889,-0.822922,-0.822922,-12.3456
4.4,-12.7252,-0.833006,-0.833006,-12.3715
4.5,-12.8095,-0.840534,-0.840534,-12.4386
4.6,-12.9397,-0.845833,-0.845833,-12.5439
4.7,-13.1132,-0.849316,-0.849316,-12.6835
4.8,-13.3265,-0.85147,-0.85147,-12.8527
4.9,-13.5747,-0.852842,-0.852842,-13.0452
5,-13.851,-0.854014,-0.854014,-13.2527
5.1,-14.1456,-0.855591,-0.855591,-13.465
5.2,-14.4458,-0.858174,-0.858174,-13.6693
5.3,-14.7349,-0.862335,-0.862335,-13.851
5.4,-14.9926,-0.8686,-0.8686,-13.9945
5.5,-15.1969,-0.877421,-0.877421,-14.0846
5.6,-15.3263,-0.889159,-0.889159,-14.1093
5.7,-15.3641,-0.904065,-0.904065,-14.0615
5.8,-15.3025,-0.92227,-0.92227,-13.9408
5.9,-15.1442,-0.943777,-0.943777,-13.7534
6,-14.902,-0.968456,-0.968456,-13.511
6.1,-14.5956,-0.996052,-0.996052,-13.2282
6.2,-14.2469,-1.02619,-1.02619,-12.9206
6.3,-13.8772,-1.05841,-1.05841,-12.6026
6.4,-13.5046,-1.09214,-1.09214,-12.287
6.5,-13.1434,-1.12676,-1.12676,-11.9837
6.6,-12.8044,-1.16163,-1.16163,-11.7007
6.7,-12.4948,-1.19607,-1.19607,-11.4436
6.8,-12.22,-1.22944,-1.22944,-11.2166
6.9,-11.983,-1.26111,-1.26111,-11.0225
7,-11.7859,-1.29054,-1.29054,-10.863
7.1,-11.6297,-1.31725,-1.31725,-10.7394
7.2,-11.515,-1.34085,-1.34085,-10.6521
7.3,-11.4419,-1.36108,-1.36108,-10.6015
7.4,-11.4103,-1.37779,-1.37779,-10.5875
7.5,-11.4199,-1.39093,-1.39093,-10.6098
7.6,-11.4703,-1.40062,-1.40062,-10.6677
7.7,-11.5608,-1.40705,-1.40705,-10.7606
7.8,-11.6905,-1.41058,-1.41058,-10.8872
7.9,-11.8581,-1.41163,-1.41163,-11.0457
8,-12.0616,-1.41072,-1.41072,-11.234
8.1,-12.2982,-1.40847,-1.40847,-11.4486
8.2,-12.5642,-1.4055,-1.4055,-11.6853
8.3,-12.8541,-1.40249,-1.40249,-11.9384
8.4,-13.1607,-1.40012,-1.40012,-12.2008
8.5,-13.4749,-1.39901,-1.39901,-12.4638
8.6,-13.7852,-1.39975,-1.39975,-12.7175
8.7,-14.0785,-1.40284,-1.40284,-12.9511
8.8,-14.3405,-1.40869,-1.40869,-13.154
8.9,-14.5575,-1.41757,-1.41757,-13.317
9,-14.7179,-1.42965,-1.42965,-13.4334
9.1,-14.8148,-1.44492,-1.44492,-13.5005
9.2,-14.8467,-1.4633,-1.4633,-13.5195
9.3,-14.8182,-1.48452,-1.48452,-13.4959
9.4,-14.7387,-1.50827,-1.50827,-13.4381
9.5,-14.6208,-1.53411,-1.53411,-13.3565
9.6,-14.4784,-1.56157,-1.56157,-13.262
9.7,-14.3247,-1.59014,-1.59014,-13.1656
9.8,-14.1717,-1.61935,-1.61935,-13.0771
9.9,-14.0289,-1.64875,-1.64875,-13.0049
10,-13.904,-1.67798,-1.67798,-12.9564
