freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-23.2515,-0.107866,-0.107866,-23.2167
0.6,-21.9458,-0.129203,-0.129203,-21.9213
0.7,-20.926,-0.150006,-0.150006,-20.9134
0.8,-20.1275,-0.170047,-0.170047,-20.1279
0.9,-19.5096,-0.189105,-0.189105,-19.5235
1,-19.0451,-0.206959,-0.206959,-19.0729
1.1,-18.7157,-0.223413,-0.223413,-18.7574
1.2,-18.5087,-0.238322,-0.238322,-18.564
1.3,-18.4155,-0.251614,-0.251614,-18.4836
1.4,-18.4305,-0.263305,-0.263305,-18.5099
1.5,-18.5501,-0.2735,-0.2735,-18.6383
1.6,-18.7722,-0.282393,-0.282393,-18.8652
1.7,-19.095,-0.290254,-0.290254,-19.1866
1.8,-19.5162,-0.297418,-0.297418,-19.5965
1.9,-20.0306,-0.304264,-0.304264,-20.0846
2,-20.6263,-0.311193,-0.311193,-20.6312
2.1,-21.2789,-0.318611,-0.318611,-21.2021
2.2,-21.9422,-0.326901,-0.326901,-21.7413
2.3,-22.539,-0.336408,-0.336408,-22.1688
2.4,-22.9605,-0.347418,-0.347418,-22.3921
2.5,-23.094,-0.360145,-0.360145,-22.3399
2.6,-22.8796,-0.374723,-0.374723,-21.9992
2.7,-22.3492,-0.391195,-0.391195,-21.4233
2.8,-21.6041,-0.409516,-0.409516,-20.7
2.9,-20.7568,-0.429555,-0.429555,-19.9136
3,-19.8932,-0.451106,-0.451106,-19.1262
3.1,-19.0656,-0.473892,-0.473892,-18.3761
3.2,-18.3017,-0.497586,-0.497586,-17.6841
3.3,-17.6134,-0.521825,-0.521825,-17.0598
3.4,-17.0043,-0.546222,-0.546222,-16.5064
3.5,-16.4735,-0.57039,-0.57039,-16.0238
3.6,-16.0182,-0.593951,-0.593951,-15.6097
3.7,-15.635,-0.616555,-0.616555,-15.2614
3.8,-15.3201,-0.637894,-0.637894,-14.976
3.9,-15.0701,-0.657709,-0.657709,-14.7503
4,-14.8819,-0.6758,-0.6758,-14.5815
4.1,-14.7529,-0.692036,-0.692036,-14.4671
4.2,-14.6808,-0.706353,-0.706353,-14.4045
4.3,-14.6634,-0.718761,-0.718761,-14.3915
4.4,-14.699,-0.72934,-0.72934,-14.4256
4.5,-14.7859,-0.738238,-0.738238,-14.5044
4.6,-14.9223,-0.745668,-0.745668,-14.625
4.7,-15.1059,-0.751897,-0.751897,-14.7839
4.8,-15.3337,-0.757241,-0.757241,-14.9765
4.9,-15.6017,-0.762051,-0.762051,-15.1969
5,-15.9038,-0.766705,-0.766705,-15.4371
5.1,-16.2314,-0.771593,-0.771593,-15.6867
5.2,-16.5722,-0.777104,-0.777104,-15.9324
5.3,-16.9097,-0.783612,-0.783612,-16.1582
5.4,-17.2227,-0.791462,-0.791462,-16.3461
5.5,-17.4858,-0.800961,-0.800961,-16.4775
5.6,-17.6726,-0.81236,-0.81236,-16.5362
5.7,-17.7597,-0.82585,-0.82585,-16.5113
5.8,-17.7322,-0.841552,-0.841552,-16.3995
5.9,-17.5881,-0.859511,-0.859511,-16.206
6,-17.3386,-0.879694,-0.879694,-15.943
6.1,-17.0049,-0.901989,-0.901989,-15.6276
6.2,-16.6132,-0.926209,-0.926209,-15.278
6.3,-16.1892,-0.952099,-0.952099,-14.9116
6.4,-15.7551,-0.979338,-0.979338,-14.5436
6.5,-15.3286,-1.00756,-1.00756,-14.186
6.6,-14.9227,-1.03635,-1.03635,-13.8481
6.7,-14.5465,-1.06527,-1.06527,-13.5367
6.8,-14.206,-1.09389,-1.09389,-13.2567
6.9,-13.9052,-1.12176,-1.12176,-13.0113
7,-13.6464,-1.14846,-1.14846,-12.8028
7.1,-13.431,-1.1736,-1.1736,-12.6327
7.2,-13.2596,-1.19686,-1.19686,-12.5019
7.3,-13.1325,-1.21796,-1.21796,-12.4108
7.4,-13.0498,-1.2367,-1.2367,-12.3597
7.5,-13.0116,-1.25297,-1.25297,-12.3489
7.6,-13.0176,-1.26672,-1.26672,-12.3781
7.7,-13.0678,-1.27801,-1.27801,-12.4471
7.8,-13.162,-1.28698,-1.28698,-12.5557
7.9,-13.2999,-1.29386,-1.29386,-12.703
8,-13.4809,-1.29894,-1.29894,-12.8879
8.1,-13.7041,-1.30259,-1.30259,-13.1088
8.2,-13.9677,-1.30524,-1.30524,-13.3631
8.3,-14.2693,-1.30736,-1.30736,-13.6469
8.4,-14.6045,-1.30944,-1.30944,-13.955
8.5,-14.9675,-1.31199,-1.31199,-14.2798
8.6,-15.3494,-1.31551,-1.31551,-14.6116
8.7,-15.7383,-1.32046,-1.32046,-14.9378
8.8,-16.1184,-1.32728,-1.32728,-15.2437
8.9,-16.4707,-1.33633,-1.33633,-15.5129
9,-16.7738,-1.34788,-1.34788,-15.7295
9.1,-17.0065,-1.36216,-1.36216,-15.8802
9.2,-17.1516,-1.37925,-1.37925,-15.9567
9.3,-17.1997,-1.39917,-1.39917,-15.9579
9.4,-17.1513,-1.42183,-1.42183,-15.8896
9.5,-17.0168,-1.44707,-1.44707,-15.7637
9.6,-16.8136,-1.47463,-1.47463,-15.5955
9.7,-16.5623,-1.50421,-1.50421,-15.4012
9.8,-16.2835,-1.53547,-1.53547,-15.1963
9.9,-15.9948,-1.56803,-1.56803,-14.9944
10,-15.7105,-1.60156,-1.60156,-14.8065
