freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-18.5919,-0.155306,-0.155306,-18.5095
0.6,-17.2472,-0.192942,-0.192942,-17.1721
0.7,-16.1779,-0.230981,-0.230981,-16.11
0.8,-15.3163,-0.268692,-0.268692,-15.2546
0.9,-14.6179,-0.305411,-0.305411,-14.5609
1,-14.0518,-0.34056,-0.34056,-13.9971
1.1,-13.595,-0.3737,-0.3737,-13.5394
1.2,-13.2295,-0.404566,-0.404566,-13.1687
1.3,-12.9401,-0.433099,-0.433099,-12.8687
1.4,-12.7133,-0.459455,-0.459455,-12.6247
1.5,-12.5364,-0.484,-0.484,-12.4228
1.6,-12.3965,-0.507294,-0.507294,-12.2494
1.7,-12.2807,-0.530057,-0.530057,-12.0908
1.8,-12.1755,-0.553127,-0.553127,-11.934
1.9,-12.0674,-0.577417,-0.577417,-11.7668
2,-11.9433,-0.603858,-0.603858,-11.5784
2.1,-11.7919,-0.633343,-0.633343,-11.3611
2.2,-11.6046,-0.666678,-0.666678,-11.1104
2.3,-11.3769,-0.704528,-0.704528,-10.8257
2.4,-11.1084,-0.747378,-0.747378,-10.5098
2.5,-10.803,-0.795499,-0.795499,-10.1687
2.6,-10.4679,-0.848935,-0.848935,-9.8101
2.7,-10.1122,-0.907494,-0.907494,-9.44243
2.8,-9.74557,-0.97076,-0.97076,-9.07394
2.9,-9.37746,-1.03812,-1.03812,-8.71199
3,-9.01603,-1.10877,-1.10877,-8.36267
3.1,-8.66799,-1.18181,-1.18181,-8.03073
3.2,-8.3385,-1.25622,-1.25622,-7.71957
3.3,-8.03127,-1.33097,-1.33097,-7.43145
3.4,-7.74881,-1.405,-1.405,-7.16765
3.5,-7.49262,-1.47731,-1.47731,-6.92866
3.6,-7.26343,-1.54699,-1.54699,-6.71439
3.7,-7.06138,-1.61323,-1.61323,-6.52429
3.8,-6.8862,-1.67534,-1.67534,-6.35749
3.9,-6.73729,-1.73282,-1.73282,-6.21284
4,-6.61381,-1.78531,-1.78531,-6.08901
4.1,-6.51473,-1.83265,-1.83265,-5.98451
4.2,-6.43882,-1.87487,-1.87487,-5.89767
4.3,-6.38465,-1.91217,-1.91217,-5.82665
4.4,-6.35058,-1.94497,-1.94497,-5.76946
4.5,-6.33466,-1.97385,-1.97385,-5.72389
4.6,-6.33459,-1.99957,-1.99957,-5.68753
4.7,-6.34765,-2.02303,-2.02303,-5.65776
4.8,-6.37065,-2.04527,-2.04527,-5.6318
4.9,-6.39988,-2.06743,-2.06743,-5.60674
5,-6.43116,-2.0907,-2.0907,-5.57961
5.1,-6.4599,-2.1163,-2.1163,-5.54758
5.2,-6.4813,-2.1454,-2.1454,-5.50802
5.3,-6.49065,-2.17907,-2.17907,-5.45873
5.4,-6.48366,-2.21828,-2.21828,-5.39808
5.5,-6.45687,-2.26374,-2.26374,-5.32517
5.6,-6.40803,-2.31599,-2.31599,-5.23989
5.7,-6.33639,-2.37523,-2.37523,-5.14297
5.8,-6.24272,-2.44142,-2.44142,-5.03588
5.9,-6.12929,-2.51418,-2.51418,-4.92075
6,-5.99956,-2.59286,-2.59286,-4.80016
6.1,-5.85776,-2.67654,-2.67654,-4.67695
6.2,-5.70855,-2.76407,-2.76407,-4.55401
6.3,-5.55658,-2.85414,-2.85414,-4.43413
6.4,-5.40621,-2.9453,-2.9453,-4.31982
6.5,-5.26135,-3.03604,-3.03604,-4.21323
6.6,-5.12531,-3.12483,-3.12483,-4.1161
6.7,-5.00085,-3.21019,-3.21019,-4.0297
6.8,-4.89014,-3.29069,-3.29069,-3.95493
6.9,-4.79491,-3.36507,-3.36507,-3.89225
7,-4.71645,-3.43218,-3.43218,-3.84179
7.1,-4.65572,-3.49109,-3.49109,-3.8034
7.2,-4.6134,-3.54103,-3.54103,-3.77668
7.3,-4.58995,-3.58148,-3.58148,-3.76105
7.4,-4.58562,-3.61215,-3.61215,-3.7558
7.5,-4.60043,-3.63298,-3.63298,-3.76014
7.6,-4.63422,-3.64416,-3.64416,-3.77319
7.7,-4.68652,-3.64613,-3.64613,-3.79408
7.8,-4.75659,-3.63955,-3.63955,-3.82193
7.9,-4.8433,-3.62532,-3.62532,-3.85589
8,-4.94511,-3.60456,-3.60456,-3.89513
8.1,-5.06003,-3.57855,-3.57855,-3.93891
8.2,-5.18564,-3.54871,-3.54871,-3.98657
8.3,-5.31926,-3.51658,-3.51658,-4.03757
8.4,-5.45815,-3.48373,-3.48373,-4.09154
8.5,-5.60014,-3.45176,-3.45176,-4.14836
8.6,-5.74451,-3.42232,-3.42232,-4.20829
8.7,-5.89381,-3.39742,-3.39742,-4.27212
8.8,-6.0573,-3.38025,-3.38025,-4.34137
8.9,-6.25838,-3.37806,-3.37806,-4.41781
9,-6.55153,-3.41156,-3.41156,-4.4991
9.1,-7.04923,-3.54658,-3.54658,-4.55249
9.2,-7.7854,-3.95111,-3.95111,-4.41517
9.3,-7.76475,-4.51123,-4.51123,-3.94528
9.4,-6.78827,-4.46327,-4.46327,-3.68939
9.5,-6.19725,-4.19784,-4.19784,-3.70616
9.6,-5.9522,-4.02124,-4.02124,-3.78432
9.7,-5.86266,-3.92121,-3.92121,-3.87158
9.8,-5.85364,-3.86765,-3.86765,-3.96234
9.9,-5.89952,-3.84597,-3.84597,-4.05245
10,-5.99194,-3.85217,-3.85217,-4.13367
