freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-21.7332,-0.119411,-0.119411,-21.675
0.6,-20.4109,-0.144085,-0.144085,-20.3643
0.7,-19.3709,-0.168585,-0.168585,-19.3375
0.8,-18.547,-0.192522,-0.192522,-18.5274
0.9,-17.8968,-0.215482,-0.215482,-17.8906
1,-17.3912,-0.237089,-0.237089,-17.3973
1.1,-17.0094,-0.257059,-0.257059,-17.0258
1.2,-16.7355,-0.275225,-0.275225,-16.7595
1.3,-16.5567,-0.291549,-0.291549,-16.5841
1.4,-16.4613,-0.306128,-0.306128,-16.4864
1.5,-16.438,-0.319186,-0.319186,-16.4531
1.6,-16.4743,-0.331065,-0.331065,-16.4691
1.7,-16.5555,-0.342209,-0.342209,-16.5166
1.8,-16.6631,-0.353138,-0.353138,-16.5748
1.9,-16.7744,-0.364427,-0.364427,-16.6193
2,-16.8625,-0.376668,-0.376668,-16.6237
2.1,-16.898,-0.390444,-0.390444,-16.5628
2.2,-16.8532,-0.406292,-0.406292,-16.4165
2.3,-16.7079,-0.424671,-0.424671,-16.175
2.4,-16.4543,-0.445933,-0.445933,-15.8404
2.5,-16.0993,-0.4703,-0.4703,-15.4262
2.6,-15.6619,-0.497844,-0.497844,-14.9535
2.7,-15.1677,-0.528486,-0.528486,-14.4458
2.8,-14.6434,-0.561988,-0.561988,-13.9253
2.9,-14.1126,-0.597969,-0.597969,-13.4104
3,-13.594,-0.635921,-0.635921,-12.9153
3.1,-13.1012,-0.675231,-0.675231,-12.45
3.2,-12.6437,-0.715215,-0.715215,-12.021
3.3,-12.2271,-0.755145,-0.755145,-11.6323
3.4,-11.8549,-0.794286,-0.794286,-11.2862
3.5,-11.5287,-0.831929,-0.831929,-10.9832
3.6,-11.2489,-0.867418,-0.867418,-10.7233
3.7,-11.0153,-0.900179,-0.900179,-10.5057
3.8,-10.827,-0.929741,-0.929741,-10.3293
3.9,-10.683,-0.955757,-0.955757,-10.1925
4,-10.582,-0.978015,-0.978015,-10.0936
4.1,-10.5226,-0.996446,-0.996446,-10.0307
4.2,-10.503,-1.01113,-1.01113,-10.0014
4.3,-10.5214,-1.02227,-1.02227,-10.0031
4.4,-10.5755,-1.03025,-1.03025,-10.0329
4.5,-10.6625,-1.03553,-1.03553,-10.0871
4.6,-10.7788,-1.03871,-1.03871,-10.1616
4.7,-10.9198,-1.04045,-1.04045,-10.2514
4.8,-11.0798,-1.04148,-1.04148,-10.3506
4.9,-11.2518,-1.04255,-1.04255,-10.4527
5,-11.4272,-1.04442,-1.04442,-10.5502
5.1,-11.5962,-1.04779,-1.04779,-10.6355
5.2,-11.7481,-1.05328,-1.05328,-10.701
5.3,-11.872,-1.06144,-1.06144,-10.7399
5.4,-11.9582,-1.07263,-1.07263,-10.7471
5.5,-11.9994,-1.08712,-1.08712,-10.7199
5.6,-11.9916,-1.10496,-1.10496,-10.6583
5.7,-11.9351,-1.12606,-1.12606,-10.565
5.8,-11.8342,-1.15015,-1.15015,-10.4451
5.9,-11.6966,-1.17682,-1.17682,-10.3052
6,-11.5319,-1.20551,-1.20551,-10.1526
6.1,-11.3508,-1.23558,-1.23558,-9.99495
6.2,-11.1634,-1.2663,-1.2663,-9.83901
6.3,-10.9791,-1.29691,-1.29691,-9.69088
6.4,-10.8058,-1.32665,-1.32665,-9.55571
6.5,-10.6501,-1.35478,-1.35478,-9.43776
6.6,-10.5171,-1.38063,-1.38063,-9.3405
6.7,-10.4108,-1.40359,-1.40359,-9.26676
6.8,-10.3343,-1.42318,-1.42318,-9.21891
6.9,-10.2898,-1.43904,-1.43904,-9.19887
7,-10.2793,-1.45093,-1.45093,-9.2082
7.1,-10.3041,-1.45876,-1.45876,-9.24812
7.2,-10.3652,-1.46258,-1.46258,-9.31937
7.3,-10.4635,-1.46258,-1.46258,-9.42222
7.4,-10.5994,-1.45908,-1.45908,-9.55631
7.5,-10.7732,-1.45251,-1.45251,-9.72053
7.6,-10.9846,-1.44343,-1.44343,-9.91295
7.7,-11.2327,-1.43246,-1.43246,-10.1307
7.8,-11.5159,-1.42028,-1.42028,-10.37
7.9,-11.8314,-1.40761,-1.40761,-10.6261
8,-12.1749,-1.39517,-1.39517,-10.8931
8.1,-12.5403,-1.38366,-1.38366,-11.1646
8.2,-12.9195,-1.37371,-1.37371,-11.4331
8.3,-13.3017,-1.36588,-1.36588,-11.6909
8.4,-13.674,-1.36061,-1.36061,-11.93
8.5,-14.022,-1.35825,-1.35825,-12.1428
8.6,-14.3304,-1.35899,-1.35899,-12.3225
8.7,-14.5859,-1.36286,-1.36286,-12.464
8.8,-14.7789,-1.3698,-1.3698,-12.5643
8.9,-14.9054,-1.37956,-1.37956,-12.6234
9,-14.9684,-1.39181,-1.39181,-12.6448
9.1,-14.9768,-1.40608,-1.40608,-12.6354
9.2,-14.9443,-1.42184,-1.42184,-12.6049
9.3,-14.8869,-1.43847,-1.43847,-12.5657
9.4,-14.8209,-1.45533,-1.45533,-12.5314
9.5,-14.7613,-1.47174,-1.47174,-12.5155
9.6,-14.7212,-1.48702,-1.48702,-12.5303
9.7,-14.7112,-1.50055,-1.50055,-12.5853
9.8,-14.7397,-1.51175,-1.51175,-12.6869
9.9,-14.8131,-1.52014,-1.52014,-12.8375
10,-14.9359,-1.5254,-1.5254,-13.0364
