freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.4004,-0.113618,-0.113618,-22.343
0.6,-21.0718,-0.136692,-0.136692,-21.03
0.7,-20.0243,-0.159382,-0.159382,-20.0004
0.8,-19.1919,-0.18145,-0.18145,-19.1871
0.9,-18.5323,-0.202626,-0.202626,-18.5465
1,-18.0167,-0.22264,-0.22264,-18.0491
1.1,-17.6245,-0.24126,-0.24126,-17.6732
1.2,-17.3403,-0.258326,-0.258326,-17.4026
1.3,-17.152,-0.273776,-0.273776,-17.2237
1.4,-17.0492,-0.287651,-0.287651,-17.1247
1.5,-17.0222,-0.300098,-0.300098,-17.0938
1.6,-17.0613,-0.311357,-0.311357,-17.1188
1.7,-17.1552,-0.321751,-0.321751,-17.1854
1.8,-17.2905,-0.331663,-0.331663,-17.2771
1.9,-17.4502,-0.341516,-0.341516,-17.3742
2,-17.613,-0.351749,-0.351749,-17.454
2.1,-17.7533,-0.362797,-0.362797,-17.4927
2.2,-17.8431,-0.375063,-0.375063,-17.4674
2.3,-17.8549,-0.388906,-0.388906,-17.3603
2.4,-17.7674,-0.404617,-0.404617,-17.1625
2.5,-17.5705,-0.42241,-0.42241,-16.8754
2.6,-17.2677,-0.442413,-0.442413,-16.5107
2.7,-16.8752,-0.464663,-0.464663,-16.0862
2.8,-16.4164,-0.489103,-0.489103,-15.6228
2.9,-15.9171,-0.51559,-0.51559,-15.1404
3,-15.4007,-0.543902,-0.543902,-14.6561
3.1,-14.8864,-0.573744,-0.573744,-14.1833
3.2,-14.3886,-0.604768,-0.604768,-13.7316
3.3,-13.9173,-0.636581,-0.636581,-13.3078
3.4,-13.4792,-0.668765,-0.668765,-12.9161
3.5,-13.0781,-0.700891,-0.700891,-12.5588
3.6,-12.7163,-0.732535,-0.732535,-12.237
3.7,-12.3947,-0.763292,-0.763292,-11.9507
3.8,-12.1133,-0.792789,-0.792789,-11.6996
3.9,-11.8717,-0.820699,-0.820699,-11.4825
4,-11.6691,-0.846751,-0.846751,-11.2984
4.1,-11.5046,-0.870736,-0.870736,-11.1458
4.2,-11.3771,-0.892519,-0.892519,-11.0231
4.3,-11.2853,-0.912041,-0.912041,-10.9285
4.4,-11.2277,-0.929324,-0.929324,-10.86
4.5,-11.2029,-0.944472,-0.944472,-10.8153
4.6,-11.2089,-0.957671,-0.957671,-10.7919
4.7,-11.2432,-0.969188,-0.969188,-10.7866
4.8,-11.303,-0.979362,-0.979362,-10.7959
4.9,-11.3842,-0.9886,-0.9886,-10.8155
5,-11.4821,-0.997365,-0.997365,-10.8406
5.1,-11.5906,-1.00616,-1.00616,-10.866
5.2,-11.7022,-1.01552,-1.01552,-10.8858
5.3,-11.8082,-1.02598,-1.02598,-10.8939
5.4,-11.8988,-1.03808,-1.03808,-10.8846
5.5,-11.9637,-1.05229,-1.05229,-10.8528
5.6,-11.9934,-1.06905,-1.06905,-10.7944
5.7,-11.9797,-1.0887,-1.0887,-10.707
5.8,-11.9175,-1.11149,-1.11149,-10.5901
5.9,-11.8056,-1.13751,-1.13751,-10.4455
6,-11.6467,-1.16674,-1.16674,-10.2763
6.1,-11.4471,-1.19899,-1.19899,-10.0874
6.2,-11.2159,-1.23393,-1.23393,-9.8848
6.3,-10.9635,-1.27107,-1.27107,-9.67463
6.4,-10.7007,-1.30982,-1.30982,-9.46319
6.5,-10.4376,-1.34947,-1.34947,-9.25636
6.6,-10.183,-1.38922,-1.38922,-9.05939
6.7,-9.9444,-1.42824,-1.42824,-8.87682
6.8,-9.72791,-1.46569,-1.46569,-8.71246
6.9,-9.53828,-1.50071,-1.50071,-8.56939
7,-9.37927,-1.53254,-1.53254,-8.4501
7.1,-9.25378,-1.56048,-1.56048,-8.35658
7.2,-9.16411,-1.58391,-1.58391,-8.29039
7.3,-9.11213,-1.60239,-1.60239,-8.25284
7.4,-9.09943,-1.6156,-1.6156,-8.24498
7.5,-9.12744,-1.62338,-1.62338,-8.26774
7.6,-9.19746,-1.62576,-1.62576,-8.32192
7.7,-9.31079,-1.6229,-1.6229,-8.40826
7.8,-9.46867,-1.61518,-1.61518,-8.52741
7.9,-9.67226,-1.60311,-1.60311,-8.67999
8,-9.92258,-1.58737,-1.58737,-8.86658
8.1,-10.2204,-1.56876,-1.56876,-9.08777
8.2,-10.5662,-1.54827,-1.54827,-9.34422
8.3,-10.9596,-1.527,-1.527,-9.63678
8.4,-11.3995,-1.50623,-1.50623,-9.9665
8.5,-11.8839,-1.48747,-1.48747,-10.3344
8.6,-12.4094,-1.47255,-1.47255,-10.7402
8.7,-12.9721,-1.46367,-1.46367,-11.1795
8.8,-13.5692,-1.46343,-1.46343,-11.6373
8.9,-14.204,-1.47479,-1.47479,-12.0825
9,-14.8994,-1.50258,-1.50258,-12.4838
9.1,-15.7193,-1.5681,-1.5681,-12.8261
9.2,-16.536,-1.74756,-1.74756,-12.7954
9.3,-16.2517,-1.95991,-1.95991,-11.8781
9.4,-15.8122,-1.90229,-1.90229,-11.5038
9.5,-16.0382,-1.79087,-1.79087,-11.9037
9.6,-17.0215,-1.78895,-1.78895,-12.4836
9.7,-18.9977,-2.01156,-2.01156,-12.6181
9.8,-19.2896,-2.59439,-2.59439,-11.3668
9.9,-15.2415,-3.09099,-3.09099,-9.71414
10,-13.0014,-2.87836,-2.87836,-9.28031
