freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-22.2587,-0.114922,-0.114922,-22.1995
0.6,-20.9376,-0.138284,-0.138284,-20.8907
0.7,-19.8992,-0.161235,-0.161235,-19.8677
0.8,-19.0776,-0.183513,-0.183513,-19.0632
0.9,-18.4308,-0.204814,-0.204814,-18.4338
1,-17.9305,-0.22484,-0.22484,-17.9501
1.1,-17.5563,-0.243336,-0.243336,-17.5911
1.2,-17.2936,-0.260128,-0.260128,-17.341
1.3,-17.1308,-0.275148,-0.275148,-17.1873
1.4,-17.0583,-0.288436,-0.288436,-17.119
1.5,-17.0676,-0.300146,-0.300146,-17.1256
1.6,-17.15,-0.310533,-0.310533,-17.1961
1.7,-17.2955,-0.319935,-0.319935,-17.3172
1.8,-17.4916,-0.328757,-0.328757,-17.4729
1.9,-17.7217,-0.337444,-0.337444,-17.6427
2,-17.9635,-0.346461,-0.346461,-17.8019
2.1,-18.1887,-0.356268,-0.356268,-17.9221
2.2,-18.3631,-0.367294,-0.367294,-17.9737
2.3,-18.4509,-0.379921,-0.379921,-17.9312
2.4,-18.4212,-0.394465,-0.394465,-17.7788
2.5,-18.2568,-0.41116,-0.41116,-17.5145
2.6,-17.9592,-0.430153,-0.430153,-17.1503
2.7,-17.5476,-0.451494,-0.451494,-16.7081
2.8,-17.0524,-0.475139,-0.475139,-16.2143
2.9,-16.507,-0.50095,-0.50095,-15.6944
3,-15.9412,-0.528709,-0.528709,-15.1699
3.1,-15.3785,-0.558122,-0.558122,-14.6573
3.2,-14.8358,-0.588834,-0.588834,-14.1684
3.3,-14.3243,-0.620448,-0.620448,-13.7108
3.4,-13.8508,-0.652536,-0.652536,-13.2892
3.5,-13.4192,-0.684659,-0.684659,-12.9061
3.6,-13.0313,-0.71638,-0.71638,-12.5623
3.7,-12.6874,-0.747283,-0.747283,-12.2578
3.8,-12.3873,-0.776983,-0.776983,-11.9916
3.9,-12.1301,-0.805143,-0.805143,-11.7627
4,-11.9146,-0.83148,-0.83148,-11.5694
4.1,-11.7396,-0.85578,-0.85578,-11.4102
4.2,-11.6039,-0.877899,-0.877899,-11.2832
4.3,-11.5058,-0.897774,-0.897774,-11.1866
4.4,-11.4441,-0.915424,-0.915424,-11.1184
4.5,-11.4169,-0.930951,-0.930951,-11.0761
4.6,-11.4223,-0.944543,-0.944543,-11.0571
4.7,-11.4579,-0.956468,-0.956468,-11.0585
4.8,-11.5205,-0.967071,-0.967071,-11.0764
4.9,-11.6064,-0.976767,-0.976767,-11.1065
5,-11.7104,-0.986029,-0.986029,-11.1437
5.1,-11.8262,-0.995379,-0.995379,-11.1822
5.2,-11.946,-1.00537,-1.00537,-11.2155
5.3,-12.0604,-1.01656,-1.01656,-11.2369
5.4,-12.1588,-1.02951,-1.02951,-11.2397
5.5,-12.23,-1.04475,-1.04475,-11.2181
5.6,-12.2632,-1.06274,-1.06274,-11.1673
5.7,-12.2495,-1.08389,-1.08389,-11.0848
5.8,-12.1831,-1.10847,-1.10847,-10.9701
5.9,-12.0625,-1.13666,-1.13666,-10.8251
6,-11.8906,-1.16848,-1.16848,-10.6538
6.1,-11.6745,-1.20382,-1.20382,-10.4621
6.2,-11.4242,-1.24238,-1.24238,-10.2564
6.3,-11.1509,-1.28374,-1.28374,-10.0441
6.4,-10.8664,-1.32733,-1.32733,-9.83207
6.5,-10.5811,-1.37248,-1.37248,-9.62688
6.6,-10.3043,-1.41844,-1.41844,-9.43435
6.7,-10.0437,-1.46442,-1.46442,-9.25947
6.8,-9.80512,-1.50962,-1.50962,-9.10636
6.9,-9.5933,-1.55326,-1.55326,-8.97835
7,-9.41172,-1.59461,-1.59461,-8.878
7.1,-9.26302,-1.63296,-1.63296,-8.80723
7.2,-9.14924,-1.66769,-1.66769,-8.76735
7.3,-9.07202,-1.69818,-1.69818,-8.75917
7.4,-9.03279,-1.72391,-1.72391,-8.78307
7.5,-9.03291,-1.74442,-1.74442,-8.83905
7.6,-9.07376,-1.75941,-1.75941,-8.92679
7.7,-9.15682,-1.7687,-1.7687,-9.04569
7.8,-9.28381,-1.77233,-1.77233,-9.19489
7.9,-9.45673,-1.77044,-1.77044,-9.37324
8,-9.6769,-1.76288,-1.76288,-9.57924
8.1,-9.94264,-1.7493,-1.7493,-9.81662
8.2,-10.2534,-1.73104,-1.73104,-10.079
8.3,-10.6102,-1.7101,-1.7101,-10.3623
8.4,-11.0119,-1.68777,-1.68777,-10.668
8.5,-11.4549,-1.66523,-1.66523,-10.9944
8.6,-11.9343,-1.6439,-1.6439,-11.3398
8.7,-12.4444,-1.62554,-1.62554,-11.7028
8.8,-12.9804,-1.61254,-1.61254,-12.0828
8.9,-13.5429,-1.60876,-1.60876,-12.4784
9,-14.1449,-1.62184,-1.62184,-12.8813
9.1,-14.8192,-1.66934,-1.66934,-13.2427
9.2,-15.5685,-1.79002,-1.79002,-13.3526
9.3,-15.9818,-2.00921,-2.00921,-12.7774
9.4,-15.4159,-2.12457,-2.12457,-11.9905
9.5,-14.97,-2.0294,-2.0294,-11.9883
9.6,-15.1345,-1.95613,-1.95613,-12.4081
9.7,-15.77,-1.99597,-1.99597,-12.7997
9.8,-16.7915,-2.21329,-2.21329,-12.707
9.9,-16.8995,-2.69014,-2.69014,-11.512
10,-14.387,-3.07473,-3.07473,-9.95729
