freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-18.3702,-0.159081,-0.159081,-18.2845
0.6,-17.0052,-0.198092,-0.198092,-16.9261
0.7,-15.9097,-0.238393,-0.238393,-15.8377
0.8,-15.0162,-0.279055,-0.279055,-14.9508
0.9,-14.281,-0.31931,-0.31931,-14.2204
1,-13.6731,-0.35855,-0.35855,-13.6147
1.1,-13.1694,-0.396339,-0.396339,-13.1096
1.2,-12.7519,-0.432418,-0.432418,-12.6862
1.3,-12.4056,-0.466719,-0.466719,-12.3285
1.4,-12.1174,-0.499367,-0.499367,-12.0226
1.5,-11.8754,-0.530669,-0.530669,-11.7556
1.6,-11.6684,-0.561104,-0.561104,-11.516
1.7,-11.4855,-0.59129,-0.59129,-11.2927
1.8,-11.316,-0.621954,-0.621954,-11.0758
1.9,-11.1499,-0.653891,-0.653891,-10.8563
2,-10.978,-0.687917,-0.687917,-10.627
2.1,-10.7922,-0.724824,-0.724824,-10.3827
2.2,-10.5866,-0.765328,-0.765328,-10.1201
2.3,-10.3577,-0.810032,-0.810032,-9.83877
2.4,-10.1045,-0.859385,-0.859385,-9.54016
2.5,-9.82852,-0.913653,-0.913653,-9.22759
2.6,-9.53358,-0.972903,-0.972903,-8.90564
2.7,-9.22483,-1.03699,-1.03699,-8.57947
2.8,-8.90827,-1.10559,-1.10559,-8.25436
2.9,-8.59,-1.17815,-1.17815,-7.9352
3,-8.27578,-1.25401,-1.25401,-7.62625
3.1,-7.97062,-1.33235,-1.33235,-7.331
3.2,-7.67869,-1.41226,-1.41226,-7.0521
3.3,-7.40325,-1.49281,-1.49281,-6.79143
3.4,-7.14671,-1.57304,-1.57304,-6.55019
3.5,-6.91072,-1.652,-1.652,-6.32899
3.6,-6.69632,-1.72882,-1.72882,-6.12793
3.7,-6.50402,-1.80271,-1.80271,-5.94676
3.8,-6.33394,-1.87301,-1.87301,-5.7849
3.9,-6.18588,-1.93915,-1.93915,-5.64154
4,-6.05939,-2.00075,-2.00075,-5.5157
4.1,-5.9538,-2.05757,-2.05757,-5.40622
4.2,-5.86827,-2.10953,-2.10953,-5.3118
4.3,-5.80175,-2.15674,-2.15674,-5.23103
4.4,-5.75302,-2.19947,-2.19947,-5.16236
4.5,-5.72061,-2.23815,-2.23815,-5.10413
4.6,-5.7028,-2.27339,-2.27339,-5.05452
4.7,-5.69755,-2.30593,-2.30593,-5.01161
4.8,-5.70248,-2.33666,-2.33666,-4.97337
4.9,-5.71483,-2.36656,-2.36656,-4.93766
5,-5.73149,-2.39669,-2.39669,-4.90232
5.1,-5.74901,-2.42815,-2.42815,-4.86522
5.2,-5.76373,-2.46204,-2.46204,-4.82436
5.3,-5.77193,-2.49941,-2.49941,-4.77796
5.4,-5.77006,-2.54119,-2.54119,-4.72459
5.5,-5.75501,-2.58817,-2.58817,-4.66326
5.6,-5.72437,-2.64095,-2.64095,-4.59355
5.7,-5.6767,-2.69988,-2.69988,-4.51557
5.8,-5.61163,-2.76505,-2.76505,-4.43003
5.9,-5.52997,-2.83627,-2.83627,-4.33812
6,-5.43354,-2.91306,-2.91306,-4.24146
6.1,-5.32506,-2.99469,-2.99469,-4.14192
6.2,-5.20779,-3.0802,-3.0802,-4.04153
6.3,-5.08534,-3.16843,-3.16843,-3.94233
6.4,-4.96131,-3.25809,-3.25809,-3.84627
6.5,-4.83914,-3.3478,-3.3478,-3.75512
6.6,-4.72197,-3.43613,-3.43613,-3.67044
6.7,-4.6125,-3.52168,-3.52168,-3.59357
6.8,-4.51304,-3.60312,-3.60312,-3.52559
6.9,-4.42544,-3.67921,-3.67921,-3.46738
7,-4.35122,-3.74882,-3.74882,-3.41959
7.1,-4.29155,-3.81102,-3.81102,-3.38268
7.2,-4.24732,-3.865,-3.865,-3.35694
7.3,-4.21922,-3.91015,-3.91015,-3.34247
7.4,-4.20772,-3.94605,-3.94605,-3.3392
7.5,-4.21314,-3.97247,-3.97247,-3.34693
7.6,-4.23564,-3.98933,-3.98933,-3.36526
7.7,-4.27521,-3.9968,-3.9968,-3.39366
7.8,-4.33166,-3.99518,-3.99518,-3.43144
7.9,-4.40457,-3.98497,-3.98497,-3.47777
8,-4.49327,-3.96685,-3.96685,-3.53174
8.1,-4.59675,-3.94168,-3.94168,-3.59234
8.2,-4.71369,-3.91046,-3.91046,-3.65853
8.3,-4.84245,-3.87436,-3.87436,-3.72933
8.4,-4.98117,-3.83469,-3.83469,-3.80388
8.5,-5.12806,-3.7929,-3.7929,-3.88157
8.6,-5.28202,-3.75062,-3.75062,-3.96228
8.7,-5.44389,-3.70983,-3.70983,-4.04665
8.8,-5.61938,-3.67368,-3.67368,-4.13658
8.9,-5.82568,-3.64935,-3.64935,-4.23536
9,-6.10645,-3.6597,-3.6597,-4.34315
9.1,-6.53293,-3.78249,-3.78249,-4.41821
9.2,-6.88405,-4.10602,-4.10602,-4.28221
9.3,-6.61744,-4.25194,-4.25194,-4.04979
9.4,-6.4812,-4.17923,-4.17923,-4.01303
9.5,-6.34315,-4.12395,-4.12395,-4.0744
9.6,-6.40169,-4.05086,-4.05086,-4.1898
9.7,-6.61546,-4.30662,-4.30662,-4.15946
9.8,-6.40376,-4.57736,-4.57736,-3.8905
9.9,-5.84737,-4.53853,-4.53853,-3.69758
10,-5.54027,-4.33227,-4.33227,-3.69943
