"name","matrix_n","pixel_mm","cell_pitch_mm","pixel_overfill_ratio","gap_mm","feed_w_mm","feed_len_mm","coupling_overlap_mm","pattern","custom_mask_rows","seed","fill_probability","mirror_x","force_edge_coupling","connect_adjacent_pixels","substrate","er","h_mm","copper_mm","min_fab_gap_mm","min_fab_feature_mm","metal_layer","via_layer","boundary_layer"
"pixel_qr8_fr4_210um_seed0_nogap","8","0.50","0.00","0.00","0.00","0.36","2.00","0.40","qr_seed","","0","0.45","true","true","true","FR4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr10_fr4_210um_seed1_nogap","10","0.42","0.00","0.00","0.00","0.36","2.00","0.40","symmetric_random","","1","0.50","true","true","true","FR4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p030_ov10","16","0.30","0.30","0.10","0.00","0.36","2.00","0.30","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p060_ov10","16","0.60","0.60","0.10","0.00","0.36","2.00","0.60","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p080_ov10","16","0.80","0.80","0.10","0.00","0.36","2.00","0.80","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p022_ov10","16","0.22","0.22","0.10","0.00","0.36","2.00","0.22","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p025_ov10","16","0.25","0.25","0.10","0.00","0.36","2.00","0.25","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p035_ov10","16","0.35","0.35","0.10","0.00","0.36","2.00","0.35","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p040_ov10","16","0.40","0.40","0.10","0.00","0.36","2.00","0.40","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p032_ov10","16","0.32","0.32","0.10","0.00","0.36","2.00","0.32","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p033_ov10","16","0.33","0.33","0.10","0.00","0.36","2.00","0.33","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p035_ov10_ol045","16","0.35","0.35","0.10","0.00","0.36","2.00","0.45","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
"pixel_qr16_fr4_210um_seed0_p035_ov10_ol055","16","0.35","0.35","0.10","0.00","0.36","2.00","0.55","qr_seed","","0","0.50","true","true","true","substrate4","4.6","0.210","0.035","0.1016","0.1016","cond","pcvia1","EM_BOUNDARY"
