name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r12_01_r8b_add_r10c06,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12001,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r10c06; add one lower-inner capacitive bridge, away from the main via. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard."
pixel_qr16_fr4_210um_r12_02_r8b_add_r11c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000110110110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12002,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r11c05; add one remote lower shoulder pixel one row below the saturated R8 shoulder. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard.
pixel_qr16_fr4_210um_r12_03_r8b_add_r11c06,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12003,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r11c06; add one weak inner lower capacitive pixel near the center branch. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard.
pixel_qr16_fr4_210um_r12_04_r8b_add_r12c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101101111011010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12004,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r12c04; add a far lower outer pixel, weakly coupled to the row9 shoulder. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard."
pixel_qr16_fr4_210um_r12_05_r8b_add_r12c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101011111101010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12005,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r12c05; add a far lower inner pixel, weak metal-only notch probe. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard."
pixel_qr16_fr4_210um_r12_06_r8b_add_r11c05_r12c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000110110110000;0101011111101010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12006,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r11c05_r12c05; short vertical remote lower stub without any added via. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard.
pixel_qr16_fr4_210um_r12_07_r8b_add_r12c04_r12c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101111111111010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12007,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=add_r12c04_r12c05; far lower capacitive pad pair, expected weak coupling. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard."
pixel_qr16_fr4_210um_r12_08_r8b_rm_r10c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001000110001000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12008,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=rm_r10c05; remove one existing lower inner pixel to recover 6 GHz edge. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard.
pixel_qr16_fr4_210um_r12_09_r8b_rm_r09c03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0010100110010100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=rm_r09c03; trim the outer lower shoulder feed-in pixel while keeping r09c04. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard.
pixel_qr16_fr4_210um_r12_10_r8b_shift_r10c05_to_r11c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001000110001000;0000110110110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,12010,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R12 weak metal-only notch perturbation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=shift_r10c05_to_r11c05; shift existing lower inner metal one row farther from the main path. Main row8 c04/c11 via pair and via diameter are unchanged; no second via is added. Objective: find a weaker 5 GHz notch model that preserves S21@6G above the guard.
