name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r14_01_r8b_open_stub_r10c06_r11c06_basefeed,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001011111101000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14001,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=open_stub_r10c06_r11c06; two-pixel floating inner open stub, intended as weak 5 GHz capacitive resonator; feed=basefeed; keep base feed geometry. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard."
pixel_qr16_fr4_210um_r14_02_r8b_open_stub_r10c06_r11c06_recover_olp03,16,0.35,0.35,0.1,0,0.38,2,0.48,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001011111101000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14002,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=open_stub_r10c06_r11c06; two-pixel floating inner open stub, intended as weak 5 GHz capacitive resonator; feed=recover_olp03; increase overlap by 0.03 mm to recover 6 GHz coupling. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard."
pixel_qr16_fr4_210um_r14_03_r8b_open_stub_r11c05_r12c05_basefeed,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000110110110000;0101011111101010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14003,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=open_stub_r11c05_r12c05; remote floating vertical open stub, weaker than the R13 shorted version; feed=basefeed; keep base feed geometry. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard."
pixel_qr16_fr4_210um_r14_04_r8b_open_stub_r11c05_r12c05_recover_olp03,16,0.35,0.35,0.1,0,0.38,2,0.48,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000110110110000;0101011111101010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14004,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=open_stub_r11c05_r12c05; remote floating vertical open stub, weaker than the R13 shorted version; feed=recover_olp03; increase overlap by 0.03 mm to recover 6 GHz coupling. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard."
pixel_qr16_fr4_210um_r14_05_r8b_open_stub_r11c06_r12c06_basefeed,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14005,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=open_stub_r11c06_r12c06; inner remote floating open stub near the center branch; feed=basefeed; keep base feed geometry. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard.
pixel_qr16_fr4_210um_r14_06_r8b_open_stub_r11c06_r12c06_recover_olp03,16,0.35,0.35,0.1,0,0.38,2,0.48,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14006,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=open_stub_r11c06_r12c06; inner remote floating open stub near the center branch; feed=recover_olp03; increase overlap by 0.03 mm to recover 6 GHz coupling. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard.
pixel_qr16_fr4_210um_r14_07_r8b_l_stub_r10c06_r11c05_basefeed,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001011111101000;0000111111110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14007,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=l_stub_r10c06_r11c05; small floating L stub to add electrical length without a DC short; feed=basefeed; keep base feed geometry. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard.
pixel_qr16_fr4_210um_r14_08_r8b_l_stub_r10c06_r11c05_recover_olp03,16,0.35,0.35,0.1,0,0.38,2,0.48,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001011111101000;0000111111110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14008,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=l_stub_r10c06_r11c05; small floating L stub to add electrical length without a DC short; feed=recover_olp03; increase overlap by 0.03 mm to recover 6 GHz coupling. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard.
pixel_qr16_fr4_210um_r14_09_r8b_cap_pad_r12c04_r12c05_basefeed,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101111111111010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=cap_pad_r12c04_r12c05; far lower floating capacitive pad pair; feed=basefeed; keep base feed geometry. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard.
pixel_qr16_fr4_210um_r14_10_r8b_cap_pad_r12c04_r12c05_recover_olp03,16,0.35,0.35,0.1,0,0.38,2,0.48,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101111111111010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,14010,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R14 floating-stub/slit notch probe; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04 (R8 best-balanced base); op=cap_pad_r12c04_r12c05; far lower floating capacitive pad pair; feed=recover_olp03; increase overlap by 0.03 mm to recover 6 GHz coupling. No new grounded via is added; the main row8 c04/c11 via pair is preserved. Objective: improve the 5 GHz stopband using S21-primary feedback while keeping S21@6G above the guard.
