name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r16_01_r8d22v_d0p210_fw0p36_ol0p50,16,0.35,0.35,0.1,0,0.36,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.21,0.33,16001,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p210_fw0p36_ol0p50; weaker main via, R15 compensation feed. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets."
pixel_qr16_fr4_210um_r16_02_r8d22v_d0p215_fw0p34_ol0p50,16,0.35,0.35,0.1,0,0.34,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.215,0.335,16002,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p215_fw0p34_ol0p50; weaker feed plus slightly smaller via. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r16_03_r8d22v_d0p220_fw0p36_ol0p50,16,0.35,0.35,0.1,0,0.36,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.22,0.34,16003,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p220_fw0p36_ol0p50; R15 feed-compensation reference. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r16_04_r8d22v_d0p225_fw0p36_ol0p50,16,0.35,0.35,0.1,0,0.36,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,16004,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p225_fw0p36_ol0p50; slightly stronger main via. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,16005,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p225_fw0p36_ol0p53; stronger via plus larger overlap recovery. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r16_06_r8d22v_d0p225_fw0p38_ol0p47,16,0.35,0.35,0.1,0,0.38,2,0.47,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,16006,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p225_fw0p38_ol0p47; wider feed with lower overlap. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r16_07_r8d22v_d0p230_fw0p36_ol0p50,16,0.35,0.35,0.1,0,0.36,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.23,0.35,16007,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p230_fw0p36_ol0p50; stronger notch via, same compensation feed. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets."
pixel_qr16_fr4_210um_r16_08_r8d22v_d0p230_fw0p38_ol0p50,16,0.35,0.35,0.1,0,0.38,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.23,0.35,16008,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_05_r8d22v_keep_basefeed (R8/R15 vertical lower shoulder; best 6-8G balance); geom=d0p230_fw0p38_ol0p50; stronger via with wider feed recovery. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r16_09_r7d22a_d0p210_fw0p36_ol0p50,16,0.35,0.35,0.1,0,0.36,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.21,0.33,16009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_01_r7d22a_keep_basefeed (R7/R15 single lower shoulder; slightly deeper 5G baseline); geom=d0p210_fw0p36_ol0p50; weaker main via, R15 compensation feed. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets."
pixel_qr16_fr4_210um_r16_10_r7d22a_d0p215_fw0p34_ol0p50,16,0.35,0.35,0.1,0,0.34,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.215,0.335,16010,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R16 d0.22-family continuous geometry tune; base=pixel_qr16_fr4_210um_r15_01_r7d22a_keep_basefeed (R7/R15 single lower shoulder; slightly deeper 5G baseline); geom=d0p215_fw0p34_ol0p50; weaker feed plus slightly smaller via. Mask topology is fixed; only via diameter/feed width/coupling overlap change. S21 remains the ranking feedback; S11/S22 remain low-weight auxiliary training targets.
