name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r17_01_r16best_d0p222_fw0p35_ol0p51,16,0.35,0.35,0.1,0,0.35,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,17001,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p222_fw0p35_ol0p51; lower via/feed/overlap corner. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_02_r16best_d0p222_fw0p35_ol0p53,16,0.35,0.35,0.1,0,0.35,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,17002,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p222_fw0p35_ol0p53; lower via/feed at R16 best overlap. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_03_r16best_d0p222_fw0p36_ol0p52,16,0.35,0.35,0.1,0,0.36,2,0.52,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,17003,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p222_fw0p36_ol0p52; lower via with centered feed and slightly reduced overlap. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_04_r16best_d0p222_fw0p36_ol0p55,16,0.35,0.35,0.1,0,0.36,2,0.55,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,17004,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p222_fw0p36_ol0p55; lower via with higher overlap recovery. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_05_r16best_d0p222_fw0p37_ol0p53,16,0.35,0.35,0.1,0,0.37,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,17005,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p222_fw0p37_ol0p53; lower via with wider feed. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_06_r16best_d0p225_fw0p35_ol0p51,16,0.35,0.35,0.1,0,0.35,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,17006,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p225_fw0p35_ol0p51; R16 best via with reduced feed and overlap. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_07_r16best_d0p225_fw0p35_ol0p53,16,0.35,0.35,0.1,0,0.35,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,17007,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p225_fw0p35_ol0p53; R16 best via/overlap with reduced feed. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_08_r16best_d0p225_fw0p35_ol0p55,16,0.35,0.35,0.1,0,0.35,2,0.55,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,17008,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p225_fw0p35_ol0p55; R16 best via with low feed and high overlap. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_09_r16best_d0p225_fw0p36_ol0p51,16,0.35,0.35,0.1,0,0.36,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,17009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p225_fw0p36_ol0p51; R16 best via/feed with reduced overlap. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r17_10_r16best_d0p225_fw0p36_ol0p53,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,17010,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R17 local continuous tune around measured R16 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=d0p225_fw0p36_ol0p53; R16 measured best point repeat. Metal/via topology is fixed to isolate continuous geometry response. S21 remains the primary objective; S11/S22 remain low-weight auxiliary training targets.
