name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r18_01_r16best_of0p04_d0p222_fw0p35_ol0p51,16,0.35,0.35,0.04,0,0.35,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,18001,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p04_d0p222_fw0p35_ol0p51; least overfill, safest low-via corner. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets."
pixel_qr16_fr4_210um_r18_02_r16best_of0p04_d0p225_fw0p36_ol0p53,16,0.35,0.35,0.04,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,18002,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p04_d0p225_fw0p36_ol0p53; least overfill at R16 best via/feed/overlap. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_03_r16best_of0p04_d0p228_fw0p36_ol0p55,16,0.35,0.35,0.04,0,0.36,2,0.55,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.228,0.348,18003,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p04_d0p228_fw0p36_ol0p55; least overfill with strongest local notch drive. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_04_r16best_of0p08_d0p222_fw0p35_ol0p51,16,0.35,0.35,0.08,0,0.35,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,18004,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p08_d0p222_fw0p35_ol0p51; slightly reduced overfill, safe corner. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets."
pixel_qr16_fr4_210um_r18_05_r16best_of0p08_d0p225_fw0p36_ol0p53,16,0.35,0.35,0.08,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,18005,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p08_d0p225_fw0p36_ol0p53; slightly reduced overfill at center. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_06_r16best_of0p08_d0p228_fw0p36_ol0p55,16,0.35,0.35,0.08,0,0.36,2,0.55,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.228,0.348,18006,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p08_d0p228_fw0p36_ol0p55; slightly reduced overfill with strong via. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_07_r16best_of0p10_d0p222_fw0p35_ol0p51,16,0.35,0.35,0.1,0,0.35,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,18007,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p10_d0p222_fw0p35_ol0p51; R17 safe low-via repeat. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_08_r16best_of0p10_d0p225_fw0p36_ol0p53,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,18008,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p10_d0p225_fw0p36_ol0p53; R16/R17 measured best repeat. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_09_r16best_of0p10_d0p228_fw0p36_ol0p55,16,0.35,0.35,0.1,0,0.36,2,0.55,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.228,0.348,18009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p10_d0p228_fw0p36_ol0p55; R17 strongest 5G repeat. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r18_10_r16best_of0p12_d0p222_fw0p35_ol0p51,16,0.35,0.35,0.12,0,0.35,2,0.51,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.222,0.342,18010,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R18 pixel overfill tune around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=of0p12_d0p222_fw0p35_ol0p51; slightly increased overfill, safe via. Metal/via topology is fixed; overfill is now an explicit NN geometry feature. S21 remains primary; S11/S22 remain low-weight auxiliary training targets."
