name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r19_01_center_add_r10c05,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19001,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r10c05; add one lower inner capacitive pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_02_center_add_r10c06,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001111111111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19002,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r10c06; add one lower center-side capacitive pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_03_center_add_r11c05,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000110110110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19003,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r11c05; add one remote lower shoulder pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_04_center_add_r11c06,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19004,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r11c06; add one remote lower center-side pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_05_center_add_r12c04,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101101111011010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19005,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r12c04; add far lower outer weak-loading pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_06_center_add_r12c05,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101011111101010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19006,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r12c05; add far lower weak-loading pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_07_center_pad_r11c05_r11c06,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000111111110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19007,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=pad_r11c05_r11c06; add compact inner remote lower pad. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_08_center_stub_r11c05_r12c05,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000110110110000;0101011111101010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19008,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=stub_r11c05_r12c05; add remote weak vertical open metal stub. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001100110011000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=slot_rm_r10c05; remove lower inner pixel to recover 6G edge. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
pixel_qr16_fr4_210um_r19_10_center_shift_r10c05_to_r11c05,16,0.35,0.35,0.1,0,0.36,2,0.53,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001100110011000;0000110110110000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.225,0.345,19010,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=shift_r10c05_to_r11c05; move lower inner metal one row farther from the main path. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.
