name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r3_add02_00,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0011100110011100;0101001111001010;1101011111101011;1000010110100001;0110110110110110,3201,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add02_01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110101111010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,3302,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add02_02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111110110111111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;1101001111001011;1101011111101011;1000010110100001;0110110110110110,3403,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add02_03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110110110110111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0101010110101010;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,3504,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add04_00,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001110110111001;1101101111011011;1001110110111001;1100000110000011;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0111001111001110;1101011111101011;1010010110100101;0110110110110110,3605,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add04_01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110101111010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011110110111100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000110110110001;0110110110110110,3706,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add04_02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1111001111001111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0111110110111110,3807,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_add04_03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1111100110011111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0001100110011000;0101011111101010;1101011111101011;1000110110110001;0110110110110110,3908,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove02_00,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1110010110100111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;0101011111101010;1000010110100001;0110110110110110,4009,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove02_01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100000010000;0101001111001010;1100011111100011;1000010110100001;0110110110110110,4110,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
