name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4401,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4402,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4403,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=3; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4404,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110101111010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4405,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4406,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_01; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011110110111100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4407,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_01; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110101111010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011110110111100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4408,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_01; restore_groups=0; add_groups=3; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0010100110010100;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4409,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_00; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0011100110011100;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4410,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_00; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
