name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5501,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_edge; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the main center row near the side edge. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5502,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_inner; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the main center row inside the side edge. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000110000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5503,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=center_bridge; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the center bridge close to the feed axis. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5504,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=upper_side; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on upper side-stub metal. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5505,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=row6_side; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on dense row-6 side metal. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_06_r4_03_via_row5_stub,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0001000000001000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5506,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=row5_stub; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on row-5 stub metal. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5507,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_edge_upper; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs: center row plus upper side stub. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000110000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5508,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_inner_center; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs: center row plus center bridge. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_09_r4_03_via_row6_mid_edge,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5509,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=row6_mid_edge; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs coupling dense side metal to center row. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_10_r4_03_via_upper_lower_stub,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0001000000001000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5510,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=upper_lower_stub; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs spanning upper and lower side-stub metal. Guard 6G/8G S21 before expanding this family.
pixel_qr16_fr4_210um_r5_11_r4_03_via_center_upper,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1111001111001111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000010000100000;0000000000000000;0000000000000000;0000000110000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,5511,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=center_upper; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs tying bridge and upper inner stub. Guard 6G/8G S21 before expanding this family.
