name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r6_01_r4_02_via_r08c02_d0p14,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.14,0.26,6601,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c02/r08c13; via_diameter_mm=0.14; via_pad_diameter_mm=0.26. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_02_r4_02_via_r08c02_d0p18,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,6602,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c02/r08c13; via_diameter_mm=0.18; via_pad_diameter_mm=0.3. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_03_r4_02_via_r08c02_d0p22,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0010000000000100;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.22,0.34,6603,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c02/r08c13; via_diameter_mm=0.22; via_pad_diameter_mm=0.34. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_04_r4_02_via_r08c03_d0p14,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0001000000001000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.14,0.26,6604,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c03/r08c12; via_diameter_mm=0.14; via_pad_diameter_mm=0.26. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_05_r4_02_via_r08c03_d0p18,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0001000000001000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,6605,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c03/r08c12; via_diameter_mm=0.18; via_pad_diameter_mm=0.3. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_06_r4_02_via_r08c03_d0p22,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0001000000001000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.22,0.34,6606,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c03/r08c12; via_diameter_mm=0.22; via_pad_diameter_mm=0.34. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_07_r4_02_via_r08c04_d0p14,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.14,0.26,6607,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c04/r08c11; via_diameter_mm=0.14; via_pad_diameter_mm=0.26. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,6608,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c04/r08c11; via_diameter_mm=0.18; via_pad_diameter_mm=0.3. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_09_r4_02_via_r08c04_d0p22,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.22,0.34,6609,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c04/r08c11; via_diameter_mm=0.22; via_pad_diameter_mm=0.34. Tune 5 GHz notch strength against 6 GHz passband collapse.
pixel_qr16_fr4_210um_r6_10_r4_02_via_r08c05_d0p14,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000010000100000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.14,0.26,6610,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R6 row8 via-pair tune; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best R5 mid-inner via base); via_pair=r08c05/r08c10; via_diameter_mm=0.14; via_pad_diameter_mm=0.26. Tune 5 GHz notch strength against 6 GHz passband collapse.
