name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r7_01_d0p18_add_r07c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000100110010001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7701,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r07c04; add metal above the via pair to recover 6G coupling. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1001000110001001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7702,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r07c03; add upper outer shoulder near the shorted stub. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_03_d0p18_add_r07c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000010110100001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7703,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r07c05; add upper inner shoulder near the shorted stub. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7704,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r09c04; add metal below the via pair to tune lower-side current return. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011010110101100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7705,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r09c05; add lower inner shoulder near the shorted stub. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1110111111110111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7706,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c03; open the outer neighbor next to the via pixel. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111101111011111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7707,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c05; open the inner neighbor next to the via pixel. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1101111111111011;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7708,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c02; shorten the side row before the via pair. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_09_d0p18_remove_r08c06,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111110110111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7709,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c06; thin the center-side bridge after the via pair. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000100110010001;1110111111110111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,7710,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r07c04_remove_r08c03; recover 6G above the via while opening the outer row8 neighbor. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.
