name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.16,0.28,8801,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c04; single lower outer shoulder; R7 best-balanced mechanism. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_02_d0p16_add_r09c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011010110101100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.16,0.28,8802,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c05; single lower inner shoulder; R7 slightly deeper 5G variant. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011110110111100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.16,0.28,8803,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c04_r09c05; combined lower shoulder around the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_04_d0p16_add_r10c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.16,0.28,8804,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r10c04; move the lower shoulder one row farther from the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.16,0.28,8805,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c04_r10c04; extend the outer lower shoulder vertically. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_06_d0p18_add_r09c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,8806,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r09c04; single lower outer shoulder; R7 best-balanced mechanism. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_07_d0p18_add_r09c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011010110101100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,8807,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r09c05; single lower inner shoulder; R7 slightly deeper 5G variant. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011110110111100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,8808,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r09c04_r09c05; combined lower shoulder around the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,8809,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r10c04; move the lower shoulder one row farther from the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001110110111000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.18,0.3,8810,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r09c04_r10c04; extend the outer lower shoulder vertically. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.
