name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,via_mask_rows,via_diameter_mm,via_pad_diameter_mm,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r9_01_fw0p36_ol0p40,16,0.35,0.35,0.1,0,0.36,2,0.4,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9901,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.36 mm; coupling_overlap=0.40 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_02_fw0p36_ol0p43,16,0.35,0.35,0.1,0,0.36,2,0.43,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9902,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.36 mm; coupling_overlap=0.43 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_03_fw0p36_ol0p45,16,0.35,0.35,0.1,0,0.36,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9903,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.36 mm; coupling_overlap=0.45 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_04_fw0p36_ol0p47,16,0.35,0.35,0.1,0,0.36,2,0.47,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9904,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.36 mm; coupling_overlap=0.47 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_05_fw0p36_ol0p50,16,0.35,0.35,0.1,0,0.36,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9905,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.36 mm; coupling_overlap=0.50 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_06_fw0p38_ol0p40,16,0.35,0.35,0.1,0,0.38,2,0.4,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9906,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.38 mm; coupling_overlap=0.40 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_07_fw0p38_ol0p43,16,0.35,0.35,0.1,0,0.38,2,0.43,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9907,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.38 mm; coupling_overlap=0.43 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_08_fw0p38_ol0p47,16,0.35,0.35,0.1,0,0.38,2,0.47,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9908,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.38 mm; coupling_overlap=0.47 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_09_fw0p38_ol0p50,16,0.35,0.35,0.1,0,0.38,2,0.5,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9909,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.38 mm; coupling_overlap=0.50 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
pixel_qr16_fr4_210um_r9_10_fw0p40_ol0p40,16,0.35,0.35,0.1,0,0.4,2,0.4,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1011010110101101;1101100110011011;1011110110111101;1000000110000001;1111111111111111;0011100110011100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000100000010000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000;0000000000000000,0.2,0.32,9910,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R9 feed-overlap compensation; base=pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04; fixed d0.20 row8 c04/c11 via pair and r09c04 lower shoulder. feed_w=0.40 mm; coupling_overlap=0.40 mm. Objective: recover the 6 GHz passband edge and inspect 5 GHz notch stability without adding more saturated lower-shoulder pixels.
