candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r19_01_center_add_r10c05,pixel_qr16_fr4_210um_r19_01_center_add_r10c05_mm_coords,TUNE,,,38.041,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_01_center_add_r10c05_home_20260802_081412,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=add_r10c05; add one lower inner capacitive pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_01_center_add_r10c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_01_center_add_r10c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.37,-5.14,-2.10,-1.84,-16.67,-5.14,4.38,-2.19,-2.19,-7.63,-0.14,3.16,-0.14,-0.38,-3.81,-3.81,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_01_center_add_r10c05_home_20260802_081412
pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05,pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05_mm_coords,TUNE,,,35.762,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05_home_20260802_080914,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=slot_rm_r10c05; remove lower inner pixel to recover 6G edge. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.38,-5.31,-1.99,-1.72,-16.52,-5.31,4.56,-2.09,-2.08,-7.62,-0.31,3.28,-0.31,-0.56,-3.91,-3.92,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_09_center_slot_rm_r10c05_home_20260802_080914
pixel_qr16_fr4_210um_r19_11_center_shift_r10c04_to_r11c04,pixel_qr16_fr4_210um_r19_11_center_shift_r10c04_to_r11c04_mm_coords,TUNE,,,33.342,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_11_center_shift_r10c04_to_r11c04_home_20260802_080730,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=center; measured R16/R17 best geometry; op=shift_r10c04_to_r11c04; move outer lower extension one row farther from the main path. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_11_center_shift_r10c04_to_r11c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_11_center_shift_r10c04_to_r11c04_mm_coords_rfpro.csv,fr4_25db_rl6,-17.18,-4.94,-2.00,-1.88,-16.52,-4.94,4.20,-2.31,-2.31,-7.82,0.06,3.12,0.06,-0.20,-3.69,-3.69,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_11_center_shift_r10c04_to_r11c04_home_20260802_080730
pixel_qr16_fr4_210um_r19_12_safe_add_r10c05,pixel_qr16_fr4_210um_r19_12_safe_add_r10c05_mm_coords,TUNE,,,29.951,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_12_safe_add_r10c05_home_20260802_081306,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=safe; safer 6G guard corner from R17; op=add_r10c05; add one lower inner capacitive pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_12_safe_add_r10c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_12_safe_add_r10c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.01,-4.60,-2.10,-2.13,-16.89,-4.60,3.85,-2.54,-2.56,-7.99,0.40,2.87,0.40,0.15,-3.46,-3.44,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_12_safe_add_r10c05_home_20260802_081306
pixel_qr16_fr4_210um_r19_17_safe_add_r12c05,pixel_qr16_fr4_210um_r19_17_safe_add_r12c05_mm_coords,TUNE,,,35.85,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_17_safe_add_r12c05_home_20260802_081451,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=safe; safer 6G guard corner from R17; op=add_r12c05; add far lower weak-loading pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_17_safe_add_r12c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_17_safe_add_r12c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.00,-5.59,-1.73,-1.92,-15.21,-5.59,4.88,-1.89,-1.91,-8.00,-0.59,3.08,-0.59,-0.88,-4.11,-4.09,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_17_safe_add_r12c05_home_20260802_081451
pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05,pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05_mm_coords,TUNE,,,37.148,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05_home_20260802_080804,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=safe; safer 6G guard corner from R17; op=slot_rm_r10c05; remove lower inner pixel to recover 6G edge. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.14,-4.78,-2.18,-2.07,-17.05,-4.78,4.02,-2.42,-2.43,-7.86,0.22,2.93,0.22,-0.02,-3.58,-3.57,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05_home_20260802_080804
pixel_qr16_fr4_210um_r19_22_safe_shift_r10c04_to_r11c04,pixel_qr16_fr4_210um_r19_22_safe_shift_r10c04_to_r11c04_mm_coords,TUNE,,,43.254,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_22_safe_shift_r10c04_to_r11c04_home_20260802_080614,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=safe; safer 6G guard corner from R17; op=shift_r10c04_to_r11c04; move outer lower extension one row farther from the main path. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_22_safe_shift_r10c04_to_r11c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_22_safe_shift_r10c04_to_r11c04_mm_coords_rfpro.csv,fr4_25db_rl6,-17.33,-5.16,-2.17,-1.52,-16.08,-5.16,4.41,-2.17,-2.17,-7.67,-0.16,3.48,-0.16,-0.41,-3.83,-3.83,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_22_safe_shift_r10c04_to_r11c04_home_20260802_080614
pixel_qr16_fr4_210um_r19_23_recover_add_r10c05,pixel_qr16_fr4_210um_r19_23_recover_add_r10c05_mm_coords,TUNE,,,35.73,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_23_recover_add_r10c05_home_20260802_081336,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=recover; slightly larger overfill to recover 6G after local metal edit; op=add_r10c05; add one lower inner capacitive pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_23_recover_add_r10c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_23_recover_add_r10c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.29,-5.20,-2.19,-1.31,-15.43,-5.20,4.44,-2.16,-2.13,-7.71,-0.20,3.69,-0.20,-0.44,-3.84,-3.87,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_23_recover_add_r10c05_home_20260802_081336
pixel_qr16_fr4_210um_r19_28_recover_add_r12c05,pixel_qr16_fr4_210um_r19_28_recover_add_r12c05_mm_coords,TUNE,,,30.97,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_28_recover_add_r12c05_home_20260802_081527,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=recover; slightly larger overfill to recover 6G after local metal edit; op=add_r12c05; add far lower weak-loading pixel. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_28_recover_add_r12c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_28_recover_add_r12c05_mm_coords_rfpro.csv,fr4_25db_rl6,-16.90,-5.56,-1.69,-1.62,-14.52,-5.56,4.86,-1.90,-1.92,-8.10,-0.56,3.38,-0.56,-0.86,-4.10,-4.08,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_28_recover_add_r12c05_home_20260802_081527
pixel_qr16_fr4_210um_r19_31_recover_slot_rm_r10c05,pixel_qr16_fr4_210um_r19_31_recover_slot_rm_r10c05_mm_coords,TUNE,,,32.109,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_31_recover_slot_rm_r10c05_home_20260802_080841,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=recover; slightly larger overfill to recover 6G after local metal edit; op=slot_rm_r10c05; remove lower inner pixel to recover 6G edge. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_31_recover_slot_rm_r10c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_31_recover_slot_rm_r10c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.20,-4.94,-2.19,-1.64,-16.17,-4.94,4.18,-2.31,-2.31,-7.80,0.06,3.36,0.06,-0.18,-3.69,-3.69,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_31_recover_slot_rm_r10c05_home_20260802_080841
pixel_qr16_fr4_210um_r19_33_recover_shift_r10c04_to_r11c04,pixel_qr16_fr4_210um_r19_33_recover_shift_r10c04_to_r11c04_mm_coords,TUNE,,,32.662,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_33_recover_shift_r10c04_to_r11c04_home_20260802_080657,home,pixel_qr_bpf_fr4_210um_home_r19_local_pixel_guard_1to10,fr4_25db_rl6,fr4_i7_score_v1,R19 local pixel guard mutation around measured R16/R17 best; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53; geom=recover; slightly larger overfill to recover 6G after local metal edit; op=shift_r10c04_to_r11c04; move outer lower extension one row farther from the main path. Operator is visible to the current CNN via metal/via image channels and 7D geometry features. S21 is primary feedback; S11/S22 remain low-weight auxiliary training targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r19_33_recover_shift_r10c04_to_r11c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\pixel_qr16_fr4_210um_r19_33_recover_shift_r10c04_to_r11c04_mm_coords_rfpro.csv,fr4_25db_rl6,-17.14,-4.85,-2.24,-1.52,-15.89,-4.85,4.10,-2.37,-2.37,-7.86,0.15,3.48,0.15,-0.10,-3.63,-3.63,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r19_local_pixel_guard_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r19_33_recover_shift_r10c04_to_r11c04_home_20260802_080657
