candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r20_01_r19slot_stub_r10c05_l0p105_w0p105,pixel_qr16_fr4_210um_r20_01_r19slot_stub_r10c05_l0p105_w0p105_mm_coords,TUNE,,,40.953,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_01_r19slot_stub_r10c05_l0p105_w0p105_home_20260802_084942,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=stub_r10c05_l0p105_w0p105; minimum-rule open stub at saturated lower inner pixel. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_01_r19slot_stub_r10c05_l0p105_w0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_01_r19slot_stub_r10c05_l0p105_w0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.12,-4.70,-2.22,-2.06,-17.00,-4.70,3.94,-2.47,-2.50,-7.88,0.30,2.94,0.30,0.06,-3.53,-3.50,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_01_r19slot_stub_r10c05_l0p105_w0p105_home_20260802_084942
pixel_qr16_fr4_210um_r20_02_r19slot_stub_r10c05_l0p14_w0p105,pixel_qr16_fr4_210um_r20_02_r19slot_stub_r10c05_l0p14_w0p105_mm_coords,TUNE,,,37.224,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_02_r19slot_stub_r10c05_l0p14_w0p105_home_20260802_085023,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=stub_r10c05_l0p14_w0p105; medium open stub at saturated lower inner pixel. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_02_r19slot_stub_r10c05_l0p14_w0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_02_r19slot_stub_r10c05_l0p14_w0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.21,-4.89,-2.19,-1.86,-16.66,-4.89,4.13,-2.35,-2.34,-7.79,0.11,3.14,0.11,-0.13,-3.65,-3.66,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_02_r19slot_stub_r10c05_l0p14_w0p105_home_20260802_085023
pixel_qr16_fr4_210um_r20_03_r19slot_stub_r11c05_l0p105_w0p105,pixel_qr16_fr4_210um_r20_03_r19slot_stub_r11c05_l0p105_w0p105_mm_coords,TUNE,,,41.487,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_03_r19slot_stub_r11c05_l0p105_w0p105_home_20260802_090146,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=stub_r11c05_l0p105_w0p105; remote minimum-rule open stub. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_03_r19slot_stub_r11c05_l0p105_w0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_03_r19slot_stub_r11c05_l0p105_w0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.23,-5.05,-2.13,-1.64,-16.25,-5.05,4.30,-2.24,-2.23,-7.77,-0.05,3.36,-0.05,-0.30,-3.76,-3.77,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_03_r19slot_stub_r11c05_l0p105_w0p105_home_20260802_090146
pixel_qr16_fr4_210um_r20_04_r19slot_stub_r11c05_l0p14_w0p105,pixel_qr16_fr4_210um_r20_04_r19slot_stub_r11c05_l0p14_w0p105_mm_coords,TUNE,,,38.863,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_04_r19slot_stub_r11c05_l0p14_w0p105_home_20260802_090228,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=stub_r11c05_l0p14_w0p105; remote medium open stub. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_04_r19slot_stub_r11c05_l0p14_w0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_04_r19slot_stub_r11c05_l0p14_w0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.24,-5.03,-2.15,-1.73,-16.45,-5.03,4.27,-2.25,-2.26,-7.76,-0.03,3.27,-0.03,-0.27,-3.75,-3.74,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_04_r19slot_stub_r11c05_l0p14_w0p105_home_20260802_090228
pixel_qr16_fr4_210um_r20_05_r19slot_pad_r11c05_s0p105,pixel_qr16_fr4_210um_r20_05_r19slot_pad_r11c05_s0p105_mm_coords,TUNE,,,38.732,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_05_r19slot_pad_r11c05_s0p105_home_20260802_091109,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=pad_r11c05_s0p105; minimum-rule attached lower pad. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_05_r19slot_pad_r11c05_s0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_05_r19slot_pad_r11c05_s0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.23,-5.05,-2.13,-1.64,-16.25,-5.05,4.30,-2.24,-2.23,-7.77,-0.05,3.36,-0.05,-0.30,-3.76,-3.77,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_05_r19slot_pad_r11c05_s0p105_home_20260802_091109
pixel_qr16_fr4_210um_r20_06_r19slot_pad_r12c05_s0p105,pixel_qr16_fr4_210um_r20_06_r19slot_pad_r12c05_s0p105_mm_coords,TUNE,,,40.851,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_06_r19slot_pad_r12c05_s0p105_home_20260802_085221,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=pad_r12c05_s0p105; far lower weak minimum-rule attached pad. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_06_r19slot_pad_r12c05_s0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_06_r19slot_pad_r12c05_s0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.28,-5.04,-2.15,-1.76,-16.52,-5.04,4.29,-2.24,-2.26,-7.72,-0.04,3.24,-0.04,-0.29,-3.76,-3.74,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_06_r19slot_pad_r12c05_s0p105_home_20260802_085221
pixel_qr16_fr4_210um_r20_07_r19slot_slot_r10c04_g0p105,pixel_qr16_fr4_210um_r20_07_r19slot_slot_r10c04_g0p105_mm_coords,TUNE,,,35.951,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_07_r19slot_slot_r10c04_g0p105_home_20260802_085101,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=slot_r10c04_g0p105; minimum-rule in-pixel slot on outer extension. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_07_r19slot_slot_r10c04_g0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_07_r19slot_slot_r10c04_g0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.34,-5.22,-2.11,-1.60,-16.25,-5.22,4.46,-2.13,-2.15,-7.66,-0.22,3.40,-0.22,-0.46,-3.87,-3.85,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_07_r19slot_slot_r10c04_g0p105_home_20260802_085101
pixel_qr16_fr4_210um_r20_08_r19slot_slot_r10c05_g0p105,pixel_qr16_fr4_210um_r20_08_r19slot_slot_r10c05_g0p105_mm_coords,TUNE,,,37.26,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_08_r19slot_slot_r10c05_g0p105_home_20260802_090307,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=slot_r10c05_g0p105; minimum-rule in-pixel slot on inner extension. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_08_r19slot_slot_r10c05_g0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_08_r19slot_slot_r10c05_g0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.14,-4.78,-2.18,-2.07,-17.05,-4.78,4.02,-2.42,-2.43,-7.86,0.22,2.93,0.22,-0.02,-3.58,-3.57,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_08_r19slot_slot_r10c05_g0p105_home_20260802_090307
pixel_qr16_fr4_210um_r20_09_r19slot_slot_r11c05_g0p105,pixel_qr16_fr4_210um_r20_09_r19slot_slot_r11c05_g0p105_mm_coords,TUNE,,,39.653,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_09_r19slot_slot_r11c05_g0p105_home_20260802_090345,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r19_20_safe_slot_rm_r10c05 (R19 high-side best slot baseline); op=slot_r11c05_g0p105; minimum-rule remote in-pixel slot. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_09_r19slot_slot_r11c05_g0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_09_r19slot_slot_r11c05_g0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.14,-4.78,-2.18,-2.07,-17.05,-4.78,4.02,-2.42,-2.43,-7.86,0.22,2.93,0.22,-0.02,-3.58,-3.57,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_09_r19slot_slot_r11c05_g0p105_home_20260802_090345
pixel_qr16_fr4_210um_r20_10_r16best_stub_r10c05_l0p105_w0p105,pixel_qr16_fr4_210um_r20_10_r16best_stub_r10c05_l0p105_w0p105_mm_coords,TUNE,,,43.253,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_10_r16best_stub_r10c05_l0p105_w0p105_home_20260802_085137,home,pixel_qr_bpf_fr4_210um_home_r20_subcell_loading_1to10,fr4_25db_rl6,fr4_i7_score_v1,R20 two-level QR subcell loading; base=pixel_qr16_fr4_210um_r16_05_r8d22v_d0p225_fw0p36_ol0p53 (R16/R17 balanced best baseline); op=stub_r10c05_l0p105_w0p105; minimum-rule open stub at saturated lower inner pixel. First-level 16x16 QR mask is retained; second-level local maps encode stub/pad/slot geometry for the surrogate. S21 remains primary feedback; S11/S22 remain low-weight auxiliary targets.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r20_10_r16best_stub_r10c05_l0p105_w0p105,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\pixel_qr16_fr4_210um_r20_10_r16best_stub_r10c05_l0p105_w0p105_mm_coords_rfpro.csv,fr4_25db_rl6,-17.34,-5.19,-2.08,-1.64,-16.28,-5.19,4.44,-2.17,-2.14,-7.66,-0.19,3.36,-0.19,-0.44,-3.83,-3.86,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r20_subcell_loading_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r20_10_r16best_stub_r10c05_l0p105_w0p105_home_20260802_085137
