candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r3_add02_00,pixel_qr16_fr4_210um_r3_add02_00_mm_coords,TUNE,,,46.806,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_00_home_20260802_002049,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add02_00,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add02_00_mm_coords_rfpro.csv,fr4_25db_rl6,-6.02,-2.49,-1.21,-5.44,-19.95,-5.44,4.99,-1.85,-1.84,-18.98,2.51,-0.44,-0.44,-0.99,-4.15,-4.16,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_00_home_20260802_002049
pixel_qr16_fr4_210um_r3_add02_01,pixel_qr16_fr4_210um_r3_add02_01_mm_coords,TUNE,,,41.619,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_01_home_20260802_002201,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add02_01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add02_01_mm_coords_rfpro.csv,fr4_25db_rl6,-9.19,-9.05,-8.33,-7.04,-5.66,-9.05,2.01,-0.63,-0.63,-15.81,-4.05,-2.04,-4.05,1.99,-5.37,-5.37,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_01_home_20260802_002201
pixel_qr16_fr4_210um_r3_add02_02,pixel_qr16_fr4_210um_r3_add02_02_mm_coords,TUNE,,,43.895,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_02_home_20260802_002005,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add02_02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add02_02_mm_coords_rfpro.csv,fr4_25db_rl6,-6.64,-4.64,-1.34,-1.17,-10.21,-4.64,4.19,-2.02,-2.02,-18.36,0.36,3.83,0.36,-0.19,-3.98,-3.98,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_02_home_20260802_002005
pixel_qr16_fr4_210um_r3_add02_03,pixel_qr16_fr4_210um_r3_add02_03_mm_coords,TUNE,,,23.916,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_03_home_20260802_002136,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=2, filled_pixels=148/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add02_03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add02_03_mm_coords_rfpro.csv,fr4_25db_rl6,-7.93,-6.84,-4.82,-2.31,-1.42,-6.84,4.54,-1.08,-1.08,-17.07,-1.84,2.69,-1.84,-0.54,-4.92,-4.92,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add02_03_home_20260802_002136
pixel_qr16_fr4_210um_r3_add04_00,pixel_qr16_fr4_210um_r3_add04_00_mm_coords,TUNE,,,45.506,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_00_home_20260801_235507,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add04_00,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add04_00_mm_coords_rfpro.csv,fr4_25db_rl6,-6.45,-2.77,-2.10,-9.21,-11.07,-9.21,8.68,-0.83,-0.82,-18.55,2.23,-4.21,-4.21,-4.68,-5.17,-5.18,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_00_home_20260801_235507
pixel_qr16_fr4_210um_r3_add04_01,pixel_qr16_fr4_210um_r3_add04_01_mm_coords,TUNE,,,40.589,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_01_home_20260802_002601,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add04_01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add04_01_mm_coords_rfpro.csv,fr4_25db_rl6,-9.17,-8.99,-8.19,-6.78,-4.71,-8.99,2.21,-0.64,-0.63,-15.83,-3.99,-1.78,-3.99,1.79,-5.36,-5.37,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_01_home_20260802_002601
pixel_qr16_fr4_210um_r3_add04_02,pixel_qr16_fr4_210um_r3_add04_02_mm_coords,TUNE,,,30.124,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_02_home_20260802_002642,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add04_02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add04_02_mm_coords_rfpro.csv,fr4_25db_rl6,-9.99,-15.45,-1.32,-0.52,-4.58,-27.64,27.19,-0.38,-0.38,-15.01,-10.45,4.48,-22.64,-23.19,-5.62,-5.62,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_02_home_20260802_002642
pixel_qr16_fr4_210um_r3_add04_03,pixel_qr16_fr4_210um_r3_add04_03_mm_coords,TUNE,,,26.195,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_03_home_20260802_002535,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=add, pair_count=4, filled_pixels=152/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_add04_03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_add04_03_mm_coords_rfpro.csv,fr4_25db_rl6,-8.27,-7.23,-4.86,-1.16,-2.89,-7.23,6.07,-1.00,-1.00,-16.73,-2.23,3.84,-2.23,-2.07,-5.00,-5.00,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_add04_03_home_20260802_002535
pixel_qr16_fr4_210um_r3_remove02_00,pixel_qr16_fr4_210um_r3_remove02_00_mm_coords,TUNE,,,36.413,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_remove02_00_home_20260802_001040,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_remove02_00,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_remove02_00_mm_coords_rfpro.csv,fr4_25db_rl6,-6.77,-5.52,-3.31,-1.10,-9.56,-5.52,4.42,-1.55,-1.55,-18.23,-0.52,3.90,-0.52,-0.42,-4.45,-4.45,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_remove02_00_home_20260802_001040
pixel_qr16_fr4_210um_r3_remove02_01,pixel_qr16_fr4_210um_r3_remove02_01_mm_coords,TUNE,,,29.27,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_remove02_01_home_20260802_000436,home,pixel_qr_bpf_fr4_210um_home_r3_pixel_mutation_1to10,fr4_25db_rl6,fr4_i7_score_v1,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback.",pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r3_remove02_01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\pixel_qr16_fr4_210um_r3_remove02_01_mm_coords_rfpro.csv,fr4_25db_rl6,-5.56,-3.79,-0.99,-1.78,-7.04,-3.79,3.39,-2.55,-2.55,-19.44,1.21,3.22,1.21,0.61,-3.45,-3.45,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r3_pixel_mutation_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r3_remove02_01_home_20260802_000436
