candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01,pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01_mm_coords,TUNE,,,28.103,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01_home_20260802_004927,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01_mm_coords_rfpro.csv,fr4_25db_rl6,-5.61,-2.59,-0.87,-3.47,-18.52,-4.02,3.57,-2.85,-2.86,-19.39,2.41,1.53,0.98,0.43,-3.15,-3.14,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_01_toggle02_03_add04_02_keep_a01_home_20260802_004927
pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02,pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02_mm_coords,TUNE,,,27.198,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02_home_20260802_004956,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02_mm_coords_rfpro.csv,fr4_25db_rl6,-5.63,-2.61,-0.80,-3.02,-18.19,-3.64,3.20,-3.19,-3.20,-19.37,2.39,1.98,1.36,0.80,-2.81,-2.80,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02_home_20260802_004956
pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03,pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03_mm_coords,TUNE,,,41.466,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03_home_20260802_005836,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=3; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03_mm_coords_rfpro.csv,fr4_25db_rl6,-6.06,-3.54,-0.46,-2.49,-14.98,-3.54,3.09,-2.81,-2.82,-18.94,1.46,2.51,1.46,0.91,-3.19,-3.18,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03_home_20260802_005836
pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01,pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01_mm_coords,TUNE,,,39.414,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01_home_20260802_004809,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01_mm_coords_rfpro.csv,fr4_25db_rl6,-6.98,-5.04,-1.20,-3.85,-14.06,-5.04,4.51,-1.80,-1.80,-18.02,-0.04,1.15,-0.04,-0.51,-4.20,-4.20,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_04_toggle02_03_add02_01_keep_a01_home_20260802_004809
pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02,pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02_mm_coords,TUNE,,,31.194,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02_home_20260802_005804,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02_mm_coords_rfpro.csv,fr4_25db_rl6,-8.92,-8.51,-7.36,-5.42,-2.56,-8.51,3.09,-0.72,-0.72,-16.08,-3.51,-0.42,-3.51,0.91,-5.28,-5.28,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_05_toggle02_03_add02_01_keep_a02_home_20260802_005804
pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01,pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01_mm_coords,TUNE,,,42.444,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01_home_20260802_005151,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_01; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01_mm_coords_rfpro.csv,fr4_25db_rl6,-5.84,-3.21,-0.47,-3.35,-14.54,-3.44,2.99,-3.14,-3.14,-19.16,1.79,1.65,1.56,1.01,-2.86,-2.86,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_06_toggle02_03_add04_01_keep_a01_home_20260802_005151
pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02,pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02_mm_coords,TUNE,,,38.728,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02_home_20260802_004848,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_01; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02_mm_coords_rfpro.csv,fr4_25db_rl6,-6.35,-4.00,-0.56,-3.39,-14.15,-4.00,3.52,-2.44,-2.43,-18.65,1.00,1.61,1.00,0.48,-3.56,-3.57,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_07_toggle02_03_add04_01_keep_a02_home_20260802_004848
pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03,pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03_mm_coords,TUNE,,,43.232,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03_home_20260802_005721,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_01; restore_groups=0; add_groups=3; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03_mm_coords_rfpro.csv,fr4_25db_rl6,-8.51,-7.96,-6.67,-3.60,-1.46,-8.08,4.48,-0.82,-0.82,-16.49,-2.96,1.40,-3.08,-0.48,-5.18,-5.18,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_08_toggle02_03_add04_01_keep_a03_home_20260802_005721
pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01,pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01_mm_coords,TUNE,,,39.191,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01_home_20260802_005307,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_00; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01_mm_coords_rfpro.csv,fr4_25db_rl6,-4.72,-0.84,-3.48,-4.06,-11.01,-5.99,5.55,-1.60,-1.59,-20.28,4.16,0.94,-0.99,-1.55,-4.40,-4.41,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_09_toggle02_03_add02_00_keep_a01_home_20260802_005307
pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02,pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02_mm_coords,TUNE,,,56.638,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02_home_20260802_005917,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_toggle02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_00; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02_mm_coords_rfpro.csv,fr4_25db_rl6,-4.67,-0.80,-3.57,-4.08,-10.83,-6.06,5.64,-1.56,-1.57,-20.33,4.20,0.92,-1.06,-1.64,-4.44,-4.43,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_10_toggle02_03_add02_00_keep_a02_home_20260802_005917
pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01,pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01_mm_coords,TUNE,,,33.191,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01_home_20260802_005233,home,pixel_qr_bpf_fr4_210um_home_r4_notch_combo_1to10,fr4_25db_rl6,fr4_i7_score_v1,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01_mm_coords_rfpro.csv,fr4_25db_rl6,-7.22,-6.11,-3.88,-1.21,-10.85,-6.11,4.90,-1.32,-1.32,-17.78,-1.11,3.79,-1.11,-0.90,-4.68,-4.68,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r4_notch_combo_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01_home_20260802_005233
